metric	value
hits:exon->CDS	3
hits:exon->exon	29
hits:exon->intron	77
copies:exon_to_intron_total	72
copies:exon_01_(2001-4734)	22
copies:exon_02_(4955-6826)	22
copies:exon_03_(6910-13065)	28
intron:total_raw_exon_to_intron_hits	27
intron:total_clustered_copies	24
intron_01_(1-2000):raw_hits	10
intron_01_(1-2000):clustered_copies	10
intron_02_(4735-4954):raw_hits	3
intron_02_(4735-4954):clustered_copies	2
intron_03_(6827-6909):raw_hits	1
intron_03_(6827-6909):clustered_copies	1
intron_04_(13066-15065):raw_hits	13
intron_04_(13066-15065):clustered_copies	11
