metric	value
hits:exon->CDS	12
hits:exon->exon	8
hits:exon->intron	95
copies:exon_to_intron_total	92
copies:exon_01_(2001-2198)	22
copies:exon_02_(5201-5304)	11
copies:exon_03_(6119-6191)	5
copies:exon_04_(7420-7502)	12
copies:exon_05_(8937-9140)	12
copies:exon_06_(9917-10051)	4
copies:exon_07_(10182-12471)	26
intron:total_raw_exon_to_intron_hits	91
intron:total_clustered_copies	72
intron_01_(1-2000):raw_hits	20
intron_01_(1-2000):clustered_copies	14
intron_02_(2199-5200):raw_hits	26
intron_02_(2199-5200):clustered_copies	18
intron_03_(5305-6118):raw_hits	6
intron_03_(5305-6118):clustered_copies	5
intron_04_(6192-7419):raw_hits	9
intron_04_(6192-7419):clustered_copies	9
intron_05_(7503-8936):raw_hits	13
intron_05_(7503-8936):clustered_copies	11
intron_06_(9141-9916):raw_hits	4
intron_06_(9141-9916):clustered_copies	4
intron_07_(10052-10181):raw_hits	1
intron_07_(10052-10181):clustered_copies	1
intron_08_(12472-14471):raw_hits	12
intron_08_(12472-14471):clustered_copies	10
