exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	1129	2001	3129	100.0	1129	1680.0	0.0	blastn:w7;e1e2
1	400	454	1379	1323	73.333	60	31.1	0.003	blastn:w7;e1e2
1	695	752	6427	6374	70.492	61	26.6	0.073	blastn:w7;e1e2
1	877	898	3647	3668	86.364	22	24.4	0.57	blastn:w7;e1e2
1	442	513	4164	4237	69.231	78	23.6	0.57	blastn:w7;e1e2
1	1036	1115	4449	4519	67.47	83	23.6	0.57	blastn:w7;e1e2
1	202	224	5462	5484	83.333	24	22.2	1.6	blastn:w7;e1e2
1	652	664	5922	5910	100.0	13	22.2	1.6	blastn:w7;e1e2
1	384	409	2242	2266	78.571	28	21.4	4.5	blastn:w7;e1e2
1	242	266	2384	2409	78.571	28	21.4	4.5	blastn:w7;e1e2
1	407	426	5036	5055	85.0	20	21.4	4.5	blastn:w7;e1e2
1	651	689	6570	6610	73.81	42	21.4	4.5	blastn:w7;e1e2
1	305	321	397	381	88.235	17	20.7	4.5	blastn:w7;e1e2
1	952	963	435	424	100.0	12	20.7	4.5	blastn:w7;e1e2
1	947	970	1213	1245	72.727	33	20.7	4.5	blastn:w7;e1e2
1	483	499	3313	3329	88.235	17	20.7	4.5	blastn:w7;e1e2
1	951	962	3334	3345	100.0	12	20.7	4.5	blastn:w7;e1e2
1	250	263	70	57	92.857	14	19.9	13.0	blastn:w7;e1e2
1	1065	1086	426	446	81.818	22	19.9	13.0	blastn:w7;e1e2
1	853	869	1241	1256	88.235	17	19.9	13.0	blastn:w7;e1e2
1	1009	1022	1694	1681	92.857	14	19.9	13.0	blastn:w7;e1e2
1	248	261	1879	1892	92.857	14	19.9	13.0	blastn:w7;e1e2
1	125	144	1959	1942	85.0	20	19.9	13.0	blastn:w7;e1e2
1	788	809	3683	3701	81.818	22	19.9	13.0	blastn:w7;e1e2
1	1008	1028	3738	3755	80.952	21	19.9	13.0	blastn:w7;e1e2
1	595	608	4073	4060	92.857	14	19.9	13.0	blastn:w7;e1e2
1	1065	1080	4352	4336	88.235	17	19.9	13.0	blastn:w7;e1e2
1	687	741	5175	5116	67.742	62	19.9	13.0	blastn:w7;e1e2
1	253	276	5465	5487	76.923	26	19.9	13.0	blastn:w7;e1e2
1	453	480	5647	5618	76.667	30	19.9	13.0	blastn:w7;e1e2
1	515	533	6181	6199	84.211	19	19.9	13.0	blastn:w7;e1e2
1	874	899	622	645	76.923	26	19.2	13.0	blastn:w7;e1e2
1	114	129	853	868	87.5	16	19.2	13.0	blastn:w7;e1e2
1	795	805	897	907	100.0	11	19.2	13.0	blastn:w7;e1e2
1	273	288	1166	1184	84.211	19	19.2	13.0	blastn:w7;e1e2
1	271	299	2011	2045	71.429	35	19.2	13.0	blastn:w7;e1e2
1	11	45	2271	2299	71.429	35	19.2	13.0	blastn:w7;e1e2
1	990	1034	2457	2417	69.565	46	19.2	13.0	blastn:w7;e1e2
1	1029	1044	2959	2944	87.5	16	19.2	13.0	blastn:w7;e1e2
1	417	457	3034	2990	69.565	46	19.2	13.0	blastn:w7;e1e2
1	944	959	3044	3029	87.5	16	19.2	13.0	blastn:w7;e1e2
1	989	1025	3589	3626	72.5	40	19.2	13.0	blastn:w7;e1e2
1	497	534	4113	4154	71.429	42	19.2	13.0	blastn:w7;e1e2
1	864	884	5153	5171	81.818	22	19.2	13.0	blastn:w7;e1e2
1	700	715	5321	5334	87.5	16	19.2	13.0	blastn:w7;e1e2
1	372	385	5606	5618	92.857	14	19.2	13.0	blastn:w7;e1e2
1	434	457	5635	5657	79.167	24	19.2	13.0	blastn:w7;e1e2
1	47	62	6379	6364	87.5	16	19.2	13.0	blastn:w7;e1e2
1	943	957	119	134	87.5	16	18.4	35.0	blastn:w7;e1e2
1	1080	1094	753	738	87.5	16	18.4	35.0	blastn:w7;e1e2
1	172	186	840	825	87.5	16	18.4	35.0	blastn:w7;e1e2
1	1083	1100	1105	1120	83.333	18	18.4	35.0	blastn:w7;e1e2
1	979	996	1123	1108	83.333	18	18.4	35.0	blastn:w7;e1e2
1	988	1000	1321	1333	92.308	13	18.4	35.0	blastn:w7;e1e2
1	1077	1094	1505	1522	83.333	18	18.4	35.0	blastn:w7;e1e2
1	710	722	1741	1729	92.308	13	18.4	35.0	blastn:w7;e1e2
1	954	969	4345	4359	87.5	16	18.4	35.0	blastn:w7;e1e2
1	980	997	5372	5389	83.333	18	18.4	35.0	blastn:w7;e1e2
1	690	721	5898	5867	73.529	34	18.4	35.0	blastn:w7;e1e2
1	485	504	6215	6235	80.952	21	18.4	35.0	blastn:w7;e1e2
1	465	512	6238	6281	69.388	49	18.4	35.0	blastn:w7;e1e2
1	839	848	97	88	100.0	10	17.7	35.0	blastn:w7;e1e2
1	717	733	471	454	83.333	18	17.7	35.0	blastn:w7;e1e2
1	949	958	1392	1401	100.0	10	17.7	35.0	blastn:w7;e1e2
1	254	263	1522	1513	100.0	10	17.7	35.0	blastn:w7;e1e2
1	161	172	2118	2106	92.308	13	17.7	35.0	blastn:w7;e1e2
1	106	118	2172	2161	92.308	13	17.7	35.0	blastn:w7;e1e2
1	1064	1073	3467	3476	100.0	10	17.7	35.0	blastn:w7;e1e2
1	1006	1015	3611	3602	100.0	10	17.7	35.0	blastn:w7;e1e2
1	183	196	3623	3608	87.5	16	17.7	35.0	blastn:w7;e1e2
1	270	279	3684	3693	100.0	10	17.7	35.0	blastn:w7;e1e2
1	687	699	3833	3844	92.308	13	17.7	35.0	blastn:w7;e1e2
1	218	237	4376	4395	80.952	21	17.7	35.0	blastn:w7;e1e2
1	1044	1053	4428	4437	100.0	10	17.7	35.0	blastn:w7;e1e2
1	694	703	5420	5411	100.0	10	17.7	35.0	blastn:w7;e1e2
1	990	1004	5479	5465	86.667	15	17.7	35.0	blastn:w7;e1e2
1	486	511	5634	5660	75.862	29	17.7	35.0	blastn:w7;e1e2
1	827	836	6257	6248	100.0	10	17.7	35.0	blastn:w7;e1e2
1	1006	1015	6436	6427	100.0	10	17.7	35.0	blastn:w7;e1e2
1	991	1000	6437	6428	100.0	10	17.7	35.0	blastn:w7;e1e2
1	585	594	6599	6608	100.0	10	17.7	35.0	blastn:w7;e1e2
1	575	584	6707	6716	100.0	10	17.7	35.0	blastn:w7;e1e2
1	638	649	319	308	91.667	12	17.0	98.0	blastn:w7;e1e2
1	144	163	402	386	80.0	20	17.0	98.0	blastn:w7;e1e2
1	809	820	397	386	91.667	12	17.0	98.0	blastn:w7;e1e2
1	951	962	1894	1905	91.667	12	17.0	98.0	blastn:w7;e1e2
1	688	729	2154	2121	69.048	42	17.0	98.0	blastn:w7;e1e2
1	847	858	2593	2604	91.667	12	17.0	98.0	blastn:w7;e1e2
1	121	154	2729	2688	69.048	42	17.0	98.0	blastn:w7;e1e2
1	593	604	2847	2858	91.667	12	17.0	98.0	blastn:w7;e1e2
1	837	920	3055	3135	64.211	95	17.0	98.0	blastn:w7;e1e2
1	1055	1066	3138	3127	91.667	12	17.0	98.0	blastn:w7;e1e2
1	483	499	3316	3302	82.353	17	17.0	98.0	blastn:w7;e1e2
1	870	884	3850	3837	86.667	15	17.0	98.0	blastn:w7;e1e2
1	933	944	4665	4676	91.667	12	17.0	98.0	blastn:w7;e1e2
1	382	401	5121	5145	76.0	25	17.0	98.0	blastn:w7;e1e2
1	615	626	5186	5197	91.667	12	17.0	98.0	blastn:w7;e1e2
1	451	462	5473	5484	91.667	12	17.0	98.0	blastn:w7;e1e2
1	607	618	5498	5487	91.667	12	17.0	98.0	blastn:w7;e1e2
1	489	497	32	24	100.0	9	16.2	98.0	blastn:w7;e1e2
1	445	458	68	55	85.714	14	16.2	98.0	blastn:w7;e1e2
