method	exon_index	sstart	send	reason	detail
blastn	1	1257	1244	basic	len/pident 14/92.857
blastn	1	2737	2746	basic	len/pident 10/100.0
blastn	1	2032	2016	basic	len/pident 17/82.353
blastn	1	2088	2074	basic	len/pident 15/86.667
blastn	1	1414	1407	basic	len/pident 8/100.0
blastn	1	2329	2315	basic	len/pident 16/81.25
blastn	1	5143	5133	basic	len/pident 11/90.909
blastn	1	7833	7840	basic	len/pident 8/100.0
blastn	1	10341	10348	basic	len/pident 8/100.0
blastn	1	13493	13486	basic	len/pident 8/100.0
blastn	1	411	423	basic	len/pident 13/84.615
blastn	1	4042	4054	basic	len/pident 13/84.615
blastn	1	11984	11973	basic	len/pident 13/84.615
blastn	1	393	399	basic	len/pident 7/100.0
blastn	1	451	457	basic	len/pident 7/100.0
blastn	1	682	676	basic	len/pident 7/100.0
blastn	1	894	900	basic	len/pident 7/100.0
blastn	1	990	996	basic	len/pident 7/100.0
blastn	1	1094	1088	basic	len/pident 7/100.0
blastn	1	1433	1427	basic	len/pident 7/100.0
blastn	1	1474	1468	basic	len/pident 7/100.0
blastn	1	1816	1822	basic	len/pident 7/100.0
blastn	1	1872	1866	basic	len/pident 7/100.0
blastn	1	1885	1879	basic	len/pident 7/100.0
blastn	1	2050	2056	basic	len/pident 7/100.0
blastn	1	2080	2074	basic	len/pident 7/100.0
blastn	1	2455	2449	basic	len/pident 7/100.0
blastn	1	2743	2737	basic	len/pident 7/100.0
blastn	1	3059	3065	basic	len/pident 7/100.0
blastn	1	3219	3213	basic	len/pident 7/100.0
blastn	1	4220	4226	basic	len/pident 7/100.0
blastn	1	4439	4433	basic	len/pident 7/100.0
blastn	1	4433	4439	basic	len/pident 7/100.0
blastn	1	4538	4532	basic	len/pident 7/100.0
blastn	1	6231	6237	basic	len/pident 7/100.0
blastn	1	12230	12236	basic	len/pident 7/100.0
blastn	1	13569	13563	basic	len/pident 7/100.0
blastn	1	13611	13617	basic	len/pident 7/100.0
blastn	2	3455	3468	basic	len/pident 15/93.333
blastn	2	3875	3890	basic	len/pident 16/87.5
blastn	2	5786	5771	basic	len/pident 16/87.5
blastn	2	1672	1660	basic	len/pident 13/92.308
blastn	2	4432	4447	basic	len/pident 16/87.5
blastn	2	5167	5155	basic	len/pident 13/92.308
blastn	2	933	942	basic	len/pident 10/100.0
blastn	2	2016	2025	basic	len/pident 10/100.0
blastn	2	2906	2897	basic	len/pident 10/100.0
blastn	2	232	219	basic	len/pident 14/85.714
blastn	2	1516	1529	basic	len/pident 14/85.714
blastn	2	3564	3572	basic	len/pident 9/100.0
blastn	2	4502	4494	basic	len/pident 9/100.0
blastn	2	4524	4535	basic	len/pident 14/85.714
blastn	2	5266	5274	basic	len/pident 9/100.0
blastn	2	5459	5451	basic	len/pident 9/100.0
blastn	2	5665	5657	basic	len/pident 9/100.0
blastn	2	6007	5996	basic	len/pident 12/91.667
blastn	2	6125	6141	basic	len/pident 17/82.353
blastn	2	6282	6274	basic	len/pident 9/100.0
blastn	2	7803	7811	basic	len/pident 9/100.0
blastn	2	8621	8629	basic	len/pident 9/100.0
blastn	2	9828	9820	basic	len/pident 9/100.0
blastn	2	10341	10349	basic	len/pident 9/100.0
blastn	2	208	223	basic	len/pident 16/81.25
blastn	2	6442	6452	basic	len/pident 11/90.909
blastn	2	6966	6976	basic	len/pident 11/90.909
blastn	2	7355	7345	basic	len/pident 11/90.909
blastn	2	8819	8809	basic	len/pident 11/90.909
blastn	2	12284	12274	basic	len/pident 11/90.909
blastn	2	13350	13335	basic	len/pident 16/81.25
blastn	2	824	817	basic	len/pident 8/100.0
blastn	2	1512	1505	basic	len/pident 8/100.0
blastn	2	1805	1798	basic	len/pident 8/100.0
blastn	2	2685	2678	basic	len/pident 8/100.0
blastn	2	2925	2932	basic	len/pident 8/100.0
