intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	15	11	1,4,5,6,7,9,10,11
2	2286	2324	39	0	0	-
3	2355	2581	227	0	0	-
4	2620	4119	1500	5	4	1,3,4,6,11
5	4190	4721	532	7	3	1,6,7,10,11
6	4851	5834	984	10	8	2,4,5,6,7,8,9
7	6156	6587	432	2	2	5,7
8	6849	8658	1810	12	11	4,5,6,9,10,11
9	8950	11895	2946	23	16	1,4,5,6,7,8,9,10,11
10	11988	13413	1426	12	9	3,4,5,7,10,11
11	14786	28552	13767	114	93	1,2,3,4,5,6,7,8,9,10,11
12	29248	31247	2000	17	11	1,4,5,6,7,9,10,11
