method	exon_index	sstart	send	reason	detail
blastn	1	14769	14754	basic	len/pident 16/100.0
blastn	1	223	239	basic	len/pident 17/94.118
blastn	1	2485	2469	basic	len/pident 17/94.118
blastn	1	4168	4152	basic	len/pident 17/94.118
blastn	1	10432	10419	basic	len/pident 14/100.0
blastn	1	13158	13145	basic	len/pident 14/100.0
blastn	1	13899	13912	basic	len/pident 14/100.0
blastn	1	35885	35900	basic	len/pident 17/94.118
blastn	1	37532	37547	basic	len/pident 16/93.75
blastn	1	41982	41967	basic	len/pident 16/93.75
blastn	1	42189	42174	basic	len/pident 16/93.75
blastn	1	9072	9084	basic	len/pident 13/100.0
blastn	1	12923	12935	basic	len/pident 13/100.0
blastn	1	15154	15169	basic	len/pident 16/93.75
blastn	1	18062	18077	basic	len/pident 16/93.75
blastn	1	26757	26769	basic	len/pident 13/100.0
blastn	1	37719	37731	basic	len/pident 13/100.0
blastn	1	48082	48094	basic	len/pident 13/100.0
blastn	1	2333	2347	basic	len/pident 15/93.333
blastn	1	2942	2956	basic	len/pident 15/93.333
blastn	1	9503	9489	basic	len/pident 15/93.333
blastn	1	12713	12727	basic	len/pident 15/93.333
blastn	1	17659	17645	basic	len/pident 15/93.333
blastn	1	24950	24964	basic	len/pident 15/93.333
blastn	1	25519	25505	basic	len/pident 15/93.333
blastn	1	34909	34923	basic	len/pident 15/93.333
blastn	1	35955	35969	basic	len/pident 15/93.333
blastn	1	36804	36790	basic	len/pident 15/93.333
blastn	1	36814	36828	basic	len/pident 15/93.333
blastn	1	46044	46030	basic	len/pident 15/93.333
blastn	1	46112	46126	basic	len/pident 15/93.333
blastn	1	47290	47276	basic	len/pident 15/93.333
blastn	1	47340	47326	basic	len/pident 15/93.333
blastn	1	1370	1381	basic	len/pident 12/100.0
blastn	1	1766	1777	basic	len/pident 12/100.0
blastn	1	6486	6497	basic	len/pident 12/100.0
blastn	1	6727	6743	basic	len/pident 17/88.235
blastn	1	7450	7461	basic	len/pident 12/100.0
blastn	1	10308	10297	basic	len/pident 12/100.0
blastn	1	10909	10893	basic	len/pident 17/88.235
blastn	1	11071	11055	basic	len/pident 17/88.235
blastn	1	12007	12018	basic	len/pident 12/100.0
blastn	1	13976	13987	basic	len/pident 12/100.0
blastn	1	16783	16767	basic	len/pident 17/88.235
blastn	1	18577	18593	basic	len/pident 17/88.235
blastn	1	20039	20028	basic	len/pident 12/100.0
blastn	1	21015	21004	basic	len/pident 12/100.0
blastn	1	30495	30506	basic	len/pident 12/100.0
blastn	1	32217	32201	basic	len/pident 17/88.235
blastn	1	33928	33944	basic	len/pident 17/88.235
blastn	1	34687	34698	basic	len/pident 12/100.0
blastn	1	35033	35017	basic	len/pident 17/88.235
