metric	value
hits:exon->CDS	7
hits:exon->exon	2
hits:exon->intron	128
copies:exon_to_intron_total	119
copies:exon_01_(2001-4270)	40
copies:exon_02_(6822-6979)	15
copies:exon_03_(56474-56579)	18
copies:exon_04_(58619-59102)	23
copies:exon_05_(62110-62283)	23
intron:total_raw_exon_to_intron_hits	118
intron:total_clustered_copies	104
intron_01_(1-2000):raw_hits	2
intron_01_(1-2000):clustered_copies	2
intron_02_(4271-6821):raw_hits	2
intron_02_(4271-6821):clustered_copies	2
intron_03_(6980-56473):raw_hits	98
intron_03_(6980-56473):clustered_copies	85
intron_04_(56580-58618):raw_hits	7
intron_04_(56580-58618):clustered_copies	6
intron_05_(59103-62109):raw_hits	5
intron_05_(59103-62109):clustered_copies	5
intron_06_(62284-64283):raw_hits	4
intron_06_(62284-64283):clustered_copies	4
