exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	1	498	2001	2498	100.0	166	398.0	1.13e-114	3	tblastx:e1e1
1	497	3	2497	2003	100.0	165	380.0	2.7e-109	-3	tblastx:e1e1
1	496	2	2496	2002	100.0	165	372.0	1.13e-106	-1	tblastx:e1e1
1	3	497	2003	2497	100.0	165	371.0	2.13e-106	2	tblastx:e1e1
1	2	496	2002	2496	100.0	165	365.0	1.32e-104	1	tblastx:e1e1
1	498	1	2498	2001	100.0	166	365.0	1.32e-104	-2	tblastx:e1e1
1	380	342	13535	13497	61.538	13	23.5	0.1	-2	tblastx:e1e1
1	82	132	9615	9565	41.176	17	21.2	0.51	-1	tblastx:e1e1
1	395	312	2301	2384	32.143	28	19.4	1.8	3	tblastx:e1e1
1	301	384	2395	2312	32.143	28	19.4	1.8	-3	tblastx:e1e1
1	405	452	10139	10092	50.0	16	18.9	2.5	-2	tblastx:e1e1
1	242	210	2205	2237	72.727	11	18.5	3.5	3	tblastx:e1e1
1	2	22	4546	4566	71.429	7	18.5	3.5	1	tblastx:e1e1
1	3	26	4106	4083	75.0	8	18.5	3.5	-2	tblastx:e1e1
1	205	237	2242	2210	72.727	11	18.5	3.5	-3	tblastx:e1e1
1	129	97	12830	12862	54.545	11	18.5	3.5	2	tblastx:e1e1
1	248	225	6556	6579	62.5	8	18.0	4.7	1	tblastx:e1e1
1	153	88	11065	11130	50.0	22	18.0	4.7	1	tblastx:e1e1
1	311	285	9513	9487	55.556	9	17.6	6.5	-1	tblastx:e1e1
1	1	18	9816	9833	100.0	6	17.6	6.5	3	tblastx:e1e1
1	377	336	641	682	42.857	14	17.1	9.0	2	tblastx:e1e1
1	381	416	2680	2715	33.333	12	17.1	9.0	1	tblastx:e1e1
1	322	342	10540	10520	57.143	7	17.1	9.0	-3	tblastx:e1e1
1	185	129	5780	5836	42.105	19	17.1	9.0	2	tblastx:e1e1
1	263	219	6751	6707	46.667	15	17.1	9.0	-3	tblastx:e1e1
1	79	17	7182	7244	42.857	21	17.1	9.0	3	tblastx:e1e1
2	2	85	2753	2836	100.0	28	74.8	2.67e-18	2	tblastx:e1e1
2	1	84	2752	2835	100.0	28	73.5	6.93e-18	1	tblastx:e1e1
2	85	2	2836	2753	100.0	28	72.0	1.91e-17	-3	tblastx:e1e1
2	84	1	2835	2752	100.0	28	67.0	5.91e-16	-1	tblastx:e1e1
2	86	3	2837	2754	100.0	28	63.4	7.5e-15	-2	tblastx:e1e1
2	3	86	2754	2837	100.0	28	62.6	1.31e-14	3	tblastx:e1e1
2	61	23	8283	8245	61.538	13	20.3	0.069	-1	tblastx:e1e1
2	13	39	8521	8547	55.556	9	15.3	2.3	1	tblastx:e1e1
2	2	25	11913	11890	50.0	8	14.8	3.1	-1	tblastx:e1e1
2	60	34	9602	9576	66.667	9	13.9	5.9	-2	tblastx:e1e1
2	10	57	8666	8619	37.5	16	13.9	5.9	-2	tblastx:e1e1
3	1	168	3635	3802	100.0	56	133.0	1.5e-35	2	tblastx:e1e1
3	3	170	3637	3804	100.0	56	133.0	1.5e-35	1	tblastx:e1e1
3	170	3	3804	3637	100.0	56	131.0	7.36e-35	-1	tblastx:e1e1
3	2	169	3636	3803	100.0	56	124.0	8.63e-33	3	tblastx:e1e1
3	168	1	3802	3635	100.0	56	123.0	2.24e-32	-3	tblastx:e1e1
3	169	2	3803	3636	100.0	56	121.0	1.09e-31	-2	tblastx:e1e1
3	33	89	1781	1725	47.368	19	22.6	0.05	-2	tblastx:e1e1
3	88	147	9267	9208	30.0	20	18.0	1.2	-1	tblastx:e1e1
3	122	78	8877	8833	46.667	15	18.0	1.2	-1	tblastx:e1e1
3	113	69	5232	5276	40.0	15	18.0	1.2	3	tblastx:e1e1
3	138	164	5453	5427	55.556	9	17.6	1.6	-2	tblastx:e1e1
3	123	158	4549	4584	41.667	12	17.1	2.2	1	tblastx:e1e1
3	138	167	759	730	50.0	10	17.1	2.2	-1	tblastx:e1e1
3	122	139	2334	2351	100.0	6	16.2	4.2	3	tblastx:e1e1
3	120	149	3570	3541	60.0	10	16.2	4.2	-1	tblastx:e1e1
3	119	136	5291	5274	83.333	6	15.3	8.0	-2	tblastx:e1e1
4	100	2	4944	4846	100.0	33	88.1	3.47e-22	-1	tblastx:e1e1
4	99	1	4943	4845	100.0	33	85.4	2.33e-21	-2	tblastx:e1e1
4	2	100	4846	4944	100.0	33	84.9	3.45e-21	1	tblastx:e1e1
4	1	99	4845	4943	100.0	33	79.0	2.15e-19	3	tblastx:e1e1
4	3	98	4847	4942	100.0	32	78.5	2.95e-19	2	tblastx:e1e1
4	98	3	4942	4847	100.0	32	76.2	1.34e-18	-3	tblastx:e1e1
4	99	22	8408	8331	26.923	26	18.0	0.44	-2	tblastx:e1e1
4	58	32	10137	10111	55.556	9	17.6	0.61	-1	tblastx:e1e1
4	35	9	7183	7209	44.444	9	17.6	0.61	1	tblastx:e1e1
4	36	80	6256	6212	40.0	15	17.1	0.9	-3	tblastx:e1e1
4	61	78	2392	2375	83.333	6	16.6	1.2	-3	tblastx:e1e1
4	73	20	13180	13127	38.889	18	15.7	2.2	-3	tblastx:e1e1
4	29	6	1363	1340	62.5	8	15.7	2.2	-3	tblastx:e1e1
4	63	80	12682	12665	83.333	6	15.7	2.3	-3	tblastx:e1e1
4	35	18	6561	6578	66.667	6	15.3	3.0	3	tblastx:e1e1
4	9	59	6824	6774	41.176	17	14.4	6.0	-2	tblastx:e1e1
4	42	83	453	412	35.714	14	14.4	6.0	-1	tblastx:e1e1
4	48	19	3273	3302	50.0	10	13.9	7.7	3	tblastx:e1e1
5	138	1	5697	5560	100.0	46	120.0	1.12e-31	-1	tblastx:e1e1
5	2	139	5561	5698	100.0	46	115.0	5.05e-30	2	tblastx:e1e1
5	3	137	5562	5696	100.0	45	111.0	4.67e-29	3	tblastx:e1e1
5	139	2	5698	5561	100.0	46	108.0	5.92e-28	-3	tblastx:e1e1
5	137	3	5696	5562	100.0	45	106.0	2.11e-27	-2	tblastx:e1e1
5	1	138	5560	5697	100.0	46	101.0	5.05e-26	1	tblastx:e1e1
5	135	91	2707	2663	40.0	15	18.9	0.47	-3	tblastx:e1e1
5	67	20	9597	9550	43.75	16	18.5	0.64	-1	tblastx:e1e1
5	125	84	7078	7037	42.857	14	17.1	1.7	-3	tblastx:e1e1
5	74	94	3248	3228	71.429	7	17.1	1.7	-2	tblastx:e1e1
5	117	79	2725	2763	46.154	13	16.6	2.3	1	tblastx:e1e1
5	70	11	11080	11139	40.0	20	16.2	3.1	1	tblastx:e1e1
5	70	35	12598	12563	41.667	12	15.7	4.3	-3	tblastx:e1e1
5	93	67	1750	1724	55.556	9	15.7	4.3	-3	tblastx:e1e1
5	43	20	9728	9705	37.5	8	15.3	5.9	-2	tblastx:e1e1
5	60	40	6073	6053	42.857	7	15.3	5.9	-3	tblastx:e1e1
