method	exon_index	sstart	send	reason	detail
blastn	1	1573	1588	basic	len/pident 16/93.75
blastn	1	2662	2677	basic	len/pident 17/88.235
blastn	1	890	880	basic	len/pident 11/100.0
blastn	1	436	450	basic	len/pident 16/87.5
blastn	1	523	538	basic	len/pident 16/87.5
blastn	1	1046	1058	basic	len/pident 13/92.308
blastn	1	1662	1650	basic	len/pident 13/92.308
blastn	1	3285	3273	basic	len/pident 13/92.308
blastn	1	4189	4203	basic	len/pident 16/87.5
blastn	1	4600	4614	basic	len/pident 16/87.5
blastn	1	5463	5477	basic	len/pident 16/87.5
blastn	1	71	80	basic	len/pident 10/100.0
blastn	1	401	390	basic	len/pident 13/92.308
blastn	1	709	700	basic	len/pident 10/100.0
blastn	1	1810	1801	basic	len/pident 10/100.0
blastn	1	3794	3785	basic	len/pident 10/100.0
blastn	1	3805	3796	basic	len/pident 10/100.0
blastn	1	5454	5463	basic	len/pident 10/100.0
blastn	1	78	64	basic	len/pident 15/86.667
blastn	1	376	392	basic	len/pident 17/82.353
blastn	1	559	545	basic	len/pident 15/86.667
blastn	1	1039	1053	basic	len/pident 15/86.667
blastn	1	1095	1106	basic	len/pident 12/91.667
blastn	1	2084	2073	basic	len/pident 12/91.667
blastn	1	2192	2181	basic	len/pident 12/91.667
blastn	1	2592	2581	basic	len/pident 12/91.667
blastn	1	4102	4113	basic	len/pident 12/91.667
blastn	1	4504	4518	basic	len/pident 15/86.667
blastn	1	4810	4797	basic	len/pident 15/86.667
blastn	1	4985	4998	basic	len/pident 15/86.667
blastn	1	813	821	basic	len/pident 9/100.0
blastn	1	1160	1168	basic	len/pident 9/100.0
blastn	1	1502	1517	basic	len/pident 17/82.353
blastn	1	1513	1502	basic	len/pident 12/91.667
blastn	1	2488	2501	basic	len/pident 14/85.714
blastn	1	2576	2587	basic	len/pident 12/91.667
blastn	1	2585	2577	basic	len/pident 9/100.0
blastn	1	2751	2743	basic	len/pident 9/100.0
blastn	1	4054	4041	basic	len/pident 14/85.714
blastn	1	4164	4172	basic	len/pident 9/100.0
blastn	1	4374	4386	basic	len/pident 15/86.667
blastn	1	4626	4613	basic	len/pident 14/85.714
blastn	1	5118	5131	basic	len/pident 14/85.714
blastn	1	5143	5159	basic	len/pident 17/82.353
blastn	1	149	159	basic	len/pident 11/90.909
blastn	1	260	250	basic	len/pident 11/90.909
blastn	1	376	389	basic	len/pident 14/85.714
blastn	1	604	589	basic	len/pident 16/81.25
blastn	1	715	705	basic	len/pident 11/90.909
blastn	1	888	878	basic	len/pident 11/90.909
blastn	1	999	1009	basic	len/pident 11/90.909
blastn	1	1123	1110	basic	len/pident 16/81.25
blastn	1	1999	2009	basic	len/pident 11/90.909
blastn	1	3401	3411	basic	len/pident 11/90.909
blastn	1	3918	3908	basic	len/pident 11/90.909
blastn	1	4195	4185	basic	len/pident 11/90.909
blastn	1	4241	4231	basic	len/pident 11/90.909
blastn	1	4645	4630	basic	len/pident 17/82.353
blastn	1	4656	4668	basic	len/pident 14/85.714
blastn	1	5066	5081	basic	len/pident 16/81.25
blastn	1	150	143	basic	len/pident 8/100.0
blastn	1	240	247	basic	len/pident 8/100.0
blastn	1	288	295	basic	len/pident 8/100.0
blastn	1	570	577	basic	len/pident 8/100.0
blastn	1	751	758	basic	len/pident 8/100.0
blastn	1	990	997	basic	len/pident 8/100.0
blastn	1	1162	1169	basic	len/pident 8/100.0
blastn	1	1487	1494	basic	len/pident 8/100.0
blastn	1	1495	1502	basic	len/pident 8/100.0
blastn	1	1755	1748	basic	len/pident 8/100.0
blastn	1	1798	1791	basic	len/pident 8/100.0
blastn	1	1861	1854	basic	len/pident 8/100.0
blastn	1	1884	1891	basic	len/pident 8/100.0
blastn	1	2030	2023	basic	len/pident 8/100.0
blastn	1	2211	2204	basic	len/pident 8/100.0
blastn	1	2334	2327	basic	len/pident 8/100.0
blastn	1	2348	2355	basic	len/pident 8/100.0
blastn	1	2579	2586	basic	len/pident 8/100.0
blastn	1	2778	2771	basic	len/pident 8/100.0
blastn	1	2771	2778	basic	len/pident 8/100.0
blastn	1	2864	2857	basic	len/pident 8/100.0
blastn	1	2926	2919	basic	len/pident 8/100.0
blastn	1	2948	2963	basic	len/pident 16/81.25
blastn	1	3028	3035	basic	len/pident 8/100.0
blastn	1	3042	3049	basic	len/pident 8/100.0
blastn	1	3071	3078	basic	len/pident 8/100.0
blastn	1	3155	3148	basic	len/pident 8/100.0
blastn	1	3286	3293	basic	len/pident 8/100.0
blastn	1	3310	3317	basic	len/pident 8/100.0
blastn	1	3586	3579	basic	len/pident 8/100.0
blastn	1	4085	4097	basic	len/pident 13/84.615
blastn	1	4113	4120	basic	len/pident 8/100.0
blastn	1	4159	4152	basic	len/pident 8/100.0
blastn	1	4172	4165	basic	len/pident 8/100.0
blastn	1	4322	4329	basic	len/pident 8/100.0
blastn	1	5210	5203	basic	len/pident 8/100.0
blastn	1	5252	5259	basic	len/pident 8/100.0
blastn	1	5260	5253	basic	len/pident 8/100.0
blastn	2	5011	4999	basic	len/pident 13/100.0
blastn	2	32	16	basic	len/pident 17/88.235
blastn	2	821	837	basic	len/pident 17/88.235
blastn	2	2337	2353	basic	len/pident 17/88.235
blastn	2	2522	2537	basic	len/pident 17/88.235
blastn	2	180	165	basic	len/pident 16/87.5
blastn	2	1449	1459	basic	len/pident 11/100.0
blastn	2	3055	3045	basic	len/pident 11/100.0
blastn	2	3900	3912	basic	len/pident 14/92.857
blastn	2	4356	4366	basic	len/pident 11/100.0
blastn	2	4614	4624	basic	len/pident 11/100.0
blastn	2	5166	5176	basic	len/pident 11/100.0
blastn	2	381	395	basic	len/pident 16/87.5
blastn	2	1949	1961	basic	len/pident 13/92.308
blastn	2	2367	2353	basic	len/pident 16/87.5
blastn	2	2828	2813	basic	len/pident 16/87.5
blastn	2	2896	2908	basic	len/pident 13/92.308
blastn	2	3607	3619	basic	len/pident 13/92.308
blastn	2	1000	1014	basic	len/pident 15/86.667
blastn	2	1189	1203	basic	len/pident 15/86.667
blastn	2	2331	2322	basic	len/pident 10/100.0
blastn	2	2869	2860	basic	len/pident 10/100.0
blastn	2	3006	2997	basic	len/pident 10/100.0
blastn	2	3014	3002	basic	len/pident 13/92.308
blastn	2	3049	3058	basic	len/pident 10/100.0
blastn	2	3051	3065	basic	len/pident 15/86.667
blastn	2	3172	3160	basic	len/pident 13/92.308
blastn	2	3868	3877	basic	len/pident 10/100.0
blastn	2	3907	3893	basic	len/pident 15/86.667
blastn	2	4106	4094	basic	len/pident 13/92.308
blastn	2	4600	4591	basic	len/pident 10/100.0
blastn	2	4909	4918	basic	len/pident 10/100.0
blastn	2	5105	5096	basic	len/pident 10/100.0
blastn	2	5180	5171	basic	len/pident 10/100.0
blastn	2	330	319	basic	len/pident 12/91.667
blastn	2	693	682	basic	len/pident 12/91.667
blastn	2	2004	1988	basic	len/pident 17/82.353
blastn	2	1997	2008	basic	len/pident 12/91.667
blastn	2	2066	2055	basic	len/pident 12/91.667
blastn	2	2936	2925	basic	len/pident 12/91.667
blastn	2	3198	3209	basic	len/pident 12/91.667
blastn	2	4144	4160	basic	len/pident 17/82.353
blastn	2	4468	4452	basic	len/pident 17/82.353
blastn	2	4663	4674	basic	len/pident 12/91.667
blastn	2	4729	4740	basic	len/pident 12/91.667
blastn	2	35	43	basic	len/pident 9/100.0
blastn	2	167	154	basic	len/pident 14/85.714
blastn	2	546	538	basic	len/pident 9/100.0
blastn	2	728	736	basic	len/pident 9/100.0
blastn	2	914	922	basic	len/pident 9/100.0
blastn	2	1044	1052	basic	len/pident 9/100.0
blastn	2	1067	1075	basic	len/pident 9/100.0
blastn	2	1389	1381	basic	len/pident 9/100.0
blastn	2	1423	1431	basic	len/pident 9/100.0
blastn	2	1715	1707	basic	len/pident 9/100.0
