exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	2734	2001	4734	100.0	2734	4065.0	0.0	blastn:w7;e1e2
1	283	400	9532	9649	69.048	126	42.2	1.33e-05	blastn:w7;e1e2
1	332	404	10871	10943	71.429	77	35.5	0.000818	blastn:w7;e1e2
1	270	341	7768	7700	72.222	72	33.3	0.006	blastn:w7;e1e2
1	727	781	12150	12099	74.138	58	29.6	0.05	blastn:w7;e1e2
1	284	434	5022	4885	63.75	160	28.8	0.14	blastn:w7;e1e2
1	488	528	6671	6705	76.19	42	26.6	0.4	blastn:w7;e1e2
1	2079	2174	2391	2291	66.667	105	25.1	1.1	blastn:w7;e1e2
1	291	391	4174	4079	66.667	105	25.1	1.1	blastn:w7;e1e2
1	439	474	8158	8125	77.778	36	25.1	1.1	blastn:w7;e1e2
1	2124	2172	7700	7747	72.0	50	24.4	3.1	blastn:w7;e1e2
1	1285	1319	3319	3285	73.684	38	23.6	3.1	blastn:w7;e1e2
1	1938	1951	3951	3938	100.0	14	23.6	3.1	blastn:w7;e1e2
1	50	90	5290	5339	70.0	50	23.6	3.1	blastn:w7;e1e2
1	203	245	8944	8987	72.34	47	23.6	3.1	blastn:w7;e1e2
1	1962	1977	854	869	93.75	16	22.9	8.7	blastn:w7;e1e2
1	1741	1769	10319	10294	79.31	29	22.9	8.7	blastn:w7;e1e2
1	2535	2570	13394	13363	75.676	37	22.9	8.7	blastn:w7;e1e2
1	1651	1663	890	878	100.0	13	22.2	8.7	blastn:w7;e1e2
1	1717	1740	1035	1014	83.333	24	22.2	8.7	blastn:w7;e1e2
1	1842	1872	6745	6774	77.419	31	22.2	8.7	blastn:w7;e1e2
1	623	650	11677	11650	79.31	29	22.2	8.7	blastn:w7;e1e2
1	2079	2091	12191	12179	100.0	13	22.2	8.7	blastn:w7;e1e2
1	165	188	13665	13644	83.333	24	22.2	8.7	blastn:w7;e1e2
1	1866	1885	14797	14777	85.714	21	22.2	8.7	blastn:w7;e1e2
1	864	878	5532	5546	93.333	15	21.4	24.0	blastn:w7;e1e2
1	1740	1762	7596	7569	78.571	28	21.4	24.0	blastn:w7;e1e2
1	85	99	8429	8415	93.333	15	21.4	24.0	blastn:w7;e1e2
1	1327	1346	13249	13230	85.0	20	21.4	24.0	blastn:w7;e1e2
1	901	915	15	28	93.333	15	20.7	24.0	blastn:w7;e1e2
1	1745	1761	966	982	88.235	17	20.7	24.0	blastn:w7;e1e2
1	1975	1986	3825	3836	100.0	12	20.7	24.0	blastn:w7;e1e2
1	1825	1836	3975	3986	100.0	12	20.7	24.0	blastn:w7;e1e2
1	2517	2538	4155	4131	80.0	25	20.7	24.0	blastn:w7;e1e2
1	2637	2648	4261	4250	100.0	12	20.7	24.0	blastn:w7;e1e2
1	2131	2155	4538	4517	80.0	25	20.7	24.0	blastn:w7;e1e2
1	2250	2261	4648	4637	100.0	12	20.7	24.0	blastn:w7;e1e2
1	934	957	4780	4804	80.0	25	20.7	24.0	blastn:w7;e1e2
1	55	73	5490	5471	85.0	20	20.7	24.0	blastn:w7;e1e2
1	86	97	8378	8389	100.0	12	20.7	24.0	blastn:w7;e1e2
1	369	385	10333	10349	88.235	17	20.7	24.0	blastn:w7;e1e2
1	223	237	10586	10573	93.333	15	20.7	24.0	blastn:w7;e1e2
1	497	511	10956	10943	93.333	15	20.7	24.0	blastn:w7;e1e2
1	1369	1385	13658	13674	88.235	17	20.7	24.0	blastn:w7;e1e2
1	1523	1539	14467	14483	88.235	17	20.7	24.0	blastn:w7;e1e2
1	1370	1383	82	95	92.857	14	19.9	68.0	blastn:w7;e1e2
1	646	664	1669	1651	84.211	19	19.9	68.0	blastn:w7;e1e2
1	2588	2601	5601	5614	92.857	14	19.9	68.0	blastn:w7;e1e2
1	1899	1917	6210	6192	84.211	19	19.9	68.0	blastn:w7;e1e2
1	1734	1747	6849	6836	92.857	14	19.9	68.0	blastn:w7;e1e2
1	2482	2495	7657	7644	92.857	14	19.9	68.0	blastn:w7;e1e2
1	1292	1316	7777	7799	80.0	25	19.9	68.0	blastn:w7;e1e2
1	916	929	8638	8625	92.857	14	19.9	68.0	blastn:w7;e1e2
1	1661	1677	10066	10081	88.235	17	19.9	68.0	blastn:w7;e1e2
1	1911	1924	10271	10284	92.857	14	19.9	68.0	blastn:w7;e1e2
1	2492	2505	12518	12531	92.857	14	19.9	68.0	blastn:w7;e1e2
1	1892	1915	13532	13555	79.167	24	19.9	68.0	blastn:w7;e1e2
1	1652	1670	13872	13890	84.211	19	19.9	68.0	blastn:w7;e1e2
1	1806	1819	14603	14590	92.857	14	19.9	68.0	blastn:w7;e1e2
1	1470	1485	547	532	87.5	16	19.2	68.0	blastn:w7;e1e2
1	1450	1460	729	719	100.0	11	19.2	68.0	blastn:w7;e1e2
1	1063	1073	835	845	100.0	11	19.2	68.0	blastn:w7;e1e2
1	1672	1682	5236	5226	100.0	11	19.2	68.0	blastn:w7;e1e2
1	200	210	5479	5469	100.0	11	19.2	68.0	blastn:w7;e1e2
1	716	726	5524	5514	100.0	11	19.2	68.0	blastn:w7;e1e2
1	1328	1343	5714	5729	87.5	16	19.2	68.0	blastn:w7;e1e2
1	904	919	6166	6151	87.5	16	19.2	68.0	blastn:w7;e1e2
1	1653	1663	6351	6361	100.0	11	19.2	68.0	blastn:w7;e1e2
1	688	703	7103	7088	87.5	16	19.2	68.0	blastn:w7;e1e2
1	249	261	8091	8104	92.857	14	19.2	68.0	blastn:w7;e1e2
1	121	131	8909	8899	100.0	11	19.2	68.0	blastn:w7;e1e2
1	783	793	9021	9011	100.0	11	19.2	68.0	blastn:w7;e1e2
1	141	151	9218	9208	100.0	11	19.2	68.0	blastn:w7;e1e2
1	2000	2010	10836	10826	100.0	11	19.2	68.0	blastn:w7;e1e2
1	1132	1142	12597	12607	100.0	11	19.2	68.0	blastn:w7;e1e2
1	1536	1551	12780	12765	87.5	16	19.2	68.0	blastn:w7;e1e2
1	177	187	13859	13849	100.0	11	19.2	68.0	blastn:w7;e1e2
1	530	540	14321	14311	100.0	11	19.2	68.0	blastn:w7;e1e2
1	1527	1537	14520	14530	100.0	11	19.2	68.0	blastn:w7;e1e2
2	1	1872	4955	6826	100.0	1872	2784.0	0.0	blastn:w7;e1e2
2	1643	1680	1641	1601	76.19	42	27.4	0.27	blastn:w7;e1e2
2	1717	1751	2488	2528	76.19	42	26.6	0.27	blastn:w7;e1e2
2	761	788	14183	14210	82.143	28	25.9	0.75	blastn:w7;e1e2
2	1820	1846	7188	7215	82.143	28	25.1	0.75	blastn:w7;e1e2
2	1726	1748	8168	8191	84.0	25	24.4	2.1	blastn:w7;e1e2
2	1381	1407	903	878	81.481	27	23.6	2.1	blastn:w7;e1e2
2	336	385	2050	2090	70.0	50	23.6	2.1	blastn:w7;e1e2
2	1785	1803	5087	5069	89.474	19	23.6	2.1	blastn:w7;e1e2
2	115	133	6757	6739	89.474	19	23.6	2.1	blastn:w7;e1e2
2	21	81	9589	9529	69.231	65	23.6	2.1	blastn:w7;e1e2
2	1701	1734	11544	11519	73.529	34	22.9	5.9	blastn:w7;e1e2
2	1554	1574	11704	11684	85.714	21	22.9	5.9	blastn:w7;e1e2
2	1791	1820	3842	3872	77.419	31	22.2	5.9	blastn:w7;e1e2
2	1584	1601	7003	6986	88.889	18	22.2	5.9	blastn:w7;e1e2
2	1701	1723	11251	11229	82.609	23	22.2	5.9	blastn:w7;e1e2
2	1362	1379	13338	13321	88.889	18	22.2	5.9	blastn:w7;e1e2
2	578	592	2864	2878	93.333	15	21.4	17.0	blastn:w7;e1e2
2	1054	1085	9065	9037	75.758	33	21.4	17.0	blastn:w7;e1e2
2	712	733	11544	11524	82.609	23	21.4	17.0	blastn:w7;e1e2
2	1389	1400	784	795	100.0	12	20.7	17.0	blastn:w7;e1e2
2	46	57	1423	1434	100.0	12	20.7	17.0	blastn:w7;e1e2
2	517	536	2073	2055	85.0	20	20.7	17.0	blastn:w7;e1e2
2	108	137	5091	5062	75.0	32	20.7	17.0	blastn:w7;e1e2
2	1033	1044	8092	8103	100.0	12	20.7	17.0	blastn:w7;e1e2
2	707	730	8400	8378	80.0	25	20.7	17.0	blastn:w7;e1e2
2	513	524	8608	8597	100.0	12	20.7	17.0	blastn:w7;e1e2
2	1612	1633	431	451	81.818	22	19.9	46.0	blastn:w7;e1e2
2	1197	1215	1262	1278	84.211	19	19.9	46.0	blastn:w7;e1e2
2	1238	1256	3917	3899	84.211	19	19.9	46.0	blastn:w7;e1e2
2	647	660	4588	4601	92.857	14	19.9	46.0	blastn:w7;e1e2
2	324	337	5169	5182	92.857	14	19.9	46.0	blastn:w7;e1e2
2	425	438	5253	5240	92.857	14	19.9	46.0	blastn:w7;e1e2
2	215	228	5278	5291	92.857	14	19.9	46.0	blastn:w7;e1e2
2	286	299	5392	5379	92.857	14	19.9	46.0	blastn:w7;e1e2
2	1703	1716	6137	6124	92.857	14	19.9	46.0	blastn:w7;e1e2
2	1170	1183	6670	6657	92.857	14	19.9	46.0	blastn:w7;e1e2
2	237	253	7582	7564	84.211	19	19.9	46.0	blastn:w7;e1e2
2	548	561	9923	9936	92.857	14	19.9	46.0	blastn:w7;e1e2
2	783	796	10336	10323	92.857	14	19.9	46.0	blastn:w7;e1e2
2	611	624	11708	11695	92.857	14	19.9	46.0	blastn:w7;e1e2
2	1773	1789	12159	12144	88.235	17	19.9	46.0	blastn:w7;e1e2
2	1215	1244	12292	12262	75.758	33	19.9	46.0	blastn:w7;e1e2
2	156	174	696	676	80.952	21	19.2	46.0	blastn:w7;e1e2
2	645	655	1182	1172	100.0	11	19.2	46.0	blastn:w7;e1e2
2	346	361	1226	1211	87.5	16	19.2	46.0	blastn:w7;e1e2
2	515	525	2210	2200	100.0	11	19.2	46.0	blastn:w7;e1e2
2	560	570	2726	2716	100.0	11	19.2	46.0	blastn:w7;e1e2
2	1197	1212	2919	2904	87.5	16	19.2	46.0	blastn:w7;e1e2
2	760	775	3328	3343	87.5	16	19.2	46.0	blastn:w7;e1e2
2	1397	1407	3653	3663	100.0	11	19.2	46.0	blastn:w7;e1e2
2	272	282	3682	3672	100.0	11	19.2	46.0	blastn:w7;e1e2
2	1054	1088	3862	3898	72.973	37	19.2	46.0	blastn:w7;e1e2
2	1581	1593	6481	6468	92.857	14	19.2	46.0	blastn:w7;e1e2
2	1514	1527	6547	6535	92.857	14	19.2	46.0	blastn:w7;e1e2
2	1021	1036	7042	7057	87.5	16	19.2	46.0	blastn:w7;e1e2
2	1383	1408	8098	8073	76.923	26	19.2	46.0	blastn:w7;e1e2
2	712	722	8880	8890	100.0	11	19.2	46.0	blastn:w7;e1e2
2	521	536	9682	9697	87.5	16	19.2	46.0	blastn:w7;e1e2
2	1686	1711	10289	10266	76.923	26	19.2	46.0	blastn:w7;e1e2
2	593	603	11088	11098	100.0	11	19.2	46.0	blastn:w7;e1e2
2	425	435	11803	11793	100.0	11	19.2	46.0	blastn:w7;e1e2
2	290	300	11794	11804	100.0	11	19.2	46.0	blastn:w7;e1e2
2	1618	1628	11821	11811	100.0	11	19.2	46.0	blastn:w7;e1e2
2	191	201	12089	12079	100.0	11	19.2	46.0	blastn:w7;e1e2
2	974	984	12290	12280	100.0	11	19.2	46.0	blastn:w7;e1e2
3	1	6156	6910	13065	100.0	6156	9150.0	0.0	blastn:w7;e1e2
3	2623	2740	2283	2400	69.048	126	42.2	3.01e-05	blastn:w7;e1e2
3	2625	2699	7755	7686	74.684	79	42.2	3.01e-05	blastn:w7;e1e2
3	777	846	9608	9534	74.684	79	42.2	3.01e-05	blastn:w7;e1e2
3	3962	4034	2332	2404	71.429	77	35.5	0.002	blastn:w7;e1e2
3	791	859	2341	2270	72.222	72	33.3	0.015	blastn:w7;e1e2
3	2495	2543	8137	8192	74.138	58	31.1	0.041	blastn:w7;e1e2
3	1228	1283	9404	9452	74.138	58	31.1	0.041	blastn:w7;e1e2
3	506	590	7499	7415	66.667	96	28.1	0.32	blastn:w7;e1e2
3	5173	5201	1576	1545	81.25	32	27.4	0.9	blastn:w7;e1e2
3	387	417	7326	7296	81.25	32	26.6	0.9	blastn:w7;e1e2
3	3350	3413	8190	8118	69.333	75	26.6	0.9	blastn:w7;e1e2
3	1209	1281	10322	10259	69.333	75	26.6	0.9	blastn:w7;e1e2
3	1216	1249	2474	2439	77.778	36	25.1	2.5	blastn:w7;e1e2
