exon_index	sstart	send	length	bitscore	evalue	evidence
	-1	-1	0	40.3	5.7e-12	phmmer:f0
	-1	-1	0	50.5	1.8e-15	phmmer:f0
	-1	-1	0	46.6	7.1e-14	phmmer:f0
	-1	-1	0	44.7	2.8e-13	phmmer:f0
	-1	-1	0	21.6	4.9e-06	phmmer:f0
	-1	-1	0	90.2	5.3e-27	phmmer:f0
	-1	-1	0	76.2	1.3e-22	phmmer:f0
	-1	-1	0	25.8	7.1e-07	phmmer:f0
	-1	-1	0	48.5	1.1e-14	phmmer:f0
	-1	-1	0	13.2	0.006	phmmer:f0
	-1	-1	0	78.5	1.5e-23	phmmer:f0
	-1	-1	0	60.6	6.8e-18	phmmer:f0
	-1	-1	0	47.8	4.1e-14	phmmer:f0
	-1	-1	0	45.3	2.7e-13	phmmer:f0
	-1	-1	0	74.9	8.6e-23	phmmer:f0
	-1	-1	0	11.9	0.014	phmmer:f0
	-1	-1	0	42.9	4.7e-13	phmmer:f0
	-1	-1	0	120.8	9e-37	phmmer:f0
	-1	-1	0	59.1	3.3e-18	phmmer:f0
	-1	-1	0	68.6	1.4e-20	phmmer:f0
	-1	-1	0	38.4	7.1e-11	phmmer:f0
	-1	-1	0	66.7	2.4e-20	phmmer:f0
	-1	-1	0	97.0	9.2e-30	phmmer:f0
	-1	-1	0	67.7	2.6e-20	phmmer:f0
	-1	-1	0	65.6	1.9e-19	phmmer:f0
	-1	-1	0	61.6	3.5e-18	phmmer:f0
	-1	-1	0	12.1	0.015	phmmer:f0
	-1	-1	0	5.2	2.2	phmmer:f0
	-1	-1	0	113.9	1.3e-34	phmmer:f0
	-1	-1	0	43.1	5.9e-12	phmmer:f0
	-1	-1	0	42.6	8.4e-12	phmmer:f0
	-1	-1	0	29.0	1.9e-07	phmmer:f0
	-1	-1	0	26.9	9.3e-07	phmmer:f0
	-1	-1	0	26.3	1.4e-06	phmmer:f0
	-1	-1	0	24.7	4.4e-06	phmmer:f0
	-1	-1	0	23.0	1.6e-05	phmmer:f0
	-1	-1	0	22.4	2.4e-05	phmmer:f0
	-1	-1	0	21.8	4e-05	phmmer:f0
	-1	-1	0	21.7	4.2e-05	phmmer:f0
	-1	-1	0	20.7	8.5e-05	phmmer:f0
	-1	-1	0	19.7	0.00018	phmmer:f0
	-1	-1	0	16.3	0.0021	phmmer:f0
	-1	-1	0	14.9	0.0061	phmmer:f0
	-1	-1	0	14.9	0.0061	phmmer:f0
	-1	-1	0	14.6	0.0078	phmmer:f0
	-1	-1	0	14.5	0.0087	phmmer:f0
	-1	-1	0	13.2	0.022	phmmer:f0
	-1	-1	0	11.3	0.089	phmmer:f0
	-1	-1	0	116.9	1.4e-35	phmmer:f0
	-1	-1	0	99.9	2.3e-30	phmmer:f0
