exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	2	2734	2002	4734	100.0	911	2170.0	0.0	1	tblastx:e1e1
1	2733	1	4733	2001	100.0	911	2166.0	0.0	-1	tblastx:e1e1
1	2732	3	4732	2003	100.0	910	2166.0	0.0	-2	tblastx:e1e1
1	3	2732	2003	4732	100.0	910	2128.0	0.0	2	tblastx:e1e1
1	1	2733	2001	4733	100.0	911	2110.0	0.0	3	tblastx:e1e1
1	2734	2	4734	2002	100.0	911	2101.0	0.0	-3	tblastx:e1e1
1	407	300	10946	10839	41.667	36	36.8	4.88e-06	-1	tblastx:e1e1
1	460	407	11015	10962	44.444	18	21.2	4.88e-06	-1	tblastx:e1e1
1	435	364	4884	4955	45.833	24	29.9	0.009	3	tblastx:e1e1
1	311	400	10850	10939	43.333	30	29.9	0.009	2	tblastx:e1e1
1	352	405	10891	10944	55.556	18	29.9	0.009	1	tblastx:e1e1
1	399	331	10938	10870	43.478	23	27.6	0.042	-3	tblastx:e1e1
1	333	404	10872	10943	54.167	24	27.6	0.042	3	tblastx:e1e1
1	2235	2306	10328	10257	45.833	24	21.2	0.23	-1	tblastx:e1e1
1	2282	2338	10152	10096	42.105	19	19.4	0.23	-3	tblastx:e1e1
1	434	384	4885	4935	47.059	17	24.9	0.28	1	tblastx:e1e1
1	323	358	9573	9608	58.333	12	20.3	0.49	3	tblastx:e1e1
1	379	396	9628	9645	83.333	6	18.9	0.49	1	tblastx:e1e1
1	1318	1371	14843	14790	50.0	18	23.5	0.73	-1	tblastx:e1e1
1	2154	2098	10850	10906	47.368	19	23.1	1.0	2	tblastx:e1e1
1	886	803	14397	14314	32.143	28	22.6	1.4	-3	tblastx:e1e1
1	841	782	14499	14558	45.0	20	22.6	1.4	3	tblastx:e1e1
1	1770	1741	6258	6229	60.0	10	22.1	1.9	-3	tblastx:e1e1
1	1508	1558	582	632	41.176	17	22.1	1.9	3	tblastx:e1e1
1	891	956	9580	9645	40.909	22	22.1	1.9	1	tblastx:e1e1
1	1011	958	3481	3534	44.444	18	21.7	2.6	1	tblastx:e1e1
1	1385	1347	9622	9584	46.154	13	21.7	2.6	-2	tblastx:e1e1
1	362	297	13525	13590	36.364	22	21.7	2.6	1	tblastx:e1e1
1	911	937	104	130	66.667	9	21.7	2.6	2	tblastx:e1e1
1	1327	1401	13249	13175	36.0	25	21.7	2.6	-2	tblastx:e1e1
1	1481	1534	3011	2958	44.444	18	21.7	2.6	-1	tblastx:e1e1
1	2071	2106	14476	14511	58.333	12	21.7	2.6	1	tblastx:e1e1
1	939	910	2908	2937	60.0	10	21.2	3.6	1	tblastx:e1e1
1	525	484	8116	8075	64.286	14	21.2	3.6	-2	tblastx:e1e1
1	439	480	10351	10310	50.0	14	21.2	3.6	-2	tblastx:e1e1
1	908	937	2939	2910	60.0	10	21.2	3.6	-1	tblastx:e1e1
1	799	743	6579	6635	36.842	19	20.8	4.9	3	tblastx:e1e1
1	603	568	5813	5778	58.333	12	20.8	4.9	-1	tblastx:e1e1
1	1893	1858	10496	10531	41.667	12	20.8	4.9	2	tblastx:e1e1
1	180	212	2144	2176	54.545	11	20.8	4.9	2	tblastx:e1e1
1	144	176	2180	2212	54.545	11	20.8	4.9	2	tblastx:e1e1
1	42	77	5282	5317	66.667	12	20.8	4.9	2	tblastx:e1e1
1	518	550	6279	6247	36.364	11	20.8	4.9	-3	tblastx:e1e1
1	444	400	1678	1722	53.333	15	20.3	6.8	1	tblastx:e1e1
1	2320	2231	4229	4318	30.0	30	20.3	6.8	2	tblastx:e1e1
1	451	422	4242	4271	70.0	10	20.3	6.8	3	tblastx:e1e1
1	1930	1980	11696	11646	47.059	17	20.3	6.8	-1	tblastx:e1e1
1	419	472	6084	6137	38.889	18	20.3	6.8	3	tblastx:e1e1
1	201	215	8676	8662	100.0	5	20.3	6.8	-3	tblastx:e1e1
1	215	238	8955	8978	62.5	8	20.3	6.8	3	tblastx:e1e1
1	1324	1365	10539	10580	50.0	14	20.3	6.8	3	tblastx:e1e1
1	2229	2318	4320	4231	30.0	30	20.3	6.8	-3	tblastx:e1e1
1	2242	2271	2451	2422	70.0	10	20.3	6.8	-3	tblastx:e1e1
