exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	116	2001	2116	100.0	116	exon	CDS
1	19	47	1805	1770	70.27	37	exon	intron
1	7	41	1108	1071	70.0	40	exon	intron
1	67	85	1490	1508	78.947	19	exon	intron
1	44	62	8295	8311	80.0	20	exon	intron
1	6	27	2292	2314	75.0	24	exon	CDS
2	1	145	2291	2435	100.0	145	exon	CDS
2	110	131	2421	2400	83.333	24	exon	intron
2	31	51	7428	7449	82.609	23	exon	intron
2	40	63	8178	8197	83.333	24	exon	CDS
2	34	56	2436	2461	77.778	27	exon	intron
2	3	20	1353	1339	83.333	18	exon	intron
2	19	38	5563	5585	78.261	23	exon	intron
2	70	91	2338	2317	78.261	23	exon	intron
2	27	48	2381	2360	78.261	23	exon	intron
2	83	104	2740	2716	76.923	26	exon	intron
2	34	51	3052	3067	83.333	18	exon	intron
2	119	139	6707	6727	78.261	23	exon	intron
2	113	132	7436	7418	80.0	20	exon	intron
2	53	74	3024	3047	75.0	24	exon	intron
2	42	60	8886	8870	80.0	20	exon	intron
2	31	50	130	151	78.261	23	exon	intron
2	2	24	2006	2027	75.0	24	exon	exon
2	65	88	2136	2158	76.0	25	exon	intron
2	127	141	2753	2736	77.778	18	exon	intron
2	85	107	3694	3718	73.077	26	exon	intron
2	56	70	10987	10970	77.778	18	exon	intron
2	105	125	11138	11154	76.19	21	exon	intron
2	72	91	227	207	76.19	21	exon	intron
2	123	141	9826	9845	76.19	21	exon	exon
3	1	143	4677	4819	100.0	143	exon	CDS
3	64	84	5472	5454	85.714	21	exon	intron
3	24	44	3647	3666	81.818	22	exon	intron
3	102	138	3786	3830	69.565	46	exon	intron
3	94	115	80	103	79.167	24	exon	intron
3	2	27	10964	10938	75.0	28	exon	intron
3	117	141	10826	10798	67.742	31	exon	intron
4	1	174	5292	5465	100.0	174	exon	CDS
4	93	127	10746	10715	75.0	36	exon	intron
4	96	134	7005	7046	71.429	42	exon	CDS
4	28	58	8145	8112	74.286	35	exon	intron
4	112	147	3027	2995	72.973	37	exon	intron
4	120	145	8756	8734	77.778	27	exon	intron
4	67	88	10173	10152	77.273	22	exon	intron
4	19	38	10269	10285	80.0	20	exon	intron
4	92	118	4891	4863	73.333	30	exon	intron
4	58	95	8341	8304	70.732	41	exon	intron
4	118	136	10848	10832	78.947	19	exon	intron
4	90	122	5619	5647	68.571	35	exon	intron
4	13	30	11809	11825	78.947	19	exon	intron
5	1	116	5759	5874	100.0	116	exon	CDS
5	82	98	5735	5752	84.211	19	exon	intron
5	69	99	7630	7591	70.0	40	exon	intron
5	59	77	3295	3312	80.0	20	exon	intron
5	89	104	6432	6415	83.333	18	exon	intron
5	92	105	11243	11226	77.778	18	exon	intron
6	1	161	6335	6495	100.0	161	exon	CDS
6	40	143	9134	9242	65.546	119	exon	intron
6	42	64	11338	11358	82.609	23	exon	intron
6	61	89	4414	4445	75.0	32	exon	intron
6	64	89	8880	8904	76.923	26	exon	intron
6	67	98	5879	5847	73.529	34	exon	intron
6	33	64	9887	9912	72.727	33	exon	exon
6	121	137	178	160	78.947	19	exon	intron
6	124	149	10603	10629	74.074	27	exon	intron
7	1	127	6923	7049	100.0	127	exon	CDS
7	26	47	2620	2601	81.818	22	exon	intron
7	83	124	5387	5425	71.429	42	exon	CDS
7	11	40	3337	3312	76.667	30	exon	intron
7	3	42	10799	10752	69.388	49	exon	intron
7	29	45	5945	5928	83.333	18	exon	intron
7	70	116	6064	6026	69.388	49	exon	intron
7	55	82	11592	11565	73.333	30	exon	intron
7	26	49	973	951	75.0	24	exon	intron
7	34	76	7168	7137	67.442	43	exon	intron
8	1	78	7140	7217	100.0	78	exon	CDS
8	29	76	4262	4308	68.627	51	exon	intron
8	60	78	3607	3590	84.211	19	exon	intron
8	44	69	3231	3252	76.923	26	exon	intron
8	37	58	10724	10702	78.261	23	exon	intron
8	50	71	99	123	74.074	27	exon	intron
8	30	51	4306	4288	77.273	22	exon	intron
8	39	63	3716	3690	74.074	27	exon	intron
8	7	26	2725	2706	76.19	21	exon	intron
8	16	38	11505	11531	74.074	27	exon	intron
9	1	77	7763	7839	100.0	77	exon	CDS
9	19	39	8616	8594	82.609	23	exon	intron
9	31	50	5490	5471	85.714	21	exon	intron
9	19	45	10336	10310	78.571	28	exon	intron
9	30	48	10798	10820	78.261	23	exon	intron
9	29	51	3854	3830	76.0	25	exon	intron
9	31	53	9308	9289	78.261	23	exon	intron
9	18	46	9739	9710	74.194	31	exon	intron
