intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	25	19	1,2,3,4,5,6,7,8,9
2	2302	2742	441	1	1	6
3	2846	3003	158	0	0	-
4	3149	3705	557	2	2	7
5	3864	4956	1093	24	11	1,2,3,4,5,7,9,10,11
6	5142	6187	1046	8	8	1,5,7,8,9,11
7	6309	6456	148	0	0	-
8	6611	7999	1389	11	9	1,4,5,7,8,9,11
9	8152	10412	2261	26	21	1,3,4,5,7,8,9,10,11
10	10592	12217	1626	21	10	1,2,3,4,5,7,10
11	12659	17814	5156	73	53	1,2,3,4,5,6,7,8,9,10,11
12	18062	20061	2000	25	14	1,3,4,5,6,7,8,9,10
