exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	3156	2001	5156	100.0	3156	4692.0	0.0	blastn:w7;e1e2
1	2539	2614	3926	4008	71.765	85	31.8	0.01	blastn:w7;e1e2
1	1926	2008	4539	4614	71.765	85	31.8	0.01	blastn:w7;e1e2
1	2714	2762	1571	1624	74.074	54	30.3	0.029	blastn:w7;e1e2
1	2036	2073	47	4	77.778	45	29.6	0.029	blastn:w7;e1e2
1	2350	2406	678	615	69.697	66	27.4	0.23	blastn:w7;e1e2
1	2750	2773	3477	3456	87.5	24	27.4	0.23	blastn:w7;e1e2
1	1456	1477	4773	4750	87.5	24	27.4	0.23	blastn:w7;e1e2
1	1	24	5219	5194	84.615	26	26.6	0.23	blastn:w7;e1e2
1	1690	1743	53	4	71.93	57	25.1	0.63	blastn:w7;e1e2
1	535	573	2161	2130	74.359	39	24.4	1.8	blastn:w7;e1e2
1	130	161	2573	2535	74.359	39	24.4	1.8	blastn:w7;e1e2
1	2904	2937	5530	5496	77.143	35	24.4	1.8	blastn:w7;e1e2
1	1964	2017	817	762	70.0	60	23.6	1.8	blastn:w7;e1e2
1	2076	2089	4089	4076	100.0	14	23.6	1.8	blastn:w7;e1e2
1	2820	2838	4650	4668	89.474	19	23.6	1.8	blastn:w7;e1e2
1	2650	2668	4820	4838	89.474	19	23.6	1.8	blastn:w7;e1e2
1	2795	2856	5568	5628	68.657	67	23.6	1.8	blastn:w7;e1e2
1	2951	2974	6169	6190	83.333	24	23.6	1.8	blastn:w7;e1e2
1	1703	1718	291	276	93.75	16	22.9	5.0	blastn:w7;e1e2
1	1042	1057	1243	1228	93.75	16	22.9	5.0	blastn:w7;e1e2
1	2533	2554	1530	1508	83.333	24	22.9	5.0	blastn:w7;e1e2
1	2409	2489	4002	3919	67.391	92	22.9	5.0	blastn:w7;e1e2
1	1919	2002	4489	4409	67.391	92	22.9	5.0	blastn:w7;e1e2
1	539	583	5622	5569	70.909	55	22.9	5.0	blastn:w7;e1e2
1	2958	2979	5710	5685	80.769	26	22.9	5.0	blastn:w7;e1e2
1	2603	2615	84	96	100.0	13	22.2	5.0	blastn:w7;e1e2
1	334	363	387	359	78.125	32	22.2	5.0	blastn:w7;e1e2
1	562	583	2153	2130	83.333	24	22.2	5.0	blastn:w7;e1e2
1	130	153	2583	2562	83.333	24	22.2	5.0	blastn:w7;e1e2
1	3097	3127	3977	4012	75.676	37	22.2	5.0	blastn:w7;e1e2
1	1977	2012	5097	5127	75.676	37	22.2	5.0	blastn:w7;e1e2
1	2945	2962	5449	5434	88.889	18	22.2	5.0	blastn:w7;e1e2
1	2793	2823	6456	6488	76.471	34	22.2	5.0	blastn:w7;e1e2
1	2686	2703	7319	7336	88.889	18	22.2	5.0	blastn:w7;e1e2
1	788	807	672	653	85.0	20	21.4	14.0	blastn:w7;e1e2
1	236	257	1671	1651	82.609	23	21.4	14.0	blastn:w7;e1e2
1	2680	2699	1950	1969	85.0	20	21.4	14.0	blastn:w7;e1e2
1	1849	1872	3723	3746	80.769	26	21.4	14.0	blastn:w7;e1e2
1	1723	1746	3849	3872	80.769	26	21.4	14.0	blastn:w7;e1e2
1	537	556	5809	5790	85.0	20	21.4	14.0	blastn:w7;e1e2
1	1177	1213	6056	6022	71.795	39	21.4	14.0	blastn:w7;e1e2
1	1568	1585	5	20	88.889	18	20.7	14.0	blastn:w7;e1e2
