exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	137	2001	2137	100.0	137	206.0	6.29e-56	blastn:w7;e1e2
1	27	136	1739	1623	68.333	120	34.8	0.000488	blastn:w7;e1e2
1	5	133	1440	1294	65.385	156	31.1	0.004	blastn:w7;e1e2
1	3	54	2118	2168	76.364	55	31.1	0.004	blastn:w7;e1e2
1	7	62	1903	1964	71.212	66	30.3	0.011	blastn:w7;e1e2
1	9	46	2158	2196	78.049	41	26.6	0.084	blastn:w7;e1e2
1	5	38	1855	1827	77.143	35	24.4	0.66	blastn:w7;e1e2
1	96	118	31131	31154	83.333	24	22.9	1.8	blastn:w7;e1e2
1	53	94	1982	1938	72.917	48	22.2	1.8	blastn:w7;e1e2
1	35	54	37904	37924	85.714	21	22.2	1.8	blastn:w7;e1e2
1	29	54	1881	1904	80.769	26	21.4	5.2	blastn:w7;e1e2
1	31	46	1879	1895	88.235	17	19.9	15.0	blastn:w7;e1e2
1	117	137	2350	2329	82.609	23	19.9	15.0	blastn:w7;e1e2
1	3	137	2134	2008	63.758	149	19.2	15.0	blastn:w7;e1e2
1	32	52	17201	17181	80.952	21	19.2	15.0	blastn:w7;e1e2
1	95	105	64625	64615	100.0	11	19.2	15.0	blastn:w7;e1e2
1	18	30	717	729	92.308	13	18.4	41.0	blastn:w7;e1e2
1	34	128	2089	2000	65.049	103	18.4	41.0	blastn:w7;e1e2
1	119	136	2325	2308	83.333	18	18.4	41.0	blastn:w7;e1e2
1	10	22	26140	26128	92.308	13	18.4	41.0	blastn:w7;e1e2
1	44	61	30523	30540	83.333	18	18.4	41.0	blastn:w7;e1e2
1	104	116	51081	51093	92.308	13	18.4	41.0	blastn:w7;e1e2
1	104	116	79570	79582	92.308	13	18.4	41.0	blastn:w7;e1e2
1	94	113	1585	1568	80.0	20	17.7	41.0	blastn:w7;e1e2
1	16	25	3226	3235	100.0	10	17.7	41.0	blastn:w7;e1e2
1	106	120	3311	3297	86.667	15	17.7	41.0	blastn:w7;e1e2
1	46	55	13249	13258	100.0	10	17.7	41.0	blastn:w7;e1e2
1	105	114	18090	18099	100.0	10	17.7	41.0	blastn:w7;e1e2
1	112	121	81893	81902	100.0	10	17.7	41.0	blastn:w7;e1e2
2	1	82	9999	10080	100.0	82	124.0	1.24e-31	blastn:w7;e1e2
2	36	70	58248	58208	75.61	41	23.6	0.32	blastn:w7;e1e2
2	38	55	61903	61920	88.889	18	22.2	0.91	blastn:w7;e1e2
2	44	75	22244	22213	74.286	35	21.4	2.5	blastn:w7;e1e2
2	34	53	61018	60999	85.0	20	21.4	2.5	blastn:w7;e1e2
2	34	81	69915	69869	71.429	49	21.4	2.5	blastn:w7;e1e2
2	59	72	12701	12687	93.333	15	20.7	2.5	blastn:w7;e1e2
2	20	31	50772	50761	100.0	12	20.7	2.5	blastn:w7;e1e2
2	51	64	2739	2752	92.857	14	19.9	7.1	blastn:w7;e1e2
2	20	33	12798	12811	92.857	14	19.9	7.1	blastn:w7;e1e2
2	46	69	37278	37255	80.0	25	19.9	7.1	blastn:w7;e1e2
2	31	60	43493	43522	72.727	33	19.9	7.1	blastn:w7;e1e2
2	48	61	43576	43589	92.857	14	19.9	7.1	blastn:w7;e1e2
2	55	74	58603	58586	85.0	20	19.9	7.1	blastn:w7;e1e2
2	31	44	79811	79824	92.857	14	19.9	7.1	blastn:w7;e1e2
2	34	59	80892	80916	77.778	27	19.9	7.1	blastn:w7;e1e2
2	58	78	11569	11549	80.952	21	19.2	7.1	blastn:w7;e1e2
2	47	62	12315	12300	87.5	16	19.2	7.1	blastn:w7;e1e2
2	61	78	17504	17522	84.211	19	19.2	7.1	blastn:w7;e1e2
2	33	43	27387	27377	100.0	11	19.2	7.1	blastn:w7;e1e2
2	44	59	50046	50033	87.5	16	19.2	7.1	blastn:w7;e1e2
2	42	70	50936	50913	75.862	29	19.2	7.1	blastn:w7;e1e2
2	52	62	56940	56950	100.0	11	19.2	7.1	blastn:w7;e1e2
2	53	63	57304	57294	100.0	11	19.2	7.1	blastn:w7;e1e2
2	48	72	76798	76774	77.778	27	19.2	7.1	blastn:w7;e1e2
2	61	78	79402	79384	84.211	19	19.2	7.1	blastn:w7;e1e2
2	54	66	19358	19346	92.308	13	18.4	20.0	blastn:w7;e1e2
2	2	14	19508	19520	92.308	13	18.4	20.0	blastn:w7;e1e2
2	44	59	29244	29230	87.5	16	18.4	20.0	blastn:w7;e1e2
2	19	37	61122	61141	80.952	21	18.4	20.0	blastn:w7;e1e2
2	43	55	63172	63160	92.308	13	18.4	20.0	blastn:w7;e1e2
2	34	54	63230	63210	78.261	23	18.4	20.0	blastn:w7;e1e2
2	34	68	80895	80864	72.222	36	18.4	20.0	blastn:w7;e1e2
2	26	45	342	323	80.0	20	17.7	20.0	blastn:w7;e1e2
2	1	10	18221	18230	100.0	10	17.7	20.0	blastn:w7;e1e2
2	62	76	28776	28790	86.667	15	17.7	20.0	blastn:w7;e1e2
2	52	72	47440	47416	76.0	25	17.7	20.0	blastn:w7;e1e2
2	31	47	60819	60802	83.333	18	17.7	20.0	blastn:w7;e1e2
2	47	56	67426	67435	100.0	10	17.7	20.0	blastn:w7;e1e2
2	1	13	73544	73555	92.308	13	17.7	20.0	blastn:w7;e1e2
2	26	38	80763	80777	86.667	15	17.7	20.0	blastn:w7;e1e2
2	48	62	5203	5190	86.667	15	17.0	56.0	blastn:w7;e1e2
2	30	41	29049	29060	91.667	12	17.0	56.0	blastn:w7;e1e2
2	40	51	34571	34582	91.667	12	17.0	56.0	blastn:w7;e1e2
2	48	62	35478	35491	86.667	15	17.0	56.0	blastn:w7;e1e2
2	29	40	37759	37770	91.667	12	17.0	56.0	blastn:w7;e1e2
2	68	82	40025	40041	82.353	17	17.0	56.0	blastn:w7;e1e2
2	14	32	47744	47763	80.0	20	17.0	56.0	blastn:w7;e1e2
2	34	47	745	758	85.714	14	16.2	56.0	blastn:w7;e1e2
2	3	11	9294	9302	100.0	9	16.2	56.0	blastn:w7;e1e2
2	32	40	9923	9931	100.0	9	16.2	56.0	blastn:w7;e1e2
2	68	76	10532	10524	100.0	9	16.2	56.0	blastn:w7;e1e2
2	65	73	13826	13834	100.0	9	16.2	56.0	blastn:w7;e1e2
2	39	47	14768	14760	100.0	9	16.2	56.0	blastn:w7;e1e2
2	41	49	15422	15414	100.0	9	16.2	56.0	blastn:w7;e1e2
2	2	15	17424	17411	85.714	14	16.2	56.0	blastn:w7;e1e2
2	41	49	20372	20380	100.0	9	16.2	56.0	blastn:w7;e1e2
2	3	11	24447	24455	100.0	9	16.2	56.0	blastn:w7;e1e2
2	46	62	24757	24772	82.353	17	16.2	56.0	blastn:w7;e1e2
2	39	47	26665	26673	100.0	9	16.2	56.0	blastn:w7;e1e2
2	22	30	28013	28021	100.0	9	16.2	56.0	blastn:w7;e1e2
2	24	37	30857	30844	85.714	14	16.2	56.0	blastn:w7;e1e2
2	1	9	32012	32020	100.0	9	16.2	56.0	blastn:w7;e1e2
2	3	11	35845	35853	100.0	9	16.2	56.0	blastn:w7;e1e2
2	68	76	37266	37258	100.0	9	16.2	56.0	blastn:w7;e1e2
2	45	53	37270	37278	100.0	9	16.2	56.0	blastn:w7;e1e2
2	40	53	41582	41595	85.714	14	16.2	56.0	blastn:w7;e1e2
2	37	45	42786	42778	100.0	9	16.2	56.0	blastn:w7;e1e2
2	25	41	44324	44339	82.353	17	16.2	56.0	blastn:w7;e1e2
2	60	73	47073	47086	85.714	14	16.2	56.0	blastn:w7;e1e2
2	1	9	47280	47288	100.0	9	16.2	56.0	blastn:w7;e1e2
2	1	9	49521	49529	100.0	9	16.2	56.0	blastn:w7;e1e2
2	44	52	51519	51511	100.0	9	16.2	56.0	blastn:w7;e1e2
2	24	32	52224	52232	100.0	9	16.2	56.0	blastn:w7;e1e2
2	44	52	56735	56727	100.0	9	16.2	56.0	blastn:w7;e1e2
2	36	44	56980	56988	100.0	9	16.2	56.0	blastn:w7;e1e2
2	41	49	58861	58869	100.0	9	16.2	56.0	blastn:w7;e1e2
2	60	68	62092	62100	100.0	9	16.2	56.0	blastn:w7;e1e2
2	59	67	64299	64307	100.0	9	16.2	56.0	blastn:w7;e1e2
2	48	56	65915	65923	100.0	9	16.2	56.0	blastn:w7;e1e2
2	59	67	67515	67523	100.0	9	16.2	56.0	blastn:w7;e1e2
2	60	68	68034	68042	100.0	9	16.2	56.0	blastn:w7;e1e2
2	4	12	70421	70429	100.0	9	16.2	56.0	blastn:w7;e1e2
2	58	71	70948	70935	85.714	14	16.2	56.0	blastn:w7;e1e2
2	47	55	72125	72117	100.0	9	16.2	56.0	blastn:w7;e1e2
2	18	26	75255	75247	100.0	9	16.2	56.0	blastn:w7;e1e2
2	69	77	76335	76343	100.0	9	16.2	56.0	blastn:w7;e1e2
3	1	260	19752	20011	100.0	260	389.0	1.3e-110	blastn:w7;e1e2
3	182	211	63005	63033	90.0	30	35.5	0.000377	blastn:w7;e1e2
3	167	212	20977	21024	77.551	49	31.8	0.008	blastn:w7;e1e2
3	175	208	67496	67533	78.947	38	31.1	0.008	blastn:w7;e1e2
3	137	215	67989	68058	70.37	81	30.3	0.023	blastn:w7;e1e2
3	236	253	43021	43038	94.444	18	25.9	0.51	blastn:w7;e1e2
3	91	128	72277	72236	75.0	44	25.9	0.51	blastn:w7;e1e2
3	109	177	29451	29513	69.444	72	25.1	0.51	blastn:w7;e1e2
3	62	83	67513	67534	86.364	22	24.4	1.4	blastn:w7;e1e2
3	113	138	82524	82551	82.143	28	24.4	1.4	blastn:w7;e1e2
3	166	222	3057	3116	69.355	62	23.6	1.4	blastn:w7;e1e2
3	91	129	53296	53337	73.81	42	23.6	1.4	blastn:w7;e1e2
3	185	217	56437	56466	78.788	33	23.6	1.4	blastn:w7;e1e2
3	236	256	50157	50177	85.714	21	22.9	4.0	blastn:w7;e1e2
3	208	223	50180	50195	93.75	16	22.9	4.0	blastn:w7;e1e2
3	53	67	9955	9940	93.75	16	22.2	4.0	blastn:w7;e1e2
3	119	144	19993	20017	80.769	26	22.2	4.0	blastn:w7;e1e2
3	1	36	30234	30262	75.0	36	22.2	4.0	blastn:w7;e1e2
3	93	138	4147	4107	69.565	46	21.4	11.0	blastn:w7;e1e2
3	37	61	74898	74874	80.769	26	21.4	11.0	blastn:w7;e1e2
3	132	149	77876	77860	88.889	18	21.4	11.0	blastn:w7;e1e2
3	134	150	20724	20740	88.235	17	20.7	11.0	blastn:w7;e1e2
3	206	220	24805	24792	93.333	15	20.7	11.0	blastn:w7;e1e2
3	185	208	51974	51998	80.0	25	20.7	11.0	blastn:w7;e1e2
3	45	56	59884	59895	100.0	12	20.7	11.0	blastn:w7;e1e2
3	131	150	63351	63333	85.0	20	20.7	11.0	blastn:w7;e1e2
3	100	150	74275	74226	69.091	55	20.7	11.0	blastn:w7;e1e2
3	105	116	79291	79302	100.0	12	20.7	11.0	blastn:w7;e1e2
3	68	83	81627	81610	88.889	18	20.7	11.0	blastn:w7;e1e2
3	202	228	5957	5932	77.778	27	19.9	31.0	blastn:w7;e1e2
3	37	52	8969	8953	88.235	17	19.9	31.0	blastn:w7;e1e2
3	242	260	19870	19888	84.211	19	19.9	31.0	blastn:w7;e1e2
3	56	69	21632	21619	92.857	14	19.9	31.0	blastn:w7;e1e2
3	94	140	23555	23503	66.667	57	19.9	31.0	blastn:w7;e1e2
3	163	176	42511	42498	92.857	14	19.9	31.0	blastn:w7;e1e2
3	49	62	50015	50028	92.857	14	19.9	31.0	blastn:w7;e1e2
3	107	120	59121	59134	92.857	14	19.9	31.0	blastn:w7;e1e2
3	131	149	64284	64266	84.211	19	19.9	31.0	blastn:w7;e1e2
3	180	225	81084	81044	70.213	47	19.9	31.0	blastn:w7;e1e2
3	180	190	2602	2612	100.0	11	19.2	31.0	blastn:w7;e1e2
3	214	229	21293	21308	87.5	16	19.2	31.0	blastn:w7;e1e2
3	38	48	27774	27764	100.0	11	19.2	31.0	blastn:w7;e1e2
3	108	118	33226	33216	100.0	11	19.2	31.0	blastn:w7;e1e2
3	193	244	39638	39686	69.091	55	19.2	31.0	blastn:w7;e1e2
3	185	200	56323	56338	87.5	16	19.2	31.0	blastn:w7;e1e2
3	68	83	58285	58300	87.5	16	19.2	31.0	blastn:w7;e1e2
3	66	81	63015	63030	87.5	16	19.2	31.0	blastn:w7;e1e2
3	45	73	64277	64308	73.529	34	19.2	31.0	blastn:w7;e1e2
3	236	246	69703	69713	100.0	11	19.2	31.0	blastn:w7;e1e2
3	93	113	80357	80337	80.952	21	19.2	31.0	blastn:w7;e1e2
3	161	173	9228	9240	92.308	13	18.4	88.0	blastn:w7;e1e2
3	232	244	26796	26808	92.308	13	18.4	88.0	blastn:w7;e1e2
3	83	95	34496	34484	92.308	13	18.4	88.0	blastn:w7;e1e2
3	50	62	51786	51774	92.308	13	18.4	88.0	blastn:w7;e1e2
3	78	90	59884	59896	92.308	13	18.4	88.0	blastn:w7;e1e2
3	207	219	60578	60566	92.308	13	18.4	88.0	blastn:w7;e1e2
3	36	48	63064	63052	92.308	13	18.4	88.0	blastn:w7;e1e2
3	122	134	72396	72408	92.308	13	18.4	88.0	blastn:w7;e1e2
3	76	94	76224	76202	78.261	23	18.4	88.0	blastn:w7;e1e2
3	136	148	78912	78924	92.308	13	18.4	88.0	blastn:w7;e1e2
3	70	82	81713	81725	92.308	13	18.4	88.0	blastn:w7;e1e2
3	181	193	81870	81882	92.308	13	18.4	88.0	blastn:w7;e1e2
3	114	128	3770	3756	86.667	15	17.7	88.0	blastn:w7;e1e2
3	103	117	4111	4097	86.667	15	17.7	88.0	blastn:w7;e1e2
3	44	53	4800	4791	100.0	10	17.7	88.0	blastn:w7;e1e2
3	181	190	5280	5289	100.0	10	17.7	88.0	blastn:w7;e1e2
3	245	254	9350	9341	100.0	10	17.7	88.0	blastn:w7;e1e2
3	100	109	11148	11139	100.0	10	17.7	88.0	blastn:w7;e1e2
3	120	129	12544	12553	100.0	10	17.7	88.0	blastn:w7;e1e2
3	45	54	18673	18664	100.0	10	17.7	88.0	blastn:w7;e1e2
3	194	203	21329	21338	100.0	10	17.7	88.0	blastn:w7;e1e2
3	169	178	25150	25141	100.0	10	17.7	88.0	blastn:w7;e1e2
3	8	22	36435	36449	86.667	15	17.7	88.0	blastn:w7;e1e2
3	114	123	37929	37938	100.0	10	17.7	88.0	blastn:w7;e1e2
3	143	152	41277	41268	100.0	10	17.7	88.0	blastn:w7;e1e2
3	93	102	41429	41438	100.0	10	17.7	88.0	blastn:w7;e1e2
3	135	144	45472	45481	100.0	10	17.7	88.0	blastn:w7;e1e2
3	240	249	45959	45968	100.0	10	17.7	88.0	blastn:w7;e1e2
3	97	106	56764	56755	100.0	10	17.7	88.0	blastn:w7;e1e2
3	219	228	57525	57516	100.0	10	17.7	88.0	blastn:w7;e1e2
3	194	208	58285	58299	86.667	15	17.7	88.0	blastn:w7;e1e2
3	157	166	58386	58377	100.0	10	17.7	88.0	blastn:w7;e1e2
3	217	226	61890	61881	100.0	10	17.7	88.0	blastn:w7;e1e2
3	77	86	64276	64285	100.0	10	17.7	88.0	blastn:w7;e1e2
3	192	201	66173	66164	100.0	10	17.7	88.0	blastn:w7;e1e2
3	233	247	68947	68961	86.667	15	17.7	88.0	blastn:w7;e1e2
3	47	56	69638	69629	100.0	10	17.7	88.0	blastn:w7;e1e2
3	208	217	75437	75428	100.0	10	17.7	88.0	blastn:w7;e1e2
3	164	173	75934	75925	100.0	10	17.7	88.0	blastn:w7;e1e2
3	235	244	79606	79615	100.0	10	17.7	88.0	blastn:w7;e1e2
3	168	182	79846	79860	86.667	15	17.7	88.0	blastn:w7;e1e2
4	1	336	20728	21063	100.0	336	502.0	1.74e-144	blastn:w7;e1e2
4	250	297	19918	19963	77.551	49	31.8	0.011	blastn:w7;e1e2
4	32	99	58266	58330	69.444	72	27.4	0.24	blastn:w7;e1e2
4	267	296	63004	63033	80.645	31	25.1	0.68	blastn:w7;e1e2
4	107	212	67474	67575	63.793	116	25.1	0.68	blastn:w7;e1e2
4	99	184	39571	39658	67.021	94	24.4	1.9	blastn:w7;e1e2
4	269	334	56436	56498	69.697	66	24.4	1.9	blastn:w7;e1e2
4	6	96	39708	39801	66.667	99	23.6	1.9	blastn:w7;e1e2
4	80	110	48057	48087	78.788	33	22.9	5.3	blastn:w7;e1e2
4	141	179	68016	68051	74.359	39	22.9	5.3	blastn:w7;e1e2
4	82	102	392	373	85.714	21	22.2	5.3	blastn:w7;e1e2
4	204	221	62047	62030	88.889	18	22.2	5.3	blastn:w7;e1e2
4	20	45	64469	64496	78.571	28	22.2	5.3	blastn:w7;e1e2
4	225	293	67465	67533	67.568	74	22.2	5.3	blastn:w7;e1e2
4	210	222	80214	80226	100.0	13	22.2	5.3	blastn:w7;e1e2
4	78	98	80553	80575	82.609	23	22.2	5.3	blastn:w7;e1e2
4	206	232	82538	82564	79.31	29	22.2	5.3	blastn:w7;e1e2
4	277	291	11905	11919	93.333	15	21.4	15.0	blastn:w7;e1e2
4	76	98	24643	24664	82.609	23	21.4	15.0	blastn:w7;e1e2
4	78	102	39434	39458	80.0	25	21.4	15.0	blastn:w7;e1e2
4	144	166	69106	69087	82.609	23	21.4	15.0	blastn:w7;e1e2
4	257	271	78946	78932	93.333	15	21.4	15.0	blastn:w7;e1e2
4	301	325	37253	37227	77.778	27	20.7	15.0	blastn:w7;e1e2
4	129	145	40510	40526	88.235	17	20.7	15.0	blastn:w7;e1e2
4	277	288	66173	66162	100.0	12	20.7	15.0	blastn:w7;e1e2
4	235	246	78038	78027	100.0	12	20.7	15.0	blastn:w7;e1e2
4	210	223	27813	27800	92.857	14	19.9	42.0	blastn:w7;e1e2
4	151	169	27880	27862	84.211	19	19.9	42.0	blastn:w7;e1e2
4	321	334	47875	47888	92.857	14	19.9	42.0	blastn:w7;e1e2
4	92	110	57947	57965	85.0	20	19.9	42.0	blastn:w7;e1e2
4	271	289	75840	75858	84.211	19	19.9	42.0	blastn:w7;e1e2
4	143	156	78664	78651	92.857	14	19.9	42.0	blastn:w7;e1e2
4	117	127	8505	8495	100.0	11	19.2	42.0	blastn:w7;e1e2
4	67	82	18951	18966	87.5	16	19.2	42.0	blastn:w7;e1e2
4	306	316	22201	22191	100.0	11	19.2	42.0	blastn:w7;e1e2
4	101	111	23220	23210	100.0	11	19.2	42.0	blastn:w7;e1e2
4	154	164	24687	24697	100.0	11	19.2	42.0	blastn:w7;e1e2
4	15	30	40242	40257	87.5	16	19.2	42.0	blastn:w7;e1e2
4	128	143	51950	51965	87.5	16	19.2	42.0	blastn:w7;e1e2
4	309	319	52052	52042	100.0	11	19.2	42.0	blastn:w7;e1e2
4	279	289	54830	54820	100.0	11	19.2	42.0	blastn:w7;e1e2
4	66	76	55946	55956	100.0	11	19.2	42.0	blastn:w7;e1e2
4	92	112	60896	60916	80.952	21	19.2	42.0	blastn:w7;e1e2
4	128	138	75928	75938	100.0	11	19.2	42.0	blastn:w7;e1e2
4	252	267	78396	78411	87.5	16	19.2	42.0	blastn:w7;e1e2
5	1	123	26027	26149	100.0	123	185.0	1.01e-49	blastn:w7;e1e2
5	2	40	48329	48366	82.051	39	34.0	0.000427	blastn:w7;e1e2
5	53	89	56325	56361	81.081	37	31.8	0.003	blastn:w7;e1e2
5	18	41	65213	65236	91.667	24	31.1	0.003	blastn:w7;e1e2
5	1	41	56502	56541	78.049	41	29.6	0.009	blastn:w7;e1e2
5	3	42	53563	53602	78.571	42	28.8	0.026	blastn:w7;e1e2
5	44	79	51966	52003	74.359	39	23.6	0.58	blastn:w7;e1e2
5	60	93	58285	58318	76.471	34	23.6	0.58	blastn:w7;e1e2
5	8	41	39702	39734	77.143	35	22.9	1.6	blastn:w7;e1e2
5	44	64	62650	62670	85.714	21	22.9	1.6	blastn:w7;e1e2
5	43	58	30608	30594	93.75	16	22.2	1.6	blastn:w7;e1e2
5	13	28	51050	51067	88.889	18	22.2	1.6	blastn:w7;e1e2
5	21	43	74844	74822	82.609	23	22.2	1.6	blastn:w7;e1e2
5	14	28	44640	44654	93.333	15	21.4	4.5	blastn:w7;e1e2
5	38	51	5273	5259	93.333	15	20.7	4.5	blastn:w7;e1e2
5	48	66	13332	13313	85.0	20	20.7	4.5	blastn:w7;e1e2
5	23	34	38601	38612	100.0	12	20.7	4.5	blastn:w7;e1e2
5	46	60	43217	43204	93.333	15	20.7	4.5	blastn:w7;e1e2
5	79	107	74876	74846	75.758	33	20.7	4.5	blastn:w7;e1e2
5	7	25	81701	81720	85.0	20	20.7	4.5	blastn:w7;e1e2
5	59	79	27111	27132	81.818	22	19.9	13.0	blastn:w7;e1e2
5	53	73	62892	62914	79.167	24	19.9	13.0	blastn:w7;e1e2
5	2	15	78566	78579	92.857	14	19.9	13.0	blastn:w7;e1e2
5	103	118	81893	81909	88.235	17	19.9	13.0	blastn:w7;e1e2
5	18	33	6150	6165	87.5	16	19.2	13.0	blastn:w7;e1e2
5	38	48	16910	16920	100.0	11	19.2	13.0	blastn:w7;e1e2
5	86	96	31817	31827	100.0	11	19.2	13.0	blastn:w7;e1e2
5	38	60	76760	76741	78.261	23	19.2	13.0	blastn:w7;e1e2
5	101	115	1891	1876	87.5	16	18.4	36.0	blastn:w7;e1e2
5	102	114	2022	2010	92.308	13	18.4	36.0	blastn:w7;e1e2
5	42	54	6735	6747	92.308	13	18.4	36.0	blastn:w7;e1e2
5	7	19	9492	9504	92.308	13	18.4	36.0	blastn:w7;e1e2
5	72	84	26173	26185	92.308	13	18.4	36.0	blastn:w7;e1e2
5	3	64	44209	44270	68.182	66	18.4	36.0	blastn:w7;e1e2
5	44	61	58206	58191	83.333	18	18.4	36.0	blastn:w7;e1e2
5	65	80	58405	58419	87.5	16	18.4	36.0	blastn:w7;e1e2
5	14	26	60456	60444	92.308	13	18.4	36.0	blastn:w7;e1e2
5	19	41	72501	72523	80.0	25	18.4	36.0	blastn:w7;e1e2
5	21	58	78939	78974	72.5	40	18.4	36.0	blastn:w7;e1e2
5	77	99	3405	3429	76.0	25	17.7	36.0	blastn:w7;e1e2
5	107	118	16921	16933	92.308	13	17.7	36.0	blastn:w7;e1e2
5	44	53	20497	20506	100.0	10	17.7	36.0	blastn:w7;e1e2
5	25	37	20511	20500	92.308	13	17.7	36.0	blastn:w7;e1e2
5	6	24	29345	29320	73.077	26	17.7	36.0	blastn:w7;e1e2
5	5	22	36314	36295	80.0	20	17.7	36.0	blastn:w7;e1e2
5	81	90	41487	41496	100.0	10	17.7	36.0	blastn:w7;e1e2
5	84	93	42939	42930	100.0	10	17.7	36.0	blastn:w7;e1e2
5	67	76	45506	45515	100.0	10	17.7	36.0	blastn:w7;e1e2
5	31	74	50089	50132	69.565	46	17.7	36.0	blastn:w7;e1e2
5	42	51	52353	52362	100.0	10	17.7	36.0	blastn:w7;e1e2
5	17	36	57293	57312	80.0	20	17.7	36.0	blastn:w7;e1e2
5	16	27	57730	57742	92.308	13	17.7	36.0	blastn:w7;e1e2
5	1	40	62036	62075	70.0	40	17.7	36.0	blastn:w7;e1e2
5	33	45	67963	67977	86.667	15	17.7	36.0	blastn:w7;e1e2
5	33	47	73207	73193	86.667	15	17.7	36.0	blastn:w7;e1e2
