exon_index	sstart	send	length	bitscore	evalue	evidence
	-1	-1	0	66.2	4.4e-20	phmmer:f0
	-1	-1	0	55.3	5.8e-17	phmmer:f0
	-1	-1	0	54.7	1.2e-16	phmmer:f0
	-1	-1	0	43.4	4.8e-13	phmmer:f0
	-1	-1	0	27.6	1.9e-08	phmmer:f0
	-1	-1	0	91.4	2.1e-28	phmmer:f0
	-1	-1	0	65.4	2.2e-20	phmmer:f0
	-1	-1	0	13.3	0.0057	phmmer:f0
	-1	-1	0	40.1	1.3e-12	phmmer:f0
	-1	-1	0	14.7	0.00055	phmmer:f0
	-1	-1	0	116.7	7.8e-36	phmmer:f0
	-1	-1	0	34.9	5.9e-11	phmmer:f0
	-1	-1	0	95.4	1.7e-29	phmmer:f0
	-1	-1	0	121.7	3.2e-37	phmmer:f0
	-1	-1	0	171.7	9.1e-53	phmmer:f0
	-1	-1	0	111.7	2.6e-34	phmmer:f0
