exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	1	3303	2001	5303	100.0	1101	2597.0	0.0	3	tblastx:e1e1
1	2	3304	2002	5304	100.0	1101	2569.0	0.0	1	tblastx:e1e1
1	3303	1	5303	2001	100.0	1101	2557.0	0.0	-2	tblastx:e1e1
1	3304	2	5304	2002	100.0	1101	2552.0	0.0	-1	tblastx:e1e1
1	3305	3	5305	2003	100.0	1101	2544.0	0.0	-3	tblastx:e1e1
1	3	3305	2003	5305	100.0	1101	2537.0	0.0	2	tblastx:e1e1
1	2965	2894	17702	17773	50.0	24	29.5	5.16e-07	2	tblastx:e1e1
1	2913	2803	17753	17863	35.135	37	29.0	5.16e-07	2	tblastx:e1e1
1	2973	2956	17693	17710	100.0	6	20.8	5.16e-07	2	tblastx:e1e1
1	2935	2885	34206	34256	70.588	17	35.9	0.000541	3	tblastx:e1e1
1	2886	2936	34255	34205	70.588	17	31.8	0.009	-3	tblastx:e1e1
1	2895	2981	17772	17686	41.379	29	29.0	0.031	-1	tblastx:e1e1
1	3000	3146	5480	5334	28.571	49	27.6	0.031	-2	tblastx:e1e1
1	517	594	46121	46044	42.308	26	24.9	0.031	-2	tblastx:e1e1
1	2594	2695	27685	27584	29.412	34	24.9	0.031	-3	tblastx:e1e1
1	3199	3261	4947	4885	38.095	21	21.7	0.031	-1	tblastx:e1e1
1	1731	1763	32067	32035	72.727	11	21.2	0.031	-1	tblastx:e1e1
1	1652	1699	45922	45875	50.0	16	20.8	0.031	-3	tblastx:e1e1
1	2955	2893	34186	34248	61.905	21	29.5	0.046	1	tblastx:e1e1
1	2887	2937	34254	34204	70.588	17	28.1	0.12	-1	tblastx:e1e1
1	2942	2886	34199	34255	63.158	19	28.1	0.12	2	tblastx:e1e1
1	535	570	20027	20062	50.0	12	27.6	0.16	2	tblastx:e1e1
1	2954	2889	17713	17778	45.455	22	26.7	0.18	1	tblastx:e1e1
1	488	420	40606	40674	34.783	23	26.3	0.18	1	tblastx:e1e1
1	1931	1875	25778	25834	36.842	19	25.4	0.18	2	tblastx:e1e1
1	3088	3065	16878	16901	75.0	8	22.6	0.18	3	tblastx:e1e1
1	1896	1828	37384	37452	26.087	23	22.1	0.18	1	tblastx:e1e1
1	2894	2935	34247	34206	64.286	14	26.3	0.43	-2	tblastx:e1e1
1	2553	2476	12484	12407	42.308	26	26.3	0.43	-3	tblastx:e1e1
1	3082	3035	27657	27610	43.75	16	24.9	1.1	-1	tblastx:e1e1
1	2277	2336	26599	26658	50.0	20	24.9	1.1	1	tblastx:e1e1
1	2824	2925	5555	5656	38.235	34	24.0	2.1	2	tblastx:e1e1
1	2931	2884	17736	17783	56.25	16	24.0	2.1	3	tblastx:e1e1
1	543	608	40588	40653	40.909	22	24.0	2.1	1	tblastx:e1e1
1	3106	3147	5712	5671	64.286	14	24.0	2.1	-1	tblastx:e1e1
1	1254	1328	13228	13154	36.0	25	23.5	2.9	-3	tblastx:e1e1
1	1736	1789	1536	1589	50.0	18	23.1	3.9	3	tblastx:e1e1
1	929	973	16859	16903	46.667	15	23.1	3.9	2	tblastx:e1e1
1	2014	2073	20171	20112	40.0	20	23.1	3.9	-2	tblastx:e1e1
1	918	983	33547	33612	40.909	22	23.1	3.9	1	tblastx:e1e1
1	1087	1119	9875	9843	72.727	11	23.1	3.9	-2	tblastx:e1e1
1	620	691	39909	39980	45.833	24	23.1	3.9	3	tblastx:e1e1
1	606	677	5980	5909	41.667	24	23.1	3.9	-3	tblastx:e1e1
1	1137	1057	30363	30283	37.037	27	22.6	5.4	-1	tblastx:e1e1
1	3172	3258	33351	33437	34.483	29	22.6	5.4	3	tblastx:e1e1
1	3076	3053	13790	13767	75.0	8	22.6	5.4	-2	tblastx:e1e1
1	929	976	46112	46159	50.0	16	22.6	5.4	2	tblastx:e1e1
1	538	449	27422	27333	33.333	30	22.1	7.4	-2	tblastx:e1e1
1	2712	2753	23083	23124	42.857	14	22.1	7.4	1	tblastx:e1e1
2	79	2	7107	7030	100.0	26	64.3	1.14e-14	-1	tblastx:e1e1
2	1	78	7029	7106	100.0	26	63.8	1.56e-14	3	tblastx:e1e1
2	2	79	7030	7107	100.0	26	60.6	1.44e-13	1	tblastx:e1e1
2	78	1	7106	7029	100.0	26	60.6	1.52e-13	-2	tblastx:e1e1
2	3	80	7031	7108	100.0	26	59.3	3.75e-13	2	tblastx:e1e1
2	80	3	7108	7031	100.0	26	57.0	1.83e-12	-3	tblastx:e1e1
2	34	72	18865	18903	46.154	13	18.0	0.97	1	tblastx:e1e1
2	31	8	34287	34264	75.0	8	17.1	1.8	-1	tblastx:e1e1
2	50	76	39801	39827	55.556	9	16.6	2.5	3	tblastx:e1e1
2	34	57	11850	11873	62.5	8	15.7	4.8	3	tblastx:e1e1
2	28	5	41094	41117	50.0	8	15.7	4.8	3	tblastx:e1e1
2	78	46	43142	43174	36.364	11	14.9	8.4	2	tblastx:e1e1
2	66	10	44176	44232	31.579	19	14.9	8.4	1	tblastx:e1e1
2	51	80	61	90	50.0	10	14.8	9.0	1	tblastx:e1e1
2	31	60	1397	1426	50.0	10	14.8	9.0	2	tblastx:e1e1
2	18	74	37880	37824	31.579	19	14.8	9.0	-2	tblastx:e1e1
2	13	45	16096	16064	45.455	11	14.8	9.0	-3	tblastx:e1e1
3	53	3	7643	7593	100.0	17	46.0	3.75e-09	-2	tblastx:e1e1
3	1	54	7591	7644	100.0	18	45.5	5.15e-09	1	tblastx:e1e1
3	54	1	7644	7591	100.0	18	45.5	5.15e-09	-1	tblastx:e1e1
3	3	53	7593	7643	100.0	17	44.1	1.34e-08	3	tblastx:e1e1
3	52	2	7642	7592	100.0	17	40.0	2.33e-07	-3	tblastx:e1e1
3	2	52	7592	7642	100.0	17	39.1	4.39e-07	2	tblastx:e1e1
3	53	3	9467	9517	47.059	17	18.9	0.52	2	tblastx:e1e1
3	19	51	32523	32555	36.364	11	18.0	0.97	3	tblastx:e1e1
3	47	6	8435	8476	42.857	14	17.6	1.3	2	tblastx:e1e1
3	47	21	41618	41644	55.556	9	17.1	1.8	2	tblastx:e1e1
3	53	12	46081	46040	42.857	14	16.2	3.5	-3	tblastx:e1e1
3	28	54	5284	5310	55.556	9	16.2	3.5	1	tblastx:e1e1
3	26	3	35261	35284	50.0	8	16.2	3.5	2	tblastx:e1e1
3	32	12	45683	45703	57.143	7	16.2	3.5	2	tblastx:e1e1
3	27	13	17662	17676	80.0	5	15.7	4.8	1	tblastx:e1e1
3	41	12	44852	44881	60.0	10	15.7	4.8	2	tblastx:e1e1
3	13	39	10375	10349	55.556	9	15.3	6.5	-3	tblastx:e1e1
3	53	18	36440	36405	50.0	12	14.8	9.0	-2	tblastx:e1e1
3	53	24	18604	18633	50.0	10	14.8	9.0	1	tblastx:e1e1
4	57	1	29958	29902	100.0	19	50.6	1.57e-10	-1	tblastx:e1e1
4	1	57	29902	29958	100.0	19	49.2	4.06e-10	1	tblastx:e1e1
4	3	59	29904	29960	100.0	19	48.3	7.66e-10	3	tblastx:e1e1
4	59	3	29960	29904	100.0	19	47.3	1.45e-09	-2	tblastx:e1e1
4	2	58	29903	29959	100.0	19	46.0	3.75e-09	2	tblastx:e1e1
4	58	2	29959	29903	100.0	19	43.7	1.83e-08	-3	tblastx:e1e1
4	11	34	41989	41966	87.5	8	18.0	0.97	-3	tblastx:e1e1
4	27	1	43198	43224	66.667	9	17.1	1.8	1	tblastx:e1e1
4	22	57	40710	40675	41.667	12	15.7	4.8	-1	tblastx:e1e1
4	38	24	40067	40053	100.0	5	15.7	4.8	-2	tblastx:e1e1
4	39	19	13745	13725	71.429	7	15.3	6.5	-2	tblastx:e1e1
4	6	20	43942	43956	60.0	5	15.3	6.5	1	tblastx:e1e1
5	2	103	37581	37682	100.0	34	93.6	2.54e-23	3	tblastx:e1e1
5	105	1	37684	37580	100.0	35	89.0	6.08e-22	-3	tblastx:e1e1
5	1	105	37580	37684	100.0	35	87.7	1.58e-21	2	tblastx:e1e1
5	103	2	37682	37581	100.0	34	85.4	7.71e-21	-2	tblastx:e1e1
5	104	3	37683	37582	100.0	34	84.5	1.46e-20	-1	tblastx:e1e1
5	3	104	37582	37683	100.0	34	79.9	3.52e-19	1	tblastx:e1e1
5	79	47	32099	32131	54.545	11	22.6	0.061	2	tblastx:e1e1
5	2	19	31200	31217	83.333	6	21.7	0.11	3	tblastx:e1e1
5	101	30	1483	1554	37.5	24	20.8	0.16	1	tblastx:e1e1
5	50	6	37571	37615	40.0	15	20.3	0.16	2	tblastx:e1e1
5	12	86	40616	40542	36.0	25	19.1	0.71	-2	tblastx:e1e1
5	34	60	41261	41235	44.444	9	18.9	0.77	-2	tblastx:e1e1
5	65	33	29720	29688	63.636	11	18.5	1.1	-2	tblastx:e1e1
5	104	42	29820	29882	42.857	21	18.5	1.1	3	tblastx:e1e1
5	1	93	48086	47994	29.032	31	18.0	1.5	-2	tblastx:e1e1
5	57	25	3875	3907	63.636	11	18.0	1.5	2	tblastx:e1e1
5	92	30	22848	22910	42.857	21	18.0	1.5	3	tblastx:e1e1
5	56	9	3940	3893	31.25	16	18.0	1.5	-3	tblastx:e1e1
5	102	73	42536	42565	50.0	10	17.6	2.0	2	tblastx:e1e1
5	20	46	41895	41869	55.556	9	17.1	2.8	-1	tblastx:e1e1
5	2	19	39049	39032	50.0	6	17.1	2.8	-3	tblastx:e1e1
5	50	27	19823	19846	75.0	8	17.1	2.8	2	tblastx:e1e1
5	7	57	18699	18649	29.412	17	17.1	2.8	-1	tblastx:e1e1
5	4	36	37617	37585	36.364	11	16.6	3.8	-1	tblastx:e1e1
5	1	39	16661	16699	38.462	13	16.6	3.8	2	tblastx:e1e1
5	11	40	1792	1763	60.0	10	16.6	3.8	-3	tblastx:e1e1
5	55	26	18277	18306	40.0	10	16.2	5.2	1	tblastx:e1e1
5	97	53	25748	25704	40.0	15	16.2	5.2	-2	tblastx:e1e1
