intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	16	15	1,2,4,6,7,9,14,17,23,30
2	2138	9998	7861	73	54	1,3,5,6,7,9,10,11,12,14,15,16,17,19,20,21,23,24,25,26,27,28,29,30,31,32,33
3	10081	19751	9671	65	46	1,2,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,22,23,24,25,26,29,30,31,32,33
4	20012	20727	716	2	2	13,24
5	21064	26026	4963	43	31	2,3,4,6,7,8,10,11,13,14,15,17,18,20,21,24,25,26,28,29,32,33
6	26150	39582	13433	95	75	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,21,22,23,24,26,27,28,29,30,31,32,33
7	39817	40375	559	2	2	11,29
8	40532	41621	1090	12	11	8,9,15,16,18,26,28,32,33
9	41811	42922	1112	9	8	6,8,15,20,26,32,33
10	43037	44206	1170	9	5	2,6,15,16,23,24,32
11	44321	47665	3345	25	22	2,8,10,11,12,14,15,18,20,21,24,25,26,27,29,30,31,32,33
12	47900	48335	436	3	3	4,16,26
13	48447	50067	1621	9	9	7,11,14,15,24,26,29,32
14	50261	51901	1641	14	11	2,5,6,13,18,21,23,25,29,32
15	52048	53225	1178	2	2	18,19
16	53346	53455	110	2	2	30,33
17	53609	56320	2712	14	12	8,9,10,11,12,14,17,22,29,31,32,33
18	56550	58274	1725	14	10	2,4,5,9,11,12,15,17,18,20,26,29,33
19	58477	60815	2339	19	16	2,5,8,9,12,17,19,20,22,24,26,29,32,33
20	60970	61954	985	7	6	2,20,26,29,31
21	62140	62947	808	8	7	5,10,18,20,29,30,32
22	63081	65204	2124	14	13	2,3,4,6,7,14,17,23,32,33
23	65451	67468	2018	19	15	6,7,9,14,17,19,21,23,25,26,29,30,32
24	67582	67862	281	2	2	10,29
25	68393	68993	601	2	2	11,24
26	69342	69573	232	0	0	-
27	69717	69993	277	2	1	2,23
28	70205	71073	869	7	4	10,18,26,27,29,33
29	71171	71626	456	5	5	7,10,16,18,28
30	71796	75373	3578	38	25	3,5,6,7,8,9,10,12,17,18,19,20,24,25,31,32,33
31	75676	75805	130	0	0	-
32	75954	76445	492	3	3	3,14,26
33	76544	77404	861	7	6	2,5,16,19,20,28,29
34	81017	83016	2000	13	12	3,4,5,15,20,23,24,29,33
