exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	1	288	2001	2288	100.0	96	242.0	1.31e-67	3	tblastx:e1e1
1	2	286	2002	2286	100.0	95	240.0	6.4e-67	1	tblastx:e1e1
1	287	3	2287	2003	100.0	95	236.0	8.12e-66	-3	tblastx:e1e1
1	288	1	2288	2001	100.0	96	233.0	7.5e-65	-2	tblastx:e1e1
1	286	2	2286	2002	100.0	95	210.0	4.58e-58	-1	tblastx:e1e1
1	3	287	2003	2287	100.0	95	207.0	3.36e-57	2	tblastx:e1e1
1	7	231	1727	1951	33.333	75	35.9	1.85e-07	2	tblastx:e1e1
1	205	276	2061	2132	45.833	24	24.4	1.85e-07	3	tblastx:e1e1
1	105	281	2102	2278	37.288	59	39.6	1.66e-06	2	tblastx:e1e1
1	102	278	2105	2281	37.288	59	39.6	1.66e-06	2	tblastx:e1e1
1	123	275	2508	2356	29.412	51	28.7	5.12e-06	-1	tblastx:e1e1
1	63	143	2695	2615	40.741	27	26.5	5.12e-06	-3	tblastx:e1e1
1	12	257	2340	2095	25.61	82	36.5	1.36e-05	-1	tblastx:e1e1
1	256	95	2096	2257	31.481	54	35.4	2.84e-05	2	tblastx:e1e1
1	75	140	2081	2146	50.0	22	27.4	7.58e-05	2	tblastx:e1e1
1	196	279	2378	2461	39.286	28	20.8	7.58e-05	2	tblastx:e1e1
1	114	206	2220	2312	29.032	31	18.3	7.58e-05	3	tblastx:e1e1
1	60	266	2087	2293	27.536	69	32.2	0.000276	2	tblastx:e1e1
1	87	272	2060	2245	29.032	62	31.3	0.000503	2	tblastx:e1e1
1	241	122	2520	2401	32.5	40	29.5	0.000552	-1	tblastx:e1e1
1	147	97	2417	2367	47.059	17	18.5	0.000552	-2	tblastx:e1e1
1	121	264	2024	2167	33.333	48	28.6	0.000645	2	tblastx:e1e1
1	30	128	1850	1948	30.303	33	19.2	0.000645	2	tblastx:e1e1
1	84	221	2823	2686	30.435	46	25.7	0.001	-1	tblastx:e1e1
1	238	261	2644	2621	75.0	8	19.4	0.001	-3	tblastx:e1e1
1	223	246	2694	2671	62.5	8	17.1	0.001	-1	tblastx:e1e1
1	120	281	2483	2322	29.63	54	27.0	0.001	-2	tblastx:e1e1
1	30	137	2576	2469	30.556	36	20.0	0.001	-2	tblastx:e1e1
1	87	134	2718	2671	62.5	16	26.1	0.001	-1	tblastx:e1e1
1	232	261	2508	2479	60.0	10	19.9	0.001	-1	tblastx:e1e1
1	117	170	2548	2495	38.889	18	16.1	0.001	-3	tblastx:e1e1
1	48	263	2036	2251	23.611	72	30.0	0.001	2	tblastx:e1e1
1	36	251	2048	2263	23.611	72	30.0	0.001	2	tblastx:e1e1
1	274	179	2054	2149	40.625	32	29.0	0.002	2	tblastx:e1e1
1	154	101	2157	2104	61.111	18	29.0	0.002	-1	tblastx:e1e1
1	157	104	2154	2101	61.111	18	29.0	0.002	-1	tblastx:e1e1
1	99	134	2401	2436	66.667	12	23.5	0.003	1	tblastx:e1e1
1	147	242	2426	2521	37.5	32	21.8	0.003	2	tblastx:e1e1
1	82	174	2052	2144	45.161	31	28.6	0.003	3	tblastx:e1e1
1	67	279	1684	1896	29.577	71	28.1	0.005	1	tblastx:e1e1
1	105	137	2229	2261	63.636	11	20.5	0.005	3	tblastx:e1e1
1	52	120	2099	2167	34.783	23	18.9	0.005	2	tblastx:e1e1
1	202	237	2397	2432	58.333	12	18.5	0.005	3	tblastx:e1e1
1	134	166	2373	2405	45.455	11	16.2	0.005	3	tblastx:e1e1
1	52	144	2082	2174	45.161	31	28.6	0.005	3	tblastx:e1e1
1	244	282	3394	3432	61.538	13	21.7	0.005	1	tblastx:e1e1
1	133	171	2417	2455	61.538	13	21.2	0.005	2	tblastx:e1e1
1	220	243	2696	2719	75.0	8	17.6	0.005	2	tblastx:e1e1
1	260	195	2467	2532	50.0	22	23.1	0.005	1	tblastx:e1e1
1	142	41	2616	2717	35.294	34	21.2	0.005	3	tblastx:e1e1
1	94	162	1817	1885	52.174	23	26.7	0.005	2	tblastx:e1e1
1	214	237	1873	1896	62.5	8	17.6	0.005	1	tblastx:e1e1
1	54	149	2274	2179	40.625	32	27.8	0.006	-1	tblastx:e1e1
1	145	113	2471	2503	72.727	11	22.6	0.007	2	tblastx:e1e1
1	254	204	2288	2338	52.941	17	21.2	0.007	2	tblastx:e1e1
1	81	146	2075	2140	50.0	22	27.4	0.008	2	tblastx:e1e1
1	24	167	2121	2264	33.333	48	27.4	0.008	3	tblastx:e1e1
1	279	70	2178	2387	31.429	70	27.2	0.009	3	tblastx:e1e1
1	178	279	2279	2178	38.235	34	26.3	0.009	-2	tblastx:e1e1
1	77	118	17679	17638	64.286	14	22.1	0.009	-1	tblastx:e1e1
1	114	134	16016	15996	85.714	7	21.3	0.009	-2	tblastx:e1e1
1	118	186	2550	2482	43.478	23	19.9	0.009	-1	tblastx:e1e1
1	34	54	23611	23591	57.143	7	16.2	0.009	-3	tblastx:e1e1
1	15	140	2799	2674	28.571	42	22.6	0.012	-1	tblastx:e1e1
1	178	282	2578	2474	34.286	35	20.3	0.012	-3	tblastx:e1e1
1	136	104	2260	2228	63.636	11	21.2	0.016	-3	tblastx:e1e1
1	234	184	2346	2296	47.059	17	18.5	0.016	-1	tblastx:e1e1
1	245	222	2435	2412	75.0	8	17.6	0.016	-2	tblastx:e1e1
1	61	132	2205	2276	45.833	24	24.4	0.022	3	tblastx:e1e1
1	226	261	2395	2430	50.0	12	17.6	0.022	1	tblastx:e1e1
1	82	261	2645	2466	28.333	60	25.8	0.023	-2	tblastx:e1e1
1	67	129	2516	2454	47.619	21	24.0	0.029	-2	tblastx:e1e1
1	151	261	2397	2287	27.027	37	17.6	0.029	-1	tblastx:e1e1
1	265	116	2338	2487	32.0	50	25.4	0.031	1	tblastx:e1e1
1	28	264	2297	2061	27.848	79	25.4	0.031	-2	tblastx:e1e1
1	229	261	2105	2137	63.636	11	21.2	0.037	2	tblastx:e1e1
1	99	167	2052	2120	34.783	23	18.3	0.037	3	tblastx:e1e1
1	61	114	1883	1936	38.889	18	16.2	0.037	2	tblastx:e1e1
1	100	276	2354	2178	32.203	59	24.9	0.043	-2	tblastx:e1e1
1	69	263	2060	2254	23.077	65	24.8	0.046	2	tblastx:e1e1
1	60	254	2069	2263	23.077	65	24.8	0.046	2	tblastx:e1e1
1	60	272	2421	2209	23.944	71	23.9	0.051	-1	tblastx:e1e1
1	2	40	2509	2471	46.154	13	16.6	0.051	-3	tblastx:e1e1
1	81	179	2727	2629	36.364	33	22.2	0.063	-1	tblastx:e1e1
1	220	249	2508	2479	60.0	10	18.0	0.063	-1	tblastx:e1e1
1	266	225	2604	2645	57.143	14	22.6	0.11	3	tblastx:e1e1
1	152	81	2680	2751	33.333	24	16.6	0.11	1	tblastx:e1e1
1	102	197	2513	2418	40.625	32	23.5	0.11	-2	tblastx:e1e1
1	57	221	2174	2338	32.727	55	20.5	0.13	2	tblastx:e1e1
1	223	246	2413	2436	75.0	8	18.5	0.13	1	tblastx:e1e1
1	265	131	2132	2266	31.111	45	21.7	0.14	2	tblastx:e1e1
1	135	64	2353	2424	37.5	24	17.1	0.14	1	tblastx:e1e1
1	148	95	2163	2110	44.444	18	23.1	0.15	-1	tblastx:e1e1
1	163	110	2148	2095	44.444	18	23.1	0.15	-1	tblastx:e1e1
1	91	249	2624	2466	33.962	53	23.1	0.15	-2	tblastx:e1e1
1	261	61	2064	2264	29.851	67	22.6	0.21	3	tblastx:e1e1
1	142	279	2787	2650	34.783	46	24.9	0.22	-1	tblastx:e1e1
1	123	149	25773	25747	66.667	9	19.2	0.22	-1	tblastx:e1e1
1	132	266	2265	2131	31.111	45	20.9	0.23	-1	tblastx:e1e1
1	18	140	2406	2284	19.512	41	17.0	0.23	-1	tblastx:e1e1
1	148	113	2260	2225	58.333	12	20.8	0.24	-3	tblastx:e1e1
1	260	225	2429	2394	50.0	12	17.1	0.24	-2	tblastx:e1e1
1	108	164	2578	2522	47.368	19	20.0	0.28	-3	tblastx:e1e1
1	142	207	2524	2459	31.818	22	17.6	0.28	-3	tblastx:e1e1
1	67	147	2064	2144	48.148	27	22.1	0.29	3	tblastx:e1e1
1	64	144	2067	2147	48.148	27	22.1	0.29	3	tblastx:e1e1
1	98	223	2368	2493	33.333	42	22.1	0.29	1	tblastx:e1e1
1	126	152	25773	25747	77.778	9	22.6	0.35	-1	tblastx:e1e1
1	238	264	19510	19484	88.889	9	23.1	0.35	-3	tblastx:e1e1
1	262	288	9865	9839	55.556	9	16.6	0.35	-3	tblastx:e1e1
1	114	170	25643	25587	47.368	19	21.8	0.38	-2	tblastx:e1e1
1	114	146	2502	2470	72.727	11	21.8	0.38	-1	tblastx:e1e1
1	102	134	2709	2677	63.636	11	18.7	0.47	-1	tblastx:e1e1
1	135	203	2554	2486	43.478	23	17.9	0.47	-3	tblastx:e1e1
1	260	228	2136	2104	63.636	11	21.2	0.53	-1	tblastx:e1e1
1	236	84	1956	1804	33.333	51	21.2	0.53	-1	tblastx:e1e1
1	98	136	1691	1729	69.231	13	21.7	0.61	2	tblastx:e1e1
1	151	186	2101	2136	66.667	12	20.3	0.61	1	tblastx:e1e1
1	192	287	2613	2708	31.25	32	19.2	0.61	3	tblastx:e1e1
1	251	219	2477	2509	63.636	11	18.9	0.62	2	tblastx:e1e1
1	134	117	2534	2551	100.0	6	17.1	0.62	2	tblastx:e1e1
1	102	164	2087	2149	38.095	21	20.9	0.69	2	tblastx:e1e1
