exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	189	2001	2189	100.0	189	exon	CDS
1	50	104	3581	3527	72.131	61	exon	intron
1	61	98	5277	5240	77.5	40	exon	intron
1	33	70	6419	6454	75.61	41	exon	intron
1	5	79	3119	3041	70.238	84	exon	intron
1	33	96	85	144	69.565	69	exon	intron
1	6	69	1155	1220	68.056	72	exon	intron
1	4	62	2062	2004	68.657	67	exon	intron
1	38	75	6522	6557	76.923	39	exon	intron
1	14	37	6280	6303	83.333	24	exon	intron
1	36	62	343	368	79.31	29	exon	intron
1	39	76	3329	3368	74.419	43	exon	intron
1	5	40	3590	3628	75.0	40	exon	intron
1	42	70	1261	1235	79.31	29	exon	intron
1	11	36	2398	2422	81.481	27	exon	intron
1	21	38	4601	4584	88.889	18	exon	intron
1	1	23	7095	7073	83.333	24	exon	intron
1	46	75	214	247	74.286	35	exon	intron
1	51	74	1514	1535	80.0	25	exon	intron
1	16	105	2099	2019	65.957	94	exon	intron
1	38	56	5050	5070	85.714	21	exon	exon
1	25	74	5979	6022	70.588	51	exon	intron
1	54	100	2100	2054	70.833	48	exon	intron
1	26	54	2989	2957	75.758	33	exon	intron
1	72	98	3544	3573	77.419	31	exon	intron
1	58	76	626	644	85.0	20	exon	intron
1	10	82	1246	1310	66.667	75	exon	intron
1	1	27	1527	1550	77.778	27	exon	intron
1	88	108	2772	2793	81.818	22	exon	intron
1	58	76	4918	4936	84.211	19	exon	exon
1	44	62	5623	5641	84.211	19	exon	intron
1	23	82	6971	6909	67.164	67	exon	intron
1	4	21	114	96	84.211	19	exon	intron
1	119	135	423	442	85.0	20	exon	intron
1	82	100	1075	1058	84.211	19	exon	intron
1	20	57	1751	1790	72.093	43	exon	intron
1	13	103	3384	3461	64.894	94	exon	intron
1	36	65	3458	3427	75.758	33	exon	intron
1	15	89	3501	3581	67.059	85	exon	intron
1	12	74	5932	5995	67.606	71	exon	intron
1	80	105	6114	6089	77.778	27	exon	intron
1	18	66	6523	6569	69.231	52	exon	intron
1	36	52	7176	7196	80.952	21	exon	intron
1	3	86	1787	1859	65.909	88	exon	intron
1	37	58	2403	2422	78.261	23	exon	intron
1	57	74	4771	4786	83.333	18	exon	CDS
1	20	108	6742	6642	65.741	108	exon	intron
1	30	54	614	636	76.0	25	exon	intron
1	16	32	1050	1067	83.333	18	exon	intron
1	51	67	1312	1329	83.333	18	exon	intron
1	41	96	3269	3323	66.667	63	exon	intron
1	74	103	5978	5949	75.0	32	exon	intron
1	69	85	6433	6416	83.333	18	exon	intron
1	71	90	7096	7077	80.952	21	exon	intron
1	4	36	7179	7145	71.429	35	exon	intron
1	5	24	1024	1008	80.0	20	exon	intron
1	33	51	1537	1518	80.0	20	exon	intron
1	62	80	2298	2317	80.952	21	exon	intron
1	6	28	3799	3822	76.0	25	exon	intron
1	40	63	4824	4846	76.923	26	exon	CDS
1	29	62	6392	6426	72.222	36	exon	intron
1	3	39	6876	6915	70.732	41	exon	intron
1	33	92	6992	7040	67.213	61	exon	intron
1	5	25	249	232	76.19	21	exon	intron
1	124	148	3390	3412	76.0	25	exon	intron
1	13	50	3685	3718	70.0	40	exon	intron
1	55	75	4375	4350	73.077	26	exon	intron
1	69	95	5005	4981	71.429	28	exon	intron
2	1	857	4574	5430	100.0	857	exon	CDS
2	162	198	3069	3032	78.947	38	exon	intron
2	667	704	2098	2061	77.5	40	exon	intron
2	652	722	3047	2965	68.605	86	exon	intron
2	606	730	5303	5179	64.286	140	exon	intron
2	470	496	7059	7032	79.31	29	exon	intron
2	477	506	7178	7209	78.125	32	exon	intron
2	468	493	408	432	81.481	27	exon	intron
2	344	367	1408	1429	83.333	24	exon	intron
2	121	153	1552	1514	74.359	39	exon	intron
2	11	28	2038	2021	88.889	18	exon	intron
2	379	401	2294	2272	83.333	24	exon	intron
2	589	622	3365	3400	74.359	39	exon	intron
2	488	521	1967	1934	75.0	36	exon	intron
2	477	497	2038	2056	85.714	21	exon	exon
2	476	494	2539	2518	81.818	22	exon	intron
2	181	198	3770	3786	88.889	18	exon	intron
2	446	471	4333	4310	80.769	26	exon	intron
2	647	670	4665	4640	80.769	26	exon	intron
2	67	92	5243	5220	80.769	26	exon	intron
2	341	392	5480	5535	70.175	57	exon	intron
2	669	731	6824	6766	68.657	67	exon	intron
2	611	646	1044	1077	72.973	37	exon	intron
2	477	497	1263	1247	80.952	21	exon	intron
2	345	363	2058	2076	84.211	19	exon	exon
2	467	493	7025	7000	77.778	27	exon	intron
2	476	510	7077	7044	73.684	38	exon	intron
2	690	713	362	382	79.167	24	exon	intron
2	345	369	1374	1395	80.0	25	exon	intron
2	649	666	2274	2292	85.0	20	exon	intron
2	377	420	2309	2345	71.111	45	exon	intron
2	611	631	3488	3508	81.818	22	exon	intron
2	335	356	3765	3748	81.818	22	exon	intron
2	325	348	4370	4348	79.167	24	exon	intron
2	653	705	5035	5086	70.175	57	exon	exon
2	462	513	5226	5278	70.175	57	exon	exon
2	23	38	7098	7079	80.0	20	exon	intron
2	666	693	212	237	75.862	29	exon	intron
2	378	394	1002	1020	84.211	19	exon	intron
2	413	432	2325	2305	81.818	22	exon	intron
2	108	131	2603	2584	79.167	24	exon	intron
2	119	141	6378	6403	77.778	27	exon	intron
2	344	359	6439	6456	83.333	18	exon	intron
2	589	609	25	44	78.261	23	exon	intron
2	745	770	3185	3159	75.0	28	exon	intron
2	721	738	3270	3254	83.333	18	exon	intron
