intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	16	13	1,2,3,5,7,12,13,14
2	6412	7910	1499	17	11	1,2,4,5,6,9,11,12,13,14,15
3	8034	8912	879	12	8	1,3,4,5,9,11,12,13
4	9051	9619	569	6	4	6,7,10,12,14,15
5	9766	10552	787	16	10	1,2,3,5,8,9,12,13,14
6	10762	11141	380	5	4	1,8,9,12
7	11232	13028	1797	23	16	1,2,3,4,5,6,7,8,9,11,12,13,14
8	13067	17128	4062	50	37	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9	17320	17692	373	1	1	12
10	17834	18583	750	9	5	1,2,5,9,11
11	18648	19145	498	3	3	9,12,14
12	19239	20522	1284	15	12	1,2,3,4,7,8,9,10,14
13	20624	21762	1139	15	11	1,2,5,6,8,9,13,14
14	21841	25304	3464	26	16	1,2,3,4,5,6,7,8,9,10,11,13,14,15
15	25418	26024	607	6	5	1,5,7,8
16	26112	36270	10159	107	74	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
17	36557	38556	2000	12	10	2,3,5,6,7,9,11,15,16
