exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	198	2001	2198	100.0	198	exon	CDS
1	91	124	8099	8068	77.143	35	exon	intron
1	132	157	1107	1130	78.571	28	exon	intron
1	74	90	12189	12171	89.474	19	exon	intron
1	138	160	14160	14138	82.609	23	exon	intron
1	130	151	1442	1464	82.609	23	exon	intron
1	45	65	7966	7945	82.609	23	exon	intron
1	168	188	1220	1241	82.609	23	exon	intron
1	135	173	1550	1509	71.429	42	exon	intron
1	26	46	11972	11955	80.952	21	exon	intron
1	171	189	12687	12705	85.0	20	exon	intron
1	86	113	304	332	75.862	29	exon	intron
1	171	197	9219	9192	75.862	29	exon	intron
1	115	156	1053	1088	69.767	43	exon	intron
1	163	180	11692	11675	84.211	19	exon	intron
1	84	109	2589	2610	76.923	26	exon	intron
1	152	170	8209	8229	80.952	21	exon	intron
1	170	189	4107	4089	80.952	21	exon	intron
1	171	190	5360	5342	80.0	20	exon	intron
1	98	116	2966	2984	80.0	20	exon	intron
1	71	94	3766	3789	76.0	25	exon	intron
1	171	190	4115	4098	80.0	20	exon	intron
1	126	144	13886	13871	78.947	19	exon	intron
1	52	69	5041	5058	77.778	18	exon	intron
2	1	104	5201	5304	100.0	104	exon	CDS
2	43	82	7406	7442	73.171	41	exon	CDS
2	48	69	13018	12995	83.333	24	exon	intron
2	3	23	982	1002	81.818	22	exon	intron
2	71	96	1683	1660	76.923	26	exon	intron
2	33	59	4360	4390	74.194	31	exon	intron
2	5	30	4483	4459	76.923	26	exon	intron
2	50	79	8247	8277	72.727	33	exon	intron
2	18	39	1234	1215	77.273	22	exon	intron
2	41	80	9802	9832	70.0	40	exon	intron
2	20	41	12719	12740	78.261	23	exon	intron
2	43	64	8705	8728	76.0	25	exon	intron
2	40	57	8801	8784	77.778	18	exon	intron
3	1	73	6119	6191	100.0	73	exon	CDS
3	22	40	1734	1752	84.211	19	exon	intron
3	15	39	6415	6438	77.778	27	exon	intron
3	2	26	8529	8554	77.778	27	exon	intron
3	8	30	13519	13537	78.261	23	exon	intron
3	13	36	10337	10360	76.0	25	exon	CDS
3	4	18	1263	1281	73.684	19	exon	intron
4	1	83	7420	7502	100.0	83	exon	CDS
4	45	68	9592	9616	84.615	26	exon	intron
4	8	30	2343	2320	80.0	25	exon	intron
4	39	57	6459	6476	84.211	19	exon	intron
4	6	23	3228	3248	80.952	21	exon	intron
4	3	23	5260	5282	78.261	23	exon	CDS
4	10	30	5506	5525	81.818	22	exon	intron
4	58	83	11229	11256	75.0	28	exon	exon
4	57	75	5126	5143	78.947	19	exon	intron
4	7	24	6292	6278	77.778	18	exon	intron
4	2	20	7631	7648	80.0	20	exon	intron
4	46	72	10814	10838	75.0	28	exon	exon
4	16	54	7908	7947	69.048	42	exon	intron
4	9	32	9736	9715	75.0	24	exon	intron
4	50	69	8543	8558	75.0	20	exon	intron
4	31	45	10168	10185	77.778	18	exon	intron
5	1	204	8937	9140	100.0	204	exon	CDS
5	74	101	3748	3720	79.31	29	exon	intron
5	27	44	4746	4763	88.889	18	exon	intron
5	5	45	4663	4619	71.739	46	exon	intron
5	110	164	14031	13986	68.966	58	exon	intron
5	181	198	1075	1093	84.211	19	exon	intron
5	170	188	10913	10932	80.952	21	exon	exon
5	107	135	13024	13050	75.862	29	exon	intron
5	116	135	1562	1543	80.0	20	exon	intron
5	82	163	7243	7321	65.556	90	exon	intron
5	116	135	8196	8177	80.0	20	exon	intron
5	82	112	11520	11555	70.27	37	exon	exon
5	87	110	2607	2585	76.0	25	exon	intron
5	133	153	4405	4388	80.952	21	exon	intron
5	20	41	1391	1411	77.273	22	exon	intron
5	1	45	11240	11293	68.519	54	exon	exon
5	95	111	11825	11845	76.19	21	exon	exon
6	1	135	9917	10051	100.0	135	exon	CDS
6	82	111	10173	10202	77.419	31	exon	CDS
6	32	63	10902	10941	72.5	40	exon	exon
6	25	41	1671	1654	83.333	18	exon	intron
6	36	64	11787	11817	75.0	32	exon	exon
6	57	89	573	606	71.053	38	exon	intron
6	107	122	13924	13906	78.947	19	exon	intron
6	81	101	5838	5816	73.913	23	exon	intron
7	1	2290	10182	12471	100.0	2290	exon	CDS
7	722	865	8013	8156	77.778	144	exon	intron
7	730	792	1400	1462	75.0	64	exon	intron
7	529	548	1492	1472	90.476	21	exon	intron
7	530	552	10733	10711	86.957	23	exon	intron
7	550	566	4272	4255	94.444	18	exon	intron
7	275	301	6036	6062	82.143	28	exon	intron
7	1902	1940	6675	6636	75.61	41	exon	intron
7	1026	1044	2266	2248	89.474	19	exon	intron
7	285	303	4124	4106	89.474	19	exon	intron
7	448	471	4659	4639	83.333	24	exon	intron
7	747	772	5433	5458	82.143	28	exon	intron
7	284	312	6035	6058	79.31	29	exon	intron
7	887	914	6198	6222	79.31	29	exon	intron
7	734	767	4930	4898	75.0	36	exon	intron
7	1231	1248	6535	6518	88.889	18	exon	intron
7	1050	1076	7254	7228	79.31	29	exon	intron
7	1819	1841	12722	12700	82.609	23	exon	intron
7	841	877	1909	1944	73.684	38	exon	intron
7	154	173	2720	2737	85.0	20	exon	intron
7	1324	1340	2942	2959	88.889	18	exon	intron
7	1861	1884	5144	5118	77.778	27	exon	intron
7	89	115	7223	7196	78.571	28	exon	intron
7	1048	1077	7477	7504	76.667	30	exon	CDS
7	285	303	4117	4098	85.0	20	exon	intron
7	815	833	1071	1089	84.211	19	exon	intron
7	2212	2247	4969	5005	72.973	37	exon	intron
7	274	294	8517	8496	81.818	22	exon	intron
7	212	231	13187	13207	81.818	22	exon	intron
7	944	964	13819	13799	80.952	21	exon	intron
