intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	10	9	1,4,9,11,12,13,20
2	2431	56748	54318	244	225	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
3	56894	64297	7404	27	23	2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,19,22
4	64425	69243	4819	27	24	2,4,5,6,7,9,10,12,13,14,15,17,18,20,22
5	69350	69857	508	2	1	3,18
6	69995	72315	2321	15	13	2,4,5,8,11,13,16,17,18,20
7	72444	76105	3662	13	12	1,3,6,8,10,11,13,14,16,20
8	76191	77426	1236	10	9	2,3,5,10,12,14,16,22
9	77533	78882	1350	7	7	2,6,11,14,18,19,21
10	78996	81813	2818	14	11	2,8,12,14,16,17,18,20,22
11	81882	82909	1028	4	4	3,14,22
12	82997	85018	2022	10	9	3,8,11,12,15,19,20
13	85109	85211	103	1	1	12
14	85249	87249	2001	10	9	5,8,15,20,21,22
15	87364	89463	2100	9	7	2,4,5,6,8,18,20,21
16	89512	90231	720	4	4	14,22
17	90305	95369	5065	33	26	2,3,4,5,6,8,9,10,11,12,13,14,15,17,18,19,20
18	95475	101982	6508	38	31	3,4,5,6,8,9,10,11,12,13,14,15,17,18,20,22
19	102093	103763	1671	4	3	4,14,16,20
20	103902	105028	1127	6	5	3,4,7,12,22
21	105107	113037	7931	36	33	1,3,6,9,10,11,12,13,14,15,17,18,20,21,22
22	113296	123515	10220	47	41	2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
23	126149	128148	2000	5	5	8,11,16,19
