exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	1710	1726	79.167	24	19.4	1.6	blastn,tblastx	1711.5
1	2402	2403	100.0	803	1196.0	0.0	blastn,tblastx	2402.0
1	5454	5493	70.968	31	24.4	0.13	blastn,tblastx	5473.25
1	6190	6126	76.471	34	21.4	2.3	blastn,tblastx	6147.0
1	10454	10472	76.923	26	19.9	3.1	blastn,tblastx	10475.0
1	10788	10844	71.795	39	19.4	1.6	blastn,tblastx	10815.75
1	13068	13106	79.167	24	19.9	4.4	blastn,tblastx	13087.0
1	13539	13502	83.333	19	18.4	4.8	blastn,tblastx	13520.75
1	15968	15952	74.359	39	21.7	0.87	blastn,tblastx	15958.25
1	17207	17181	80.0	24	18.9	5.9	blastn,tblastx	17204.0
2	3394	3486	100.0	93	141.0	4.27e-37	blastn,tblastx	3440.0
3	5388	5345	80.0	23	17.7	0.76	blastn,tblastx	5366.75
3	5398	5400	100.0	96	145.0	2.03e-38	blastn,tblastx	5399.5
3	13618	13598	80.0	20	19.9	0.16	blastn,tblastx	13608.5
4	5525	5648	100.0	126	190.0	1.1e-51	blastn,tblastx	5587.0
4	15436	15462	76.0	25	17.4	1.5	blastn,tblastx	15445.0
5	6209	6210	100.0	129	194.0	5.14e-53	blastn,tblastx	6210.0
6	6940	6942	100.0	77	117.0	4.73e-30	blastn,tblastx	6941.0
6	14379	14424	72.727	33	18.9	0.2	blastn,tblastx	14401.75
7	11194	11286	100.0	94	142.0	1.55e-37	blastn,tblastx	11240.5
8	16275	16452	100.0	179	268.0	3.29e-75	blastn,tblastx	16364.0
