exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	1	1128	2001	3128	100.0	376	916.0	0.0	3	tblastx:e1e1
1	1127	3	3127	2003	100.0	375	915.0	0.0	-1	tblastx:e1e1
1	1129	2	3129	2002	100.0	376	906.0	0.0	-2	tblastx:e1e1
1	1128	1	3128	2001	100.0	376	892.0	0.0	-3	tblastx:e1e1
1	3	1127	2003	3127	100.0	375	891.0	0.0	2	tblastx:e1e1
1	2	1129	2002	3129	100.0	376	889.0	0.0	1	tblastx:e1e1
1	999	1016	3707	3690	100.0	6	18.5	0.13	-3	tblastx:e1e1
1	909	941	3734	3702	54.545	11	18.0	0.13	-3	tblastx:e1e1
1	1014	1076	3690	3628	42.857	21	17.1	0.13	-2	tblastx:e1e1
1	541	609	3332	3400	34.783	23	21.2	0.16	2	tblastx:e1e1
1	483	500	3313	3330	83.333	6	17.6	0.16	1	tblastx:e1e1
1	1096	1119	896	873	75.0	8	20.8	0.21	-3	tblastx:e1e1
1	971	1021	1001	951	29.412	17	17.6	0.21	-3	tblastx:e1e1
1	505	413	4463	4555	35.484	31	22.6	0.25	2	tblastx:e1e1
1	971	879	4700	4792	32.258	31	21.7	0.47	2	tblastx:e1e1
1	459	394	1	66	45.455	22	21.2	0.64	1	tblastx:e1e1
1	511	467	4476	4432	46.667	15	21.2	0.64	-2	tblastx:e1e1
1	891	932	6065	6106	50.0	14	20.8	0.88	2	tblastx:e1e1
1	565	515	774	824	41.176	17	20.3	1.2	3	tblastx:e1e1
1	939	826	3669	3782	28.947	38	20.3	1.2	3	tblastx:e1e1
1	456	512	6225	6281	42.105	19	20.3	1.2	3	tblastx:e1e1
1	609	571	5330	5368	53.846	13	19.9	1.7	2	tblastx:e1e1
1	1073	1117	6164	6120	46.667	15	19.4	2.3	-3	tblastx:e1e1
1	474	497	4330	4307	75.0	8	19.4	2.3	-1	tblastx:e1e1
1	509	459	3083	3133	41.176	17	19.4	2.3	2	tblastx:e1e1
1	453	530	1350	1273	30.769	26	19.4	2.3	-2	tblastx:e1e1
1	1070	1105	5668	5633	41.667	12	18.9	3.1	-1	tblastx:e1e1
1	979	1026	5042	4995	43.75	16	18.9	3.1	-3	tblastx:e1e1
1	693	767	1807	1881	28.0	25	18.9	3.1	1	tblastx:e1e1
1	969	883	2989	3075	34.483	29	18.9	3.1	1	tblastx:e1e1
1	492	506	3463	3477	100.0	5	18.9	3.1	1	tblastx:e1e1
1	989	1075	2969	2883	34.483	29	18.9	3.1	-3	tblastx:e1e1
1	931	893	6105	6067	46.154	13	18.5	4.3	-2	tblastx:e1e1
1	765	718	5798	5751	43.75	16	18.5	4.3	-3	tblastx:e1e1
1	932	906	4107	4081	55.556	9	18.5	4.3	-2	tblastx:e1e1
1	517	534	6183	6200	66.667	6	18.5	4.3	3	tblastx:e1e1
1	503	553	806	856	35.294	17	18.0	5.9	2	tblastx:e1e1
1	608	561	1163	1210	50.0	16	18.0	5.9	2	tblastx:e1e1
1	705	679	5439	5413	66.667	9	18.0	5.9	-2	tblastx:e1e1
1	907	960	4999	4946	38.889	18	18.0	5.9	-1	tblastx:e1e1
1	379	438	4201	4142	30.0	20	18.0	5.9	-1	tblastx:e1e1
1	911	879	3640	3672	63.636	11	18.0	5.9	1	tblastx:e1e1
1	947	1057	4284	4394	29.73	37	18.0	5.9	3	tblastx:e1e1
1	415	444	1360	1331	60.0	10	18.0	5.9	-1	tblastx:e1e1
1	469	546	1576	1653	34.615	26	17.6	8.2	1	tblastx:e1e1
1	521	568	3477	3430	37.5	16	17.6	8.2	-2	tblastx:e1e1
1	484	404	3744	3824	29.63	27	17.6	8.2	3	tblastx:e1e1
1	418	462	4028	4072	46.667	15	17.6	8.2	2	tblastx:e1e1
1	274	251	1098	1075	75.0	8	17.6	8.2	-2	tblastx:e1e1
1	470	604	770	636	24.444	45	17.6	8.2	-3	tblastx:e1e1
1	752	793	348	307	42.857	14	17.6	8.2	-2	tblastx:e1e1
2	268	2	3677	3411	100.0	89	229.0	2.17e-64	-3	tblastx:e1e1
2	3	269	3412	3678	100.0	89	228.0	4.09e-64	1	tblastx:e1e1
2	269	3	3678	3412	100.0	89	218.0	6.09e-61	-2	tblastx:e1e1
2	267	1	3676	3410	100.0	89	213.0	1.84e-59	-1	tblastx:e1e1
2	1	267	3410	3676	100.0	89	207.0	9.06e-58	2	tblastx:e1e1
2	2	268	3411	3677	100.0	89	204.0	1.15e-56	3	tblastx:e1e1
2	193	249	4986	5042	36.842	19	23.1	0.035	3	tblastx:e1e1
2	170	208	303	341	61.538	13	21.7	0.091	3	tblastx:e1e1
2	39	80	5457	5498	50.0	14	21.7	0.091	3	tblastx:e1e1
2	54	68	2492	2506	100.0	5	18.9	0.61	2	tblastx:e1e1
2	214	261	290	243	43.75	16	18.5	0.78	-3	tblastx:e1e1
2	113	148	1146	1111	58.333	12	17.6	0.78	-2	tblastx:e1e1
2	141	158	916	899	83.333	6	17.6	0.78	-1	tblastx:e1e1
2	51	83	4693	4661	54.545	11	16.6	0.78	-1	tblastx:e1e1
2	117	155	3510	3472	46.154	13	18.5	0.84	-2	tblastx:e1e1
2	101	63	3526	3564	46.154	13	18.5	0.84	1	tblastx:e1e1
2	184	207	1595	1618	62.5	8	18.0	1.2	2	tblastx:e1e1
2	231	263	2911	2879	63.636	11	18.0	1.2	-1	tblastx:e1e1
2	85	44	4639	4598	57.143	14	17.6	1.6	-1	tblastx:e1e1
2	68	21	2521	2568	37.5	16	17.6	1.6	1	tblastx:e1e1
2	83	130	4123	4170	50.0	16	17.6	1.6	1	tblastx:e1e1
2	103	26	154	77	26.923	26	17.6	1.6	-1	tblastx:e1e1
2	144	64	3329	3249	25.926	27	17.0	2.3	-3	tblastx:e1e1
2	48	74	716	742	55.556	9	16.6	3.0	2	tblastx:e1e1
2	184	161	4376	4353	62.5	8	16.6	3.0	-3	tblastx:e1e1
2	62	27	2019	1984	50.0	12	16.6	3.0	-2	tblastx:e1e1
2	68	57	4954	4943	100.0	4	16.2	4.1	-1	tblastx:e1e1
2	239	259	2878	2898	71.429	7	16.2	4.1	1	tblastx:e1e1
2	207	242	3928	3893	50.0	12	16.2	4.1	-1	tblastx:e1e1
2	245	222	3318	3341	75.0	8	15.7	5.6	3	tblastx:e1e1
2	172	149	5491	5468	62.5	8	15.3	7.8	-1	tblastx:e1e1
2	268	245	3786	3763	50.0	8	15.3	7.8	-2	tblastx:e1e1
3	203	3	4089	3889	100.0	67	172.0	1.9e-47	-2	tblastx:e1e1
3	204	1	4090	3887	100.0	68	171.0	4.94e-47	-1	tblastx:e1e1
3	205	2	4091	3888	100.0	68	171.0	6.78e-47	-3	tblastx:e1e1
3	2	205	3888	4091	100.0	68	168.0	5.24e-46	3	tblastx:e1e1
3	3	203	3889	4089	100.0	67	166.0	1.21e-45	1	tblastx:e1e1
3	1	204	3887	4090	100.0	68	165.0	4.3e-45	2	tblastx:e1e1
3	95	33	3920	3982	47.619	21	24.9	0.00025	2	tblastx:e1e1
3	193	89	3767	3871	28.571	35	21.7	0.00025	2	tblastx:e1e1
3	34	96	3981	3919	47.619	21	24.9	0.007	-2	tblastx:e1e1
3	48	119	4479	4408	41.667	24	22.1	0.047	-2	tblastx:e1e1
3	86	124	946	984	61.538	13	20.7	0.12	1	tblastx:e1e1
3	137	90	5677	5630	50.0	16	18.9	0.42	-1	tblastx:e1e1
3	165	124	1790	1749	35.714	14	18.5	0.58	-3	tblastx:e1e1
3	15	38	4745	4722	62.5	8	18.9	0.59	-3	tblastx:e1e1
3	157	183	1333	1307	55.556	9	18.5	0.59	-1	tblastx:e1e1
3	93	110	4409	4392	66.667	6	18.0	0.59	-3	tblastx:e1e1
3	108	140	1385	1353	36.364	11	13.4	0.59	-3	tblastx:e1e1
3	196	71	4801	4926	26.19	42	18.5	0.59	1	tblastx:e1e1
3	199	164	6680	6645	41.667	12	17.6	1.1	-3	tblastx:e1e1
3	187	86	1794	1693	26.471	34	17.6	1.1	-2	tblastx:e1e1
3	51	104	5386	5333	33.333	18	17.6	1.1	-1	tblastx:e1e1
3	142	186	2418	2462	46.667	15	17.6	1.1	3	tblastx:e1e1
3	22	45	4217	4240	62.5	8	17.6	1.1	2	tblastx:e1e1
3	195	160	4414	4379	50.0	12	17.1	1.5	-1	tblastx:e1e1
3	105	152	4465	4512	43.75	16	17.1	1.5	1	tblastx:e1e1
3	180	166	6285	6271	100.0	5	16.6	2.1	-2	tblastx:e1e1
3	152	111	5006	5047	35.714	14	16.6	2.1	2	tblastx:e1e1
3	160	177	842	859	66.667	6	16.2	2.9	2	tblastx:e1e1
3	102	149	1694	1741	43.75	16	16.2	2.9	2	tblastx:e1e1
