method	exon_index	sstart	send	reason	detail
blastn	1	3951	3938	basic	len/pident 14/100.0
blastn	1	854	869	basic	len/pident 16/93.75
blastn	1	890	878	basic	len/pident 13/100.0
blastn	1	12191	12179	basic	len/pident 13/100.0
blastn	1	5532	5546	basic	len/pident 15/93.333
blastn	1	8429	8415	basic	len/pident 15/93.333
blastn	1	15	28	basic	len/pident 15/93.333
blastn	1	966	982	basic	len/pident 17/88.235
blastn	1	3825	3836	basic	len/pident 12/100.0
blastn	1	3975	3986	basic	len/pident 12/100.0
blastn	1	4261	4250	basic	len/pident 12/100.0
blastn	1	4648	4637	basic	len/pident 12/100.0
blastn	1	8378	8389	basic	len/pident 12/100.0
blastn	1	10333	10349	basic	len/pident 17/88.235
blastn	1	10586	10573	basic	len/pident 15/93.333
blastn	1	10956	10943	basic	len/pident 15/93.333
blastn	1	13658	13674	basic	len/pident 17/88.235
blastn	1	14467	14483	basic	len/pident 17/88.235
blastn	1	82	95	basic	len/pident 14/92.857
blastn	1	5601	5614	basic	len/pident 14/92.857
blastn	1	6849	6836	basic	len/pident 14/92.857
blastn	1	7657	7644	basic	len/pident 14/92.857
blastn	1	8638	8625	basic	len/pident 14/92.857
blastn	1	10066	10081	basic	len/pident 17/88.235
blastn	1	10271	10284	basic	len/pident 14/92.857
blastn	1	12518	12531	basic	len/pident 14/92.857
blastn	1	14603	14590	basic	len/pident 14/92.857
blastn	1	547	532	basic	len/pident 16/87.5
blastn	1	729	719	basic	len/pident 11/100.0
blastn	1	835	845	basic	len/pident 11/100.0
blastn	1	5236	5226	basic	len/pident 11/100.0
blastn	1	5479	5469	basic	len/pident 11/100.0
blastn	1	5524	5514	basic	len/pident 11/100.0
blastn	1	5714	5729	basic	len/pident 16/87.5
blastn	1	6166	6151	basic	len/pident 16/87.5
blastn	1	6351	6361	basic	len/pident 11/100.0
blastn	1	7103	7088	basic	len/pident 16/87.5
blastn	1	8091	8104	basic	len/pident 14/92.857
blastn	1	8909	8899	basic	len/pident 11/100.0
blastn	1	9021	9011	basic	len/pident 11/100.0
blastn	1	9218	9208	basic	len/pident 11/100.0
blastn	1	10836	10826	basic	len/pident 11/100.0
blastn	1	12597	12607	basic	len/pident 11/100.0
blastn	1	12780	12765	basic	len/pident 16/87.5
blastn	1	13859	13849	basic	len/pident 11/100.0
blastn	1	14321	14311	basic	len/pident 11/100.0
blastn	1	14520	14530	basic	len/pident 11/100.0
blastn	2	2864	2878	basic	len/pident 15/93.333
blastn	2	784	795	basic	len/pident 12/100.0
blastn	2	1423	1434	basic	len/pident 12/100.0
blastn	2	8092	8103	basic	len/pident 12/100.0
blastn	2	8608	8597	basic	len/pident 12/100.0
blastn	2	4588	4601	basic	len/pident 14/92.857
blastn	2	5169	5182	basic	len/pident 14/92.857
blastn	2	5253	5240	basic	len/pident 14/92.857
blastn	2	5278	5291	basic	len/pident 14/92.857
blastn	2	5392	5379	basic	len/pident 14/92.857
blastn	2	6137	6124	basic	len/pident 14/92.857
blastn	2	6670	6657	basic	len/pident 14/92.857
blastn	2	9923	9936	basic	len/pident 14/92.857
blastn	2	10336	10323	basic	len/pident 14/92.857
blastn	2	11708	11695	basic	len/pident 14/92.857
blastn	2	12159	12144	basic	len/pident 17/88.235
blastn	2	1182	1172	basic	len/pident 11/100.0
blastn	2	1226	1211	basic	len/pident 16/87.5
blastn	2	2210	2200	basic	len/pident 11/100.0
blastn	2	2726	2716	basic	len/pident 11/100.0
blastn	2	2919	2904	basic	len/pident 16/87.5
blastn	2	3328	3343	basic	len/pident 16/87.5
blastn	2	3653	3663	basic	len/pident 11/100.0
blastn	2	3682	3672	basic	len/pident 11/100.0
blastn	2	6481	6468	basic	len/pident 14/92.857
blastn	2	6547	6535	basic	len/pident 14/92.857
blastn	2	7042	7057	basic	len/pident 16/87.5
blastn	2	8880	8890	basic	len/pident 11/100.0
blastn	2	9682	9697	basic	len/pident 16/87.5
blastn	2	11088	11098	basic	len/pident 11/100.0
blastn	2	11803	11793	basic	len/pident 11/100.0
blastn	2	11794	11804	basic	len/pident 11/100.0
blastn	2	11821	11811	basic	len/pident 11/100.0
blastn	2	12089	12079	basic	len/pident 11/100.0
blastn	2	12290	12280	basic	len/pident 11/100.0
blastn	3	10433	10447	basic	len/pident 15/100.0
blastn	3	12138	12152	basic	len/pident 15/100.0
blastn	3	7373	7360	basic	len/pident 14/100.0
blastn	3	4091	4079	basic	len/pident 13/100.0
blastn	3	11101	11089	basic	len/pident 13/100.0
blastn	3	11345	11333	basic	len/pident 13/100.0
blastn	3	14525	14513	basic	len/pident 13/100.0
blastn	3	1211	1225	basic	len/pident 15/93.333
blastn	3	2099	2085	basic	len/pident 15/93.333
blastn	3	7013	7027	basic	len/pident 15/93.333
blastn	3	7126	7140	basic	len/pident 15/93.333
blastn	3	8161	8147	basic	len/pident 15/93.333
blastn	3	8380	8394	basic	len/pident 15/93.333
blastn	3	10138	10152	basic	len/pident 15/93.333
blastn	3	10896	10882	basic	len/pident 15/93.333
blastn	3	14480	14466	basic	len/pident 15/93.333
blastn	3	229	218	basic	len/pident 12/100.0
blastn	3	1168	1179	basic	len/pident 12/100.0
blastn	3	2086	2097	basic	len/pident 12/100.0
blastn	3	2369	2385	basic	len/pident 17/88.235
blastn	3	4832	4821	basic	len/pident 12/100.0
blastn	3	5478	5467	basic	len/pident 12/100.0
blastn	3	5987	5998	basic	len/pident 12/100.0
blastn	3	6946	6935	basic	len/pident 12/100.0
blastn	3	7420	7409	basic	len/pident 12/100.0
blastn	3	7466	7477	basic	len/pident 12/100.0
blastn	3	7905	7889	basic	len/pident 17/88.235
blastn	3	8842	8831	basic	len/pident 12/100.0
blastn	3	9879	9895	basic	len/pident 17/88.235
blastn	3	10077	10066	basic	len/pident 12/100.0
blastn	3	10120	10109	basic	len/pident 12/100.0
blastn	3	10110	10121	basic	len/pident 12/100.0
blastn	3	10181	10170	basic	len/pident 12/100.0
blastn	3	10220	10231	basic	len/pident 12/100.0
blastn	3	10366	10355	basic	len/pident 12/100.0
blastn	3	11386	11402	basic	len/pident 17/88.235
blastn	3	11602	11586	basic	len/pident 17/88.235
blastn	3	11944	11955	basic	len/pident 12/100.0
blastn	3	12609	12593	basic	len/pident 17/88.235
blastn	3	12617	12606	basic	len/pident 12/100.0
blastn	3	12815	12799	basic	len/pident 17/88.235
blastn	3	12856	12845	basic	len/pident 12/100.0
blastn	3	14095	14111	basic	len/pident 17/88.235
blastn	3	14480	14469	basic	len/pident 12/100.0
blastn	1	3951	3938	basic	len/pident 14/100.0
blastn	1	890	878	basic	len/pident 13/100.0
blastn	1	12191	12179	basic	len/pident 13/100.0
blastn	1	5532	5546	basic	len/pident 15/93.333
blastn	1	8429	8415	basic	len/pident 15/93.333
blastn	1	15	28	basic	len/pident 15/93.333
blastn	1	966	982	basic	len/pident 17/88.235
blastn	1	3825	3836	basic	len/pident 12/100.0
blastn	1	3975	3986	basic	len/pident 12/100.0
blastn	1	4261	4250	basic	len/pident 12/100.0
blastn	1	4648	4637	basic	len/pident 12/100.0
blastn	1	8378	8389	basic	len/pident 12/100.0
blastn	1	10586	10573	basic	len/pident 15/93.333
blastn	1	10956	10943	basic	len/pident 15/93.333
blastn	1	13658	13674	basic	len/pident 17/88.235
blastn	1	5601	5614	basic	len/pident 14/92.857
blastn	1	7657	7644	basic	len/pident 14/92.857
blastn	1	14603	14590	basic	len/pident 14/92.857
blastn	1	729	719	basic	len/pident 11/100.0
blastn	1	835	845	basic	len/pident 11/100.0
blastn	1	5236	5226	basic	len/pident 11/100.0
blastn	1	5479	5469	basic	len/pident 11/100.0
blastn	1	5524	5514	basic	len/pident 11/100.0
blastn	1	6166	6151	basic	len/pident 16/87.5
blastn	1	6351	6361	basic	len/pident 11/100.0
blastn	1	7103	7088	basic	len/pident 16/87.5
blastn	1	8909	8899	basic	len/pident 11/100.0
blastn	1	9021	9011	basic	len/pident 11/100.0
blastn	1	9218	9208	basic	len/pident 11/100.0
blastn	1	10836	10826	basic	len/pident 11/100.0
blastn	1	12597	12607	basic	len/pident 11/100.0
blastn	1	13859	13849	basic	len/pident 11/100.0
blastn	1	14321	14311	basic	len/pident 11/100.0
blastn	1	14520	14530	basic	len/pident 11/100.0
blastn	2	2864	2878	basic	len/pident 15/93.333
blastn	2	784	795	basic	len/pident 12/100.0
blastn	2	1423	1434	basic	len/pident 12/100.0
blastn	2	8092	8103	basic	len/pident 12/100.0
blastn	2	8608	8597	basic	len/pident 12/100.0
blastn	2	4588	4601	basic	len/pident 14/92.857
blastn	2	5169	5182	basic	len/pident 14/92.857
blastn	2	5253	5240	basic	len/pident 14/92.857
blastn	2	5278	5291	basic	len/pident 14/92.857
blastn	2	5392	5379	basic	len/pident 14/92.857
blastn	2	11708	11695	basic	len/pident 14/92.857
blastn	2	1182	1172	basic	len/pident 11/100.0
blastn	2	2210	2200	basic	len/pident 11/100.0
blastn	2	2726	2716	basic	len/pident 11/100.0
blastn	2	2919	2904	basic	len/pident 16/87.5
blastn	2	3653	3663	basic	len/pident 11/100.0
blastn	2	3682	3672	basic	len/pident 11/100.0
blastn	2	6481	6468	basic	len/pident 14/92.857
blastn	2	6547	6535	basic	len/pident 14/92.857
blastn	2	8880	8890	basic	len/pident 11/100.0
blastn	2	9682	9697	basic	len/pident 16/87.5
blastn	2	11088	11098	basic	len/pident 11/100.0
blastn	2	11803	11793	basic	len/pident 11/100.0
blastn	2	11794	11804	basic	len/pident 11/100.0
blastn	2	11821	11811	basic	len/pident 11/100.0
blastn	2	12089	12079	basic	len/pident 11/100.0
blastn	2	12290	12280	basic	len/pident 11/100.0
blastn	3	10433	10447	basic	len/pident 15/100.0
blastn	3	12138	12152	basic	len/pident 15/100.0
blastn	3	7373	7360	basic	len/pident 14/100.0
blastn	3	4091	4079	basic	len/pident 13/100.0
blastn	3	11101	11089	basic	len/pident 13/100.0
blastn	3	11345	11333	basic	len/pident 13/100.0
blastn	3	14525	14513	basic	len/pident 13/100.0
blastn	3	1211	1225	basic	len/pident 15/93.333
blastn	3	2099	2085	basic	len/pident 15/93.333
blastn	3	7013	7027	basic	len/pident 15/93.333
blastn	3	8161	8147	basic	len/pident 15/93.333
blastn	3	8380	8394	basic	len/pident 15/93.333
blastn	3	10896	10882	basic	len/pident 15/93.333
blastn	3	229	218	basic	len/pident 12/100.0
blastn	3	1168	1179	basic	len/pident 12/100.0
blastn	3	2086	2097	basic	len/pident 12/100.0
blastn	3	4832	4821	basic	len/pident 12/100.0
blastn	3	5478	5467	basic	len/pident 12/100.0
blastn	3	5987	5998	basic	len/pident 12/100.0
blastn	3	6946	6935	basic	len/pident 12/100.0
blastn	3	7420	7409	basic	len/pident 12/100.0
blastn	3	7466	7477	basic	len/pident 12/100.0
blastn	3	7905	7889	basic	len/pident 17/88.235
blastn	3	8842	8831	basic	len/pident 12/100.0
blastn	3	10077	10066	basic	len/pident 12/100.0
blastn	3	10120	10109	basic	len/pident 12/100.0
blastn	3	10110	10121	basic	len/pident 12/100.0
blastn	3	10181	10170	basic	len/pident 12/100.0
blastn	3	10220	10231	basic	len/pident 12/100.0
blastn	3	10366	10355	basic	len/pident 12/100.0
blastn	3	11602	11586	basic	len/pident 17/88.235
blastn	3	11944	11955	basic	len/pident 12/100.0
blastn	3	12617	12606	basic	len/pident 12/100.0
blastn	3	12856	12845	basic	len/pident 12/100.0
blastn	3	14480	14469	basic	len/pident 12/100.0
blastn	1	3951	3938	basic	len/pident 14/100.0
blastn	1	890	878	basic	len/pident 13/100.0
blastn	1	12191	12179	basic	len/pident 13/100.0
blastn	1	5532	5546	basic	len/pident 15/93.333
blastn	1	15	28	basic	len/pident 15/93.333
blastn	1	3825	3836	basic	len/pident 12/100.0
blastn	1	3975	3986	basic	len/pident 12/100.0
blastn	1	4261	4250	basic	len/pident 12/100.0
blastn	1	4648	4637	basic	len/pident 12/100.0
blastn	1	8378	8389	basic	len/pident 12/100.0
blastn	1	5601	5614	basic	len/pident 14/92.857
blastn	1	7657	7644	basic	len/pident 14/92.857
blastn	1	14603	14590	basic	len/pident 14/92.857
blastn	1	5236	5226	basic	len/pident 11/100.0
blastn	1	5479	5469	basic	len/pident 11/100.0
blastn	1	5524	5514	basic	len/pident 11/100.0
blastn	1	6351	6361	basic	len/pident 11/100.0
blastn	1	9021	9011	basic	len/pident 11/100.0
blastn	1	10836	10826	basic	len/pident 11/100.0
blastn	1	12597	12607	basic	len/pident 11/100.0
blastn	1	13859	13849	basic	len/pident 11/100.0
blastn	1	14321	14311	basic	len/pident 11/100.0
blastn	2	2864	2878	basic	len/pident 15/93.333
blastn	2	784	795	basic	len/pident 12/100.0
blastn	2	1423	1434	basic	len/pident 12/100.0
blastn	2	8092	8103	basic	len/pident 12/100.0
blastn	2	8608	8597	basic	len/pident 12/100.0
blastn	2	4588	4601	basic	len/pident 14/92.857
blastn	2	5169	5182	basic	len/pident 14/92.857
blastn	2	5278	5291	basic	len/pident 14/92.857
blastn	2	1182	1172	basic	len/pident 11/100.0
blastn	2	2210	2200	basic	len/pident 11/100.0
blastn	2	2726	2716	basic	len/pident 11/100.0
blastn	2	3653	3663	basic	len/pident 11/100.0
blastn	2	3682	3672	basic	len/pident 11/100.0
blastn	2	8880	8890	basic	len/pident 11/100.0
blastn	2	11088	11098	basic	len/pident 11/100.0
blastn	2	11803	11793	basic	len/pident 11/100.0
blastn	2	11794	11804	basic	len/pident 11/100.0
blastn	2	11821	11811	basic	len/pident 11/100.0
blastn	2	12089	12079	basic	len/pident 11/100.0
blastn	2	12290	12280	basic	len/pident 11/100.0
blastn	3	10433	10447	basic	len/pident 15/100.0
blastn	3	12138	12152	basic	len/pident 15/100.0
blastn	3	7373	7360	basic	len/pident 14/100.0
blastn	3	4091	4079	basic	len/pident 13/100.0
blastn	3	11101	11089	basic	len/pident 13/100.0
blastn	3	11345	11333	basic	len/pident 13/100.0
blastn	3	14525	14513	basic	len/pident 13/100.0
blastn	3	229	218	basic	len/pident 12/100.0
blastn	3	1168	1179	basic	len/pident 12/100.0
blastn	3	2086	2097	basic	len/pident 12/100.0
blastn	3	4832	4821	basic	len/pident 12/100.0
blastn	3	5478	5467	basic	len/pident 12/100.0
blastn	3	7420	7409	basic	len/pident 12/100.0
blastn	3	7466	7477	basic	len/pident 12/100.0
blastn	3	10077	10066	basic	len/pident 12/100.0
blastn	3	10120	10109	basic	len/pident 12/100.0
blastn	3	10110	10121	basic	len/pident 12/100.0
blastn	3	10181	10170	basic	len/pident 12/100.0
blastn	3	10220	10231	basic	len/pident 12/100.0
blastn	3	10366	10355	basic	len/pident 12/100.0
blastn	3	11944	11955	basic	len/pident 12/100.0
blastn	3	12617	12606	basic	len/pident 12/100.0
blastn	3	12856	12845	basic	len/pident 12/100.0
blastn	3	14480	14469	basic	len/pident 12/100.0
tblastx	1	4885	4935	basic	len/pident 17/47.059
tblastx	1	9573	9608	basic	len/pident 12/58.333
tblastx	1	9628	9645	basic	len/pident 6/83.333
tblastx	1	6258	6229	basic	len/pident 10/60.0
tblastx	1	582	632	basic	len/pident 17/41.176
tblastx	1	9622	9584	basic	len/pident 13/46.154
tblastx	1	104	130	basic	len/pident 9/66.667
tblastx	1	14476	14511	basic	len/pident 12/58.333
tblastx	1	2908	2937	basic	len/pident 10/60.0
tblastx	1	8116	8075	basic	len/pident 14/64.286
tblastx	1	10351	10310	basic	len/pident 14/50.0
tblastx	1	2939	2910	basic	len/pident 10/60.0
tblastx	1	5813	5778	basic	len/pident 12/58.333
tblastx	1	10496	10531	basic	len/pident 12/41.667
tblastx	1	2144	2176	basic	len/pident 11/54.545
tblastx	1	2180	2212	basic	len/pident 11/54.545
tblastx	1	5282	5317	basic	len/pident 12/66.667
tblastx	1	6279	6247	basic	len/pident 11/36.364
tblastx	1	1678	1722	basic	len/pident 15/53.333
tblastx	1	4242	4271	basic	len/pident 10/70.0
tblastx	1	11696	11646	basic	len/pident 17/47.059
tblastx	1	8676	8662	basic	len/pident 5/100.0
tblastx	1	8955	8978	basic	len/pident 8/62.5
tblastx	1	10539	10580	basic	len/pident 14/50.0
tblastx	1	2451	2422	basic	len/pident 10/70.0
tblastx	1	13520	13555	basic	len/pident 12/58.333
tblastx	1	1495	1521	basic	len/pident 9/77.778
tblastx	1	8930	8968	basic	len/pident 13/46.154
tblastx	1	129	109	basic	len/pident 7/71.429
tblastx	1	6588	6617	basic	len/pident 10/60.0
tblastx	1	7265	7224	basic	len/pident 14/50.0
tblastx	1	12090	12110	basic	len/pident 7/71.429
tblastx	2	11519	11563	basic	len/pident 15/40.0
tblastx	2	3770	3741	basic	len/pident 10/60.0
tblastx	2	10417	10452	basic	len/pident 12/66.667
tblastx	2	11535	11567	basic	len/pident 11/63.636
tblastx	2	2042	2077	basic	len/pident 12/66.667
tblastx	2	10450	10412	basic	len/pident 13/53.846
tblastx	2	9840	9814	basic	len/pident 9/55.556
tblastx	2	8434	8387	basic	len/pident 16/43.75
tblastx	2	2603	2568	basic	len/pident 12/58.333
tblastx	2	2518	2550	basic	len/pident 11/36.364
tblastx	2	11425	11472	basic	len/pident 16/56.25
tblastx	2	7075	7104	basic	len/pident 10/70.0
tblastx	2	6014	5973	basic	len/pident 14/42.857
tblastx	2	5696	5655	basic	len/pident 14/42.857
tblastx	2	11683	11709	basic	len/pident 9/66.667
tblastx	2	2702	2731	basic	len/pident 10/60.0
tblastx	2	11032	11009	basic	len/pident 8/75.0
tblastx	2	1361	1332	basic	len/pident 10/70.0
tblastx	2	1939	1968	basic	len/pident 10/60.0
tblastx	2	14144	14100	basic	len/pident 15/53.333
