exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	3087	2001	5087	100.0	3087	exon	CDS
1	1198	1370	10611	10799	69.271	192	exon	intron
1	2176	2241	3764	3701	70.833	72	exon	intron
1	1701	1764	4241	4176	70.833	72	exon	intron
1	2784	2814	5270	5239	82.353	34	exon	intron
1	371	410	5285	5249	76.19	42	exon	intron
1	19	69	9589	9534	71.93	57	exon	intron
1	2055	2185	5114	4972	65.563	151	exon	intron
1	1169	1266	5474	5568	66.346	104	exon	intron
1	1266	1292	7060	7033	82.143	28	exon	intron
1	1320	1370	301	352	70.37	54	exon	intron
1	2026	2066	3711	3749	73.81	42	exon	exon
1	1711	1749	4026	4066	73.81	42	exon	exon
1	494	534	13245	13288	73.913	46	exon	intron
1	2164	2181	4109	4092	88.889	18	exon	intron
1	2160	2224	4224	4160	66.667	72	exon	intron
1	2092	2109	4181	4164	88.889	18	exon	intron
1	2452	2474	4193	4171	82.609	23	exon	intron
1	2171	2193	4474	4452	82.609	23	exon	intron
1	1426	1448	9413	9391	83.333	24	exon	intron
1	60	89	9995	9967	77.419	31	exon	intron
1	1678	1700	10661	10683	82.609	23	exon	intron
1	437	468	11740	11769	75.758	33	exon	CDS
1	1137	1154	2593	2577	88.889	18	exon	intron
1	577	593	3154	3137	88.889	18	exon	intron
1	2043	2064	3799	3779	82.609	23	exon	intron
1	1779	1799	4064	4043	82.609	23	exon	intron
1	2405	2482	4079	4155	67.059	85	exon	exon
1	2079	2155	4405	4482	67.059	85	exon	exon
1	1458	1483	5612	5586	78.571	28	exon	intron
1	1482	1511	7186	7157	76.667	30	exon	intron
1	2760	2795	705	676	72.973	37	exon	intron
1	140	158	1512	1531	85.0	20	exon	intron
1	916	932	2932	2916	88.889	18	exon	intron
1	2855	2876	10203	10224	81.818	22	exon	CDS
1	1086	1110	11580	11557	80.0	25	exon	intron
1	463	489	12088	12059	76.667	30	exon	intron
1	943	959	12635	12615	80.952	21	exon	intron
1	213	248	13209	13171	73.171	41	exon	intron
1	376	401	774	800	77.778	27	exon	intron
1	2431	2447	4338	4320	84.211	19	exon	intron
1	2320	2338	4447	4431	84.211	19	exon	intron
1	2276	2294	5436	5418	84.211	19	exon	intron
1	1069	1089	6133	6113	80.952	21	exon	intron
