exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	683	2001	2683	100.0	683	1017.0	0.0	blastn:w7;e1e2
1	340	356	457	441	100.0	17	28.1	0.021	blastn:w7;e1e2
1	364	393	5762	5731	78.788	33	25.9	0.17	blastn:w7;e1e2
1	339	363	464	441	84.0	25	24.4	0.46	blastn:w7;e1e2
1	379	403	6247	6273	82.143	28	24.4	0.46	blastn:w7;e1e2
1	269	289	1408	1388	85.714	21	22.9	1.3	blastn:w7;e1e2
1	510	539	7188	7163	76.667	30	22.9	1.3	blastn:w7;e1e2
1	584	601	64	81	88.889	18	22.2	1.3	blastn:w7;e1e2
1	169	196	1003	1030	78.571	28	22.2	1.3	blastn:w7;e1e2
1	349	366	2031	2014	88.889	18	22.2	1.3	blastn:w7;e1e2
1	14	31	2366	2349	88.889	18	22.2	1.3	blastn:w7;e1e2
1	201	231	2804	2777	78.125	32	22.2	1.3	blastn:w7;e1e2
1	509	537	6948	6915	73.529	34	22.2	1.3	blastn:w7;e1e2
1	338	357	275	256	85.0	20	21.4	3.6	blastn:w7;e1e2
1	104	118	5123	5137	93.333	15	21.4	3.6	blastn:w7;e1e2
1	28	39	322	333	100.0	12	20.7	3.6	blastn:w7;e1e2
1	27	41	425	438	93.333	15	20.7	3.6	blastn:w7;e1e2
1	519	542	1173	1146	78.571	28	20.7	3.6	blastn:w7;e1e2
1	419	435	1787	1771	88.235	17	20.7	3.6	blastn:w7;e1e2
1	395	421	6884	6908	78.571	28	20.7	3.6	blastn:w7;e1e2
1	507	534	7269	7244	78.571	28	20.7	3.6	blastn:w7;e1e2
1	526	557	8586	8611	75.0	32	20.7	3.6	blastn:w7;e1e2
1	119	160	1557	1595	72.093	43	19.9	10.0	blastn:w7;e1e2
1	71	89	2905	2889	84.211	19	19.9	10.0	blastn:w7;e1e2
1	626	644	2924	2945	81.818	22	19.9	10.0	blastn:w7;e1e2
1	262	285	3414	3435	79.167	24	19.9	10.0	blastn:w7;e1e2
1	9	37	4455	4481	75.862	29	19.9	10.0	blastn:w7;e1e2
1	120	143	6344	6367	80.0	25	19.9	10.0	blastn:w7;e1e2
1	499	515	7159	7144	88.235	17	19.9	10.0	blastn:w7;e1e2
1	163	220	8622	8671	67.241	58	19.9	10.0	blastn:w7;e1e2
1	473	488	1232	1217	87.5	16	19.2	10.0	blastn:w7;e1e2
1	192	207	2207	2192	87.5	16	19.2	10.0	blastn:w7;e1e2
1	392	404	2845	2832	92.857	14	19.2	10.0	blastn:w7;e1e2
1	530	545	2903	2918	87.5	16	19.2	10.0	blastn:w7;e1e2
1	205	215	3083	3093	100.0	11	19.2	10.0	blastn:w7;e1e2
1	349	364	3438	3453	87.5	16	19.2	10.0	blastn:w7;e1e2
