exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	3	860	2003	2860	100.0	286	690.0	0.0	2	tblastx:e1e1
1	859	2	2859	2002	100.0	286	686.0	0.0	-2	tblastx:e1e1
1	2	859	2002	2859	100.0	286	685.0	0.0	1	tblastx:e1e1
1	1	858	2001	2858	100.0	286	682.0	0.0	3	tblastx:e1e1
1	858	1	2858	2001	100.0	286	679.0	0.0	-3	tblastx:e1e1
1	860	3	2860	2003	100.0	286	677.0	0.0	-1	tblastx:e1e1
1	726	782	11338	11394	52.632	19	24.0	0.3	1	tblastx:e1e1
1	208	243	11988	12023	66.667	12	24.0	0.3	3	tblastx:e1e1
1	442	416	2006	2032	77.778	9	22.6	0.77	2	tblastx:e1e1
1	471	560	13761	13672	33.333	30	22.6	0.77	-2	tblastx:e1e1
1	483	457	15780	15806	77.778	9	22.6	0.77	3	tblastx:e1e1
1	6	32	2442	2416	77.778	9	22.6	0.77	-2	tblastx:e1e1
1	215	150	9566	9501	40.909	22	22.1	1.1	-3	tblastx:e1e1
1	611	582	27470	27441	60.0	10	21.7	1.5	-3	tblastx:e1e1
1	329	252	2472	2395	34.615	26	21.7	1.5	-2	tblastx:e1e1
1	472	395	2329	2252	34.615	26	21.7	1.5	-1	tblastx:e1e1
1	513	572	4300	4359	35.0	20	20.8	2.7	1	tblastx:e1e1
1	509	541	6687	6719	63.636	11	20.8	2.7	3	tblastx:e1e1
1	824	844	19852	19832	71.429	7	20.8	2.7	-1	tblastx:e1e1
1	250	351	3510	3409	29.412	34	20.8	2.7	-2	tblastx:e1e1
1	775	807	352	384	45.455	11	20.3	3.8	1	tblastx:e1e1
1	635	664	1996	2025	70.0	10	20.3	3.8	1	tblastx:e1e1
1	289	411	21049	20927	31.707	41	20.3	3.8	-1	tblastx:e1e1
1	681	743	15568	15506	33.333	21	20.3	3.8	-1	tblastx:e1e1
1	731	778	13887	13840	50.0	16	20.3	3.8	-2	tblastx:e1e1
1	454	416	23672	23634	53.846	13	19.9	5.2	-3	tblastx:e1e1
1	517	582	10331	10396	36.364	22	19.9	5.2	2	tblastx:e1e1
1	438	409	27540	27569	70.0	10	19.9	5.2	3	tblastx:e1e1
1	467	432	24045	24010	33.333	12	19.4	7.1	-2	tblastx:e1e1
1	449	405	20875	20831	40.0	15	19.4	7.1	-1	tblastx:e1e1
1	854	819	15114	15149	58.333	12	19.4	7.1	3	tblastx:e1e1
1	824	844	15206	15226	57.143	7	19.4	7.1	2	tblastx:e1e1
1	151	231	12015	11935	25.926	27	19.4	7.1	-2	tblastx:e1e1
1	824	844	9332	9312	57.143	7	19.4	7.1	-3	tblastx:e1e1
1	781	828	621	668	50.0	16	18.9	9.8	3	tblastx:e1e1
1	854	831	27387	27364	87.5	8	18.9	9.8	-2	tblastx:e1e1
1	9	53	23657	23613	46.667	15	18.9	9.8	-3	tblastx:e1e1
1	517	555	19406	19368	38.462	13	18.9	9.8	-3	tblastx:e1e1
1	608	582	12139	12165	44.444	9	18.9	9.8	1	tblastx:e1e1
1	512	568	13796	13852	42.105	19	18.9	9.8	2	tblastx:e1e1
1	412	332	13675	13595	29.63	27	18.9	9.8	-1	tblastx:e1e1
1	854	819	12095	12060	58.333	12	18.9	9.8	-3	tblastx:e1e1
1	226	155	3559	3488	33.333	24	18.9	9.8	-1	tblastx:e1e1
1	533	622	27838	27927	33.333	30	18.9	9.8	1	tblastx:e1e1
2	1726	2	5147	3423	100.0	575	1397.0	0.0	-3	tblastx:e1e1
2	2	1726	3423	5147	100.0	575	1390.0	0.0	3	tblastx:e1e1
2	1728	1	5149	3422	100.0	576	1373.0	0.0	-1	tblastx:e1e1
2	3	1727	3424	5148	100.0	575	1366.0	0.0	1	tblastx:e1e1
2	1727	3	5148	3424	100.0	575	1361.0	0.0	-2	tblastx:e1e1
2	1	1728	3422	5149	100.0	576	1358.0	0.0	2	tblastx:e1e1
2	1077	997	26769	26849	37.037	27	21.2	0.26	3	tblastx:e1e1
2	1168	1133	26634	26669	50.0	12	19.4	0.26	3	tblastx:e1e1
2	1180	1073	13935	14042	33.333	36	24.0	0.63	3	tblastx:e1e1
2	784	713	10874	10803	33.333	24	24.0	0.63	-3	tblastx:e1e1
2	996	922	17340	17266	40.0	25	23.5	0.86	-2	tblastx:e1e1
2	1573	1544	19227	19256	60.0	10	23.5	0.86	3	tblastx:e1e1
2	128	160	10905	10937	54.545	11	23.1	1.2	3	tblastx:e1e1
2	353	385	12432	12464	72.727	11	23.1	1.2	3	tblastx:e1e1
2	1664	1702	25047	25009	46.154	13	22.1	2.2	-2	tblastx:e1e1
2	1496	1558	17451	17513	42.857	21	22.1	2.2	3	tblastx:e1e1
2	1065	1124	10854	10795	40.0	20	21.7	3.1	-2	tblastx:e1e1
2	612	580	19488	19520	63.636	11	21.7	3.1	3	tblastx:e1e1
2	1177	1151	26307	26333	77.778	9	21.7	3.1	3	tblastx:e1e1
2	1151	1165	9973	9959	100.0	5	21.2	4.2	-1	tblastx:e1e1
2	785	835	7755	7705	35.294	17	21.2	4.2	-2	tblastx:e1e1
2	1605	1558	26871	26918	43.75	16	21.2	4.2	3	tblastx:e1e1
2	879	938	2513	2572	35.0	20	20.8	5.8	2	tblastx:e1e1
2	395	460	24119	24054	36.364	22	20.8	5.8	-3	tblastx:e1e1
2	327	365	9606	9644	46.154	13	20.8	5.8	3	tblastx:e1e1
2	1056	1082	18785	18759	66.667	9	20.8	5.8	-3	tblastx:e1e1
2	737	778	17096	17055	35.714	14	20.8	5.8	-3	tblastx:e1e1
2	360	383	12439	12462	75.0	8	20.8	5.8	1	tblastx:e1e1
2	428	448	10980	10960	71.429	7	20.8	5.8	-2	tblastx:e1e1
