method	exon_index	sstart	send	reason	detail
blastn	1	1371	1385	basic	len/pident 15/93.333
blastn	1	1969	1980	basic	len/pident 12/100.0
blastn	1	2662	2651	basic	len/pident 12/100.0
blastn	1	5139	5128	basic	len/pident 12/100.0
blastn	1	5802	5818	basic	len/pident 17/88.235
blastn	1	8035	8051	basic	len/pident 17/88.235
blastn	1	11204	11215	basic	len/pident 12/100.0
blastn	1	14195	14211	basic	len/pident 17/88.235
blastn	1	14482	14466	basic	len/pident 17/88.235
blastn	1	19952	19963	basic	len/pident 12/100.0
blastn	1	2499	2486	basic	len/pident 14/92.857
blastn	1	2708	2695	basic	len/pident 14/92.857
blastn	1	11263	11276	basic	len/pident 14/92.857
blastn	1	4762	4747	basic	len/pident 16/87.5
blastn	1	5910	5900	basic	len/pident 11/100.0
blastn	1	6015	6005	basic	len/pident 11/100.0
blastn	1	11507	11517	basic	len/pident 11/100.0
blastn	1	14843	14828	basic	len/pident 16/87.5
blastn	1	15317	15307	basic	len/pident 11/100.0
blastn	1	15889	15879	basic	len/pident 11/100.0
blastn	1	16160	16145	basic	len/pident 16/87.5
blastn	1	16341	16331	basic	len/pident 11/100.0
blastn	1	19731	19721	basic	len/pident 11/100.0
blastn	2	13463	13448	basic	len/pident 16/100.0
blastn	2	3710	3725	basic	len/pident 17/94.118
blastn	2	13030	13043	basic	len/pident 14/100.0
blastn	2	14011	14024	basic	len/pident 14/100.0
blastn	2	5237	5222	basic	len/pident 16/93.75
blastn	2	5237	5222	basic	len/pident 16/93.75
blastn	2	16923	16938	basic	len/pident 16/93.75
blastn	2	18942	18957	basic	len/pident 16/93.75
blastn	2	4307	4319	basic	len/pident 13/100.0
blastn	2	7868	7880	basic	len/pident 13/100.0
blastn	2	15830	15816	basic	len/pident 16/93.75
blastn	2	18331	18343	basic	len/pident 13/100.0
blastn	2	1414	1400	basic	len/pident 15/93.333
blastn	2	3369	3355	basic	len/pident 15/93.333
blastn	2	4662	4676	basic	len/pident 15/93.333
blastn	2	4999	4985	basic	len/pident 15/93.333
blastn	2	7154	7140	basic	len/pident 15/93.333
blastn	2	9545	9531	basic	len/pident 15/93.333
blastn	2	10972	10986	basic	len/pident 15/93.333
blastn	2	11384	11370	basic	len/pident 15/93.333
blastn	2	11901	11915	basic	len/pident 15/93.333
blastn	2	13811	13797	basic	len/pident 15/93.333
blastn	2	15113	15099	basic	len/pident 15/93.333
blastn	2	15657	15643	basic	len/pident 15/93.333
blastn	2	18283	18269	basic	len/pident 15/93.333
blastn	2	238	222	basic	len/pident 17/88.235
blastn	2	384	395	basic	len/pident 12/100.0
blastn	2	806	790	basic	len/pident 17/88.235
blastn	2	1492	1503	basic	len/pident 12/100.0
blastn	2	1588	1577	basic	len/pident 12/100.0
blastn	2	1723	1734	basic	len/pident 12/100.0
blastn	2	1929	1940	basic	len/pident 12/100.0
blastn	2	2475	2491	basic	len/pident 17/88.235
blastn	2	2901	2885	basic	len/pident 17/88.235
blastn	2	3108	3119	basic	len/pident 12/100.0
blastn	2	3663	3652	basic	len/pident 12/100.0
blastn	2	3810	3799	basic	len/pident 12/100.0
blastn	2	3925	3914	basic	len/pident 12/100.0
blastn	2	4665	4654	basic	len/pident 12/100.0
blastn	2	4741	4730	basic	len/pident 12/100.0
blastn	2	5273	5262	basic	len/pident 12/100.0
blastn	2	6734	6745	basic	len/pident 12/100.0
blastn	2	7463	7452	basic	len/pident 12/100.0
blastn	2	7463	7452	basic	len/pident 12/100.0
blastn	2	8077	8093	basic	len/pident 17/88.235
blastn	2	11342	11353	basic	len/pident 12/100.0
blastn	2	13056	13045	basic	len/pident 12/100.0
blastn	2	13640	13629	basic	len/pident 12/100.0
blastn	2	14086	14075	basic	len/pident 12/100.0
blastn	2	14170	14181	basic	len/pident 12/100.0
blastn	2	14350	14339	basic	len/pident 12/100.0
blastn	2	14626	14615	basic	len/pident 12/100.0
blastn	2	15776	15792	basic	len/pident 17/88.235
blastn	2	15819	15830	basic	len/pident 12/100.0
blastn	2	15820	15831	basic	len/pident 12/100.0
blastn	2	17099	17083	basic	len/pident 17/88.235
blastn	2	17574	17563	basic	len/pident 12/100.0
blastn	2	19963	19979	basic	len/pident 17/88.235
blastn	2	20321	20310	basic	len/pident 12/100.0
blastn	2	20726	20742	basic	len/pident 17/88.235
blastn	3	13583	13598	basic	len/pident 16/93.75
blastn	3	13412	13424	basic	len/pident 13/100.0
blastn	3	10700	10686	basic	len/pident 15/93.333
blastn	3	7322	7333	basic	len/pident 12/100.0
blastn	3	8447	8463	basic	len/pident 17/88.235
blastn	3	16726	16715	basic	len/pident 12/100.0
blastn	3	17019	17008	basic	len/pident 12/100.0
blastn	3	17814	17803	basic	len/pident 12/100.0
blastn	3	1119	1106	basic	len/pident 14/92.857
blastn	3	6640	6653	basic	len/pident 14/92.857
blastn	3	7438	7423	basic	len/pident 17/88.235
blastn	3	8232	8219	basic	len/pident 14/92.857
blastn	3	19585	19598	basic	len/pident 14/92.857
blastn	3	21212	21196	basic	len/pident 17/88.235
blastn	3	3295	3285	basic	len/pident 11/100.0
blastn	3	3810	3820	basic	len/pident 11/100.0
blastn	3	3980	3970	basic	len/pident 11/100.0
blastn	3	5669	5679	basic	len/pident 11/100.0
blastn	3	6845	6835	basic	len/pident 11/100.0
blastn	3	8866	8856	basic	len/pident 11/100.0
blastn	3	9757	9747	basic	len/pident 11/100.0
blastn	3	10776	10761	basic	len/pident 16/87.5
blastn	3	12089	12099	basic	len/pident 11/100.0
blastn	3	12146	12161	basic	len/pident 16/87.5
blastn	3	13395	13410	basic	len/pident 16/87.5
blastn	3	13983	13993	basic	len/pident 11/100.0
blastn	3	14468	14483	basic	len/pident 16/87.5
blastn	1	1969	1980	basic	len/pident 12/100.0
blastn	1	2662	2651	basic	len/pident 12/100.0
blastn	1	5139	5128	basic	len/pident 12/100.0
blastn	1	5802	5818	basic	len/pident 17/88.235
blastn	1	8035	8051	basic	len/pident 17/88.235
blastn	1	11204	11215	basic	len/pident 12/100.0
blastn	1	19952	19963	basic	len/pident 12/100.0
blastn	1	2499	2486	basic	len/pident 14/92.857
blastn	1	2708	2695	basic	len/pident 14/92.857
blastn	1	11263	11276	basic	len/pident 14/92.857
blastn	1	5910	5900	basic	len/pident 11/100.0
blastn	1	6015	6005	basic	len/pident 11/100.0
blastn	1	11507	11517	basic	len/pident 11/100.0
