metric	value
hits:exon->CDS	12
hits:exon->exon	4
hits:exon->intron	163
copies:exon_to_intron_total	153
copies:exon_01_(2001-2803)	21
copies:exon_02_(3394-3486)	10
copies:exon_03_(5352-5447)	17
copies:exon_04_(5524-5649)	22
copies:exon_05_(6146-6274)	12
copies:exon_06_(6903-6979)	41
copies:exon_07_(11194-11287)	14
copies:exon_08_(16275-16453)	16
intron:total_raw_exon_to_intron_hits	151
intron:total_clustered_copies	118
intron_01_(1-2000):raw_hits	15
intron_01_(1-2000):clustered_copies	12
intron_02_(2804-3393):raw_hits	2
intron_02_(2804-3393):clustered_copies	2
intron_03_(3487-5351):raw_hits	17
intron_03_(3487-5351):clustered_copies	12
intron_04_(5448-5523):raw_hits	3
intron_04_(5448-5523):clustered_copies	2
intron_05_(5650-6145):raw_hits	2
intron_05_(5650-6145):clustered_copies	2
intron_06_(6275-6902):raw_hits	7
intron_06_(6275-6902):clustered_copies	6
intron_07_(6980-11193):raw_hits	29
intron_07_(6980-11193):clustered_copies	26
intron_08_(11288-16274):raw_hits	54
intron_08_(11288-16274):clustered_copies	38
intron_09_(16454-18453):raw_hits	22
intron_09_(16454-18453):clustered_copies	18
