metric	value
hits:exon->CDS	12
hits:exon->exon	33
hits:exon->intron	190
copies:exon_to_intron_total	174
copies:exon_01_(2001-2860)	27
copies:exon_02_(3422-5149)	24
copies:exon_03_(5316-8979)	37
copies:exon_04_(9677-9761)	8
copies:exon_05_(10226-10384)	14
copies:exon_06_(10909-11241)	12
copies:exon_07_(14113-14266)	8
copies:exon_08_(14593-14717)	2
copies:exon_09_(18916-19007)	18
copies:exon_10_(19398-19560)	16
copies:exon_11_(26374-26564)	8
intron:total_raw_exon_to_intron_hits	160
intron:total_clustered_copies	123
intron_01_(1-2000):raw_hits	10
intron_01_(1-2000):clustered_copies	8
intron_02_(2861-3421):raw_hits	2
intron_02_(2861-3421):clustered_copies	2
intron_03_(5150-5315):raw_hits	0
intron_03_(5150-5315):clustered_copies	0
intron_04_(8980-9676):raw_hits	10
intron_04_(8980-9676):clustered_copies	9
intron_05_(9762-10225):raw_hits	5
intron_05_(9762-10225):clustered_copies	3
intron_06_(10385-10908):raw_hits	6
intron_06_(10385-10908):clustered_copies	3
intron_07_(11242-14112):raw_hits	32
intron_07_(11242-14112):clustered_copies	21
intron_08_(14267-14592):raw_hits	2
intron_08_(14267-14592):clustered_copies	2
intron_09_(14718-18915):raw_hits	29
intron_09_(14718-18915):clustered_copies	23
intron_10_(19008-19397):raw_hits	1
intron_10_(19008-19397):clustered_copies	1
intron_11_(19561-26373):raw_hits	48
intron_11_(19561-26373):clustered_copies	38
intron_12_(26565-28564):raw_hits	15
intron_12_(26565-28564):clustered_copies	13
