exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	2	1003	2002	3003	100.0	334	830.0	0.0	1	tblastx:e1e1
1	1002	1	3002	2001	100.0	334	796.0	0.0	-2	tblastx:e1e1
1	1003	2	3003	2002	100.0	334	796.0	0.0	-1	tblastx:e1e1
1	3	1004	2003	3004	100.0	334	795.0	0.0	2	tblastx:e1e1
1	1004	3	3004	2003	100.0	334	789.0	0.0	-3	tblastx:e1e1
1	1	1002	2001	3002	100.0	334	778.0	0.0	3	tblastx:e1e1
1	941	985	19097	19053	66.667	15	25.8	0.071	-2	tblastx:e1e1
1	451	504	18229	18282	44.444	18	24.4	0.12	1	tblastx:e1e1
1	307	357	13071	13121	58.824	17	23.5	0.12	3	tblastx:e1e1
1	132	212	618	698	33.333	27	21.2	0.12	3	tblastx:e1e1
1	878	997	19022	19141	32.5	40	19.9	0.12	2	tblastx:e1e1
1	350	388	17063	17101	38.462	13	19.4	0.12	2	tblastx:e1e1
1	732	785	18905	18958	44.444	18	18.9	0.12	2	tblastx:e1e1
1	217	240	3360	3383	75.0	8	18.5	0.12	3	tblastx:e1e1
1	476	432	18023	18067	46.667	15	21.2	0.27	2	tblastx:e1e1
1	419	375	18116	18160	40.0	15	18.0	0.27	2	tblastx:e1e1
1	881	852	9945	9916	70.0	10	23.5	0.34	-1	tblastx:e1e1
1	434	396	4270	4232	61.538	13	22.6	0.34	-3	tblastx:e1e1
1	669	646	6973	6950	75.0	8	21.7	0.34	-3	tblastx:e1e1
1	978	928	18778	18728	41.176	17	19.4	0.34	-3	tblastx:e1e1
1	416	457	18850	18809	71.429	14	22.6	0.66	-3	tblastx:e1e1
1	312	350	10892	10930	53.846	13	22.6	0.66	2	tblastx:e1e1
1	794	835	17104	17063	57.143	14	22.1	0.91	-3	tblastx:e1e1
1	984	955	19054	19083	80.0	10	22.1	0.91	1	tblastx:e1e1
1	661	599	12873	12811	38.095	21	18.9	0.92	-1	tblastx:e1e1
1	706	635	13041	12970	37.5	24	18.0	0.92	-1	tblastx:e1e1
1	82	14	15669	15737	30.435	23	21.7	1.2	3	tblastx:e1e1
1	725	745	7921	7901	85.714	7	21.2	1.7	-3	tblastx:e1e1
1	921	892	16163	16192	60.0	10	21.2	1.7	2	tblastx:e1e1
1	881	822	2276	2335	35.0	20	20.8	2.3	2	tblastx:e1e1
1	276	335	2881	2822	35.0	20	20.8	2.3	-3	tblastx:e1e1
1	502	446	14261	14205	42.105	19	20.3	3.2	-2	tblastx:e1e1
1	502	576	8178	8104	32.0	25	20.3	3.2	-1	tblastx:e1e1
1	695	657	18987	18949	61.538	13	19.9	4.4	-1	tblastx:e1e1
1	409	380	18865	18836	60.0	10	19.9	4.4	-3	tblastx:e1e1
1	434	363	17137	17066	37.5	24	19.9	4.4	-3	tblastx:e1e1
1	493	555	11900	11838	28.571	21	19.9	4.4	-2	tblastx:e1e1
1	706	671	14430	14465	50.0	12	19.9	4.4	3	tblastx:e1e1
1	902	940	5903	5865	46.154	13	19.9	4.4	-2	tblastx:e1e1
1	911	1003	18666	18758	38.71	31	19.9	4.4	3	tblastx:e1e1
1	113	57	1462	1518	47.368	19	19.4	6.1	1	tblastx:e1e1
1	335	373	17681	17643	53.846	13	19.4	6.1	-2	tblastx:e1e1
1	411	376	3704	3739	50.0	12	19.4	6.1	2	tblastx:e1e1
1	970	944	8119	8145	66.667	9	19.4	6.1	1	tblastx:e1e1
1	812	841	12302	12273	50.0	10	19.4	6.1	-2	tblastx:e1e1
1	908	928	16427	16447	71.429	7	19.4	6.1	2	tblastx:e1e1
1	425	360	1126	1061	36.364	22	19.4	6.1	-3	tblastx:e1e1
1	328	399	19589	19660	41.667	24	19.4	6.1	2	tblastx:e1e1
1	914	952	191	153	53.846	13	19.4	6.1	-2	tblastx:e1e1
1	432	379	165	218	50.0	18	18.9	8.4	3	tblastx:e1e1
1	726	706	2704	2724	71.429	7	18.9	8.4	1	tblastx:e1e1
1	343	302	17248	17207	42.857	14	18.9	8.4	-3	tblastx:e1e1
1	341	361	14382	14362	85.714	7	18.9	8.4	-1	tblastx:e1e1
1	865	909	12606	12562	33.333	15	18.9	8.4	-1	tblastx:e1e1
1	356	400	6515	6471	26.667	15	18.9	8.4	-2	tblastx:e1e1
1	977	1000	6503	6480	50.0	8	18.9	8.4	-2	tblastx:e1e1
1	704	724	2726	2706	71.429	7	18.9	8.4	-2	tblastx:e1e1
1	180	157	19945	19968	75.0	8	18.9	8.4	1	tblastx:e1e1
2	81	1	3902	3822	100.0	27	77.6	5.45e-19	-2	tblastx:e1e1
2	1	81	3822	3902	100.0	27	73.9	6.91e-18	3	tblastx:e1e1
2	80	3	3901	3824	100.0	26	70.3	8.77e-17	-3	tblastx:e1e1
2	2	82	3823	3903	100.0	27	66.1	1.53e-15	1	tblastx:e1e1
2	3	80	3824	3901	100.0	26	61.1	5.03e-14	2	tblastx:e1e1
2	82	2	3903	3823	100.0	27	60.6	6.91e-14	-1	tblastx:e1e1
2	40	81	6547	6506	42.857	14	19.4	0.18	-3	tblastx:e1e1
2	74	48	17290	17264	55.556	9	18.9	0.25	-3	tblastx:e1e1
2	57	25	4731	4763	54.545	11	17.6	0.64	3	tblastx:e1e1
2	36	80	5261	5305	40.0	15	17.1	0.88	2	tblastx:e1e1
2	40	54	9692	9706	80.0	5	16.6	1.2	2	tblastx:e1e1
2	28	54	13573	13599	55.556	9	16.2	1.7	1	tblastx:e1e1
2	19	51	1712	1744	45.455	11	15.7	2.3	2	tblastx:e1e1
2	46	63	16588	16605	66.667	6	15.7	2.3	1	tblastx:e1e1
2	66	10	19451	19395	36.842	19	15.3	3.1	-2	tblastx:e1e1
2	74	60	6662	6676	80.0	5	15.3	3.1	2	tblastx:e1e1
2	37	75	9852	9890	38.462	13	15.3	3.1	3	tblastx:e1e1
2	37	78	18963	18922	35.714	14	14.8	4.3	-1	tblastx:e1e1
2	78	40	18068	18030	30.769	13	14.4	5.9	-2	tblastx:e1e1
2	80	60	14226	14246	57.143	7	14.4	5.9	3	tblastx:e1e1
2	57	10	4479	4526	31.25	16	13.9	8.1	3	tblastx:e1e1
3	1	228	5582	5809	100.0	76	199.0	8.98e-55	2	tblastx:e1e1
3	227	3	5808	5584	100.0	75	194.0	2.15e-53	-1	tblastx:e1e1
3	229	2	5810	5583	100.0	76	188.0	9.72e-52	-2	tblastx:e1e1
3	2	229	5583	5810	100.0	76	184.0	1.69e-50	3	tblastx:e1e1
3	228	1	5809	5582	100.0	76	184.0	2.33e-50	-3	tblastx:e1e1
3	3	227	5584	5808	100.0	75	183.0	3.2e-50	1	tblastx:e1e1
3	81	19	15386	15448	38.095	21	22.6	0.11	2	tblastx:e1e1
3	76	183	1543	1436	27.778	36	22.1	0.16	-3	tblastx:e1e1
3	194	126	17336	17268	30.435	23	21.7	0.24	-2	tblastx:e1e1
3	93	55	17263	17225	46.154	13	15.3	0.24	-3	tblastx:e1e1
3	168	100	18748	18680	34.783	23	20.8	0.41	-3	tblastx:e1e1
3	85	123	6305	6343	30.769	13	19.9	0.77	2	tblastx:e1e1
3	87	37	12629	12579	47.059	17	19.9	0.77	-2	tblastx:e1e1
3	130	168	19097	19135	38.462	13	17.1	1.0	2	tblastx:e1e1
3	167	181	19133	19147	80.0	5	17.1	1.0	2	tblastx:e1e1
3	54	16	535	573	61.538	13	19.4	1.1	1	tblastx:e1e1
3	73	96	19671	19648	62.5	8	19.4	1.1	-1	tblastx:e1e1
3	226	161	12223	12158	40.909	22	19.4	1.1	-3	tblastx:e1e1
3	129	94	6391	6356	50.0	12	18.9	1.5	-3	tblastx:e1e1
3	79	117	5819	5781	38.462	13	16.6	1.6	-2	tblastx:e1e1
3	148	165	5744	5727	66.667	6	16.6	1.6	-2	tblastx:e1e1
3	60	22	6152	6190	38.462	13	18.5	2.0	2	tblastx:e1e1
3	96	79	10328	10311	66.667	6	18.5	2.0	-2	tblastx:e1e1
3	45	22	16208	16231	75.0	8	18.5	2.0	2	tblastx:e1e1
3	152	129	19032	19009	75.0	8	18.0	2.7	-1	tblastx:e1e1
3	76	156	2866	2946	22.222	27	18.0	2.7	1	tblastx:e1e1
3	99	79	1764	1784	42.857	7	17.6	3.8	3	tblastx:e1e1
3	108	43	6905	6840	31.818	22	17.6	3.8	-2	tblastx:e1e1
3	12	62	15894	15944	35.294	17	17.6	3.8	3	tblastx:e1e1
3	136	222	3266	3352	31.034	29	17.1	5.2	2	tblastx:e1e1
3	45	7	15367	15329	38.462	13	17.1	5.2	-3	tblastx:e1e1
3	96	76	11046	11026	57.143	7	17.1	5.2	-1	tblastx:e1e1
3	87	149	9685	9747	28.571	21	17.1	5.2	1	tblastx:e1e1
3	117	58	19592	19651	30.0	20	17.1	5.2	2	tblastx:e1e1
3	139	119	9036	9016	57.143	7	15.3	5.8	-1	tblastx:e1e1
3	105	85	8928	8908	57.143	7	15.3	5.8	-1	tblastx:e1e1
3	91	111	18032	18012	71.429	7	16.6	7.1	-2	tblastx:e1e1
3	108	67	16132	16091	42.857	14	16.6	7.1	-3	tblastx:e1e1
3	163	146	5729	5746	66.667	6	16.6	7.1	2	tblastx:e1e1
3	124	62	10716	10654	33.333	21	16.6	7.1	-1	tblastx:e1e1
3	36	98	9761	9699	33.333	21	16.6	7.1	-2	tblastx:e1e1
3	40	66	13531	13557	44.444	9	16.6	7.1	1	tblastx:e1e1
3	139	183	19118	19162	40.0	15	16.6	7.1	2	tblastx:e1e1
3	61	78	1303	1286	83.333	6	16.6	7.1	-3	tblastx:e1e1
3	102	46	181	237	36.842	19	16.2	9.7	1	tblastx:e1e1
3	77	57	1287	1307	71.429	7	16.2	9.7	3	tblastx:e1e1
3	32	115	18485	18402	35.714	28	16.2	9.7	-2	tblastx:e1e1
3	138	55	18177	18094	32.143	28	16.2	9.7	-1	tblastx:e1e1
3	82	99	4470	4487	83.333	6	16.2	9.7	3	tblastx:e1e1
3	46	72	4855	4881	55.556	9	16.2	9.7	1	tblastx:e1e1
3	87	25	14535	14473	23.81	21	16.2	9.7	-1	tblastx:e1e1
3	73	126	7339	7392	38.889	18	16.2	9.7	1	tblastx:e1e1
3	81	101	6974	6954	100.0	7	16.2	9.7	-2	tblastx:e1e1
3	196	158	6154	6116	53.846	13	16.2	9.7	-3	tblastx:e1e1
3	148	183	5883	5848	41.667	12	16.2	9.7	-1	tblastx:e1e1
3	177	106	18073	18144	29.167	24	16.2	9.7	1	tblastx:e1e1
3	72	37	1658	1623	50.0	12	16.2	9.7	-2	tblastx:e1e1
4	96	1	7889	7794	100.0	32	85.8	2.39e-21	-2	tblastx:e1e1
4	3	95	7796	7888	100.0	31	81.3	5.72e-20	2	tblastx:e1e1
4	1	96	7794	7889	100.0	32	76.2	1.88e-18	3	tblastx:e1e1
4	95	3	7888	7796	100.0	31	75.8	2.59e-18	-3	tblastx:e1e1
4	97	2	7890	7795	100.0	32	73.9	9.21e-18	-1	tblastx:e1e1
4	2	97	7795	7890	100.0	32	70.7	8.51e-17	1	tblastx:e1e1
4	50	12	1954	1992	38.462	13	19.4	0.24	1	tblastx:e1e1
4	68	9	18132	18073	35.0	20	18.9	0.33	-1	tblastx:e1e1
4	60	34	15370	15344	55.556	9	18.9	0.33	-3	tblastx:e1e1
4	48	28	7529	7549	57.143	7	17.6	0.85	2	tblastx:e1e1
4	74	36	880	918	46.154	13	17.1	1.4	1	tblastx:e1e1
4	43	17	970	996	55.556	9	14.4	1.4	1	tblastx:e1e1
4	68	45	4064	4087	50.0	8	16.6	1.6	2	tblastx:e1e1
4	46	93	15768	15721	37.5	16	16.6	1.6	-1	tblastx:e1e1
4	41	27	6745	6759	100.0	5	15.3	4.2	1	tblastx:e1e1
4	56	30	8612	8638	44.444	9	15.3	4.2	2	tblastx:e1e1
4	48	25	12781	12804	50.0	8	15.3	4.2	1	tblastx:e1e1
4	42	13	381	410	40.0	10	14.8	5.7	3	tblastx:e1e1
4	35	52	3636	3653	50.0	6	14.8	5.7	3	tblastx:e1e1
5	136	2	10598	10464	100.0	45	116.0	1.99e-30	-2	tblastx:e1e1
5	1	135	10463	10597	100.0	45	109.0	3.08e-28	2	tblastx:e1e1
5	2	136	10464	10598	100.0	45	105.0	3.9e-27	3	tblastx:e1e1
5	135	1	10597	10463	100.0	45	105.0	4.07e-27	-3	tblastx:e1e1
5	3	134	10465	10596	100.0	44	101.0	9.35e-26	1	tblastx:e1e1
5	134	3	10596	10465	100.0	44	100.0	1.34e-25	-1	tblastx:e1e1
5	120	82	16396	16358	46.154	13	19.9	0.35	-3	tblastx:e1e1
5	2	43	11121	11162	50.0	14	18.9	0.63	3	tblastx:e1e1
5	63	101	9711	9749	46.154	13	18.5	0.86	3	tblastx:e1e1
5	47	33	4909	4923	80.0	5	17.6	1.7	1	tblastx:e1e1
5	4	33	3567	3596	50.0	10	16.2	4.2	3	tblastx:e1e1
5	111	131	15765	15745	71.429	7	15.7	5.8	-1	tblastx:e1e1
5	61	11	8444	8494	29.412	17	15.7	6.1	2	tblastx:e1e1
5	85	20	8811	8876	31.818	22	15.7	6.1	3	tblastx:e1e1
5	24	7	13132	13149	83.333	6	15.7	6.1	1	tblastx:e1e1
5	4	18	7958	7972	80.0	5	15.3	8.0	2	tblastx:e1e1
5	99	119	1243	1223	71.429	7	15.3	8.0	-3	tblastx:e1e1
5	55	29	7127	7153	44.444	9	15.3	8.3	2	tblastx:e1e1
6	144	1	11370	11227	100.0	48	121.0	1.33e-31	-1	tblastx:e1e1
6	2	145	11228	11371	100.0	48	117.0	1.63e-30	2	tblastx:e1e1
6	3	146	11229	11372	100.0	48	111.0	1.39e-28	3	tblastx:e1e1
6	145	2	11371	11228	100.0	48	110.0	2.63e-28	-3	tblastx:e1e1
