exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	112	110	69.565	69	24.4	0.092	blastn,tblastx	114.5
1	1260	1219	79.31	29	22.2	0.26	blastn,tblastx	1248.0
1	1344	1294	83.333	39	21.7	0.075	blastn,tblastx	1320.5
1	2002	2188	100.0	189	283.0	4.8e-80	blastn,tblastx	2094.5
1	3008	2944	75.758	33	20.7	0.72	blastn,tblastx	2973.0
1	3058	2968	68.605	86	27.4	0.002	blastn,tblastx	3013.5
1	3046	3066	78.947	38	28.8	0.021	blastn,tblastx	3055.5
1	3302	3288	66.667	63	18.0	0.78	blastn,tblastx	3294.75
1	3611	3584	75.0	40	22.9	0.26	blastn,tblastx	3609.0
1	3824	3798	76.0	26	18.0	4.8	blastn,tblastx	3811.0
1	4636	4570	88.889	39	22.2	0.032	blastn,tblastx	4595.5
1	4809	4846	76.923	26	22.6	6.46e-05	blastn,tblastx	4820.5
1	5641	5622	84.211	19	19.9	2.0	blastn,tblastx	5631.5
1	5965	6016	70.588	51	21.4	0.72	blastn,tblastx	5991.5
1	6297	6268	83.333	27	23.6	0.092	blastn,tblastx	6291.5
1	6404	6451	75.61	41	26.6	0.012	blastn,tblastx	6418.5
1	6742	6666	65.741	108	18.9	0.41	blastn,tblastx	6692.0
1	6975	6913	67.164	67	19.9	2.0	blastn,tblastx	6944.0
1	7140	7166	71.429	35	25.4	0.009	blastn,tblastx	7144.25
2	1362	1428	83.333	38	22.2	1.2	blastn,tblastx	1396.5
2	2276	2302	83.333	25	22.2	1.3	blastn,tblastx	2301.25
2	4472	4539	69.767	43	24.4	0.002	blastn,tblastx	4506.5
2	5001	5002	100.0	857	1276.0	0.0	blastn,tblastx	5002.0
2	5480	5548	70.175	57	21.4	3.7	blastn,tblastx	5507.5
2	6774	6832	68.657	67	22.1	0.31	blastn,tblastx	6795.0
