exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	43	2001	2043	100.0	43	exon	CDS
1	2	35	1945	1907	75.0	40	exon	intron
1	2	40	1690	1725	73.171	41	exon	intron
1	1	21	2107	2133	74.074	27	exon	intron
1	2	35	1446	1476	68.571	35	exon	intron
1	1	21	1967	1984	76.19	21	exon	intron
1	3	36	2250	2279	70.588	34	exon	intron
1	24	41	4464	4483	75.0	20	exon	CDS
2	1	146	2704	2849	100.0	146	exon	CDS
2	65	97	5459	5429	75.758	33	exon	intron
2	87	145	13709	13643	67.164	67	exon	intron
2	40	88	13527	13577	69.091	55	exon	intron
2	105	140	7964	8003	70.732	41	exon	intron
2	42	66	808	783	76.923	26	exon	intron
2	119	139	7059	7078	80.952	21	exon	intron
2	38	55	11914	11897	83.333	18	exon	intron
2	91	119	12799	12770	74.194	31	exon	intron
2	87	104	8679	8660	80.0	20	exon	intron
2	98	114	8791	8808	83.333	18	exon	exon
2	48	69	11726	11701	76.923	26	exon	intron
2	13	33	6793	6816	75.0	24	exon	intron
2	6	27	9989	10010	77.273	22	exon	exon
2	44	83	9484	9530	66.0	50	exon	exon
2	48	68	10863	10842	77.273	22	exon	intron
2	8	24	11492	11511	80.0	20	exon	exon
3	1	672	3811	4482	100.0	672	exon	CDS
3	624	647	11540	11519	87.5	24	exon	intron
3	206	229	1464	1490	81.481	27	exon	intron
3	185	277	10823	10726	66.667	105	exon	intron
3	178	210	7472	7439	75.0	36	exon	intron
3	137	164	9318	9348	77.419	31	exon	exon
3	364	388	12962	12987	80.769	26	exon	intron
3	146	171	3385	3414	77.419	31	exon	intron
3	236	252	4800	4783	88.889	18	exon	intron
3	460	480	7117	7094	83.333	24	exon	intron
3	455	472	10703	10687	88.889	18	exon	intron
3	445	485	10983	10944	72.093	43	exon	intron
3	366	400	3302	3262	71.429	42	exon	intron
3	280	301	7535	7514	81.818	22	exon	intron
3	118	142	8836	8814	80.0	25	exon	intron
3	13	46	12293	12253	70.732	41	exon	intron
3	280	300	12733	12754	81.818	22	exon	intron
3	651	671	3746	3766	80.952	21	exon	intron
3	549	566	4881	4863	84.211	19	exon	intron
3	12	30	11385	11368	84.211	19	exon	intron
3	249	266	3684	3663	77.273	22	exon	intron
3	247	266	4512	4532	80.952	21	exon	intron
3	21	43	4799	4779	78.261	23	exon	intron
3	180	200	5753	5736	80.952	21	exon	intron
3	419	440	6947	6923	76.0	25	exon	intron
3	225	249	887	863	76.923	26	exon	intron
3	254	276	5639	5663	76.0	25	exon	intron
4	1	147	5777	5923	100.0	147	exon	CDS
4	86	103	6892	6875	84.211	19	exon	intron
4	12	38	7600	7627	75.862	29	exon	intron
4	86	106	11966	11948	80.952	21	exon	intron
4	61	82	712	691	77.273	22	exon	intron
4	131	147	6778	6762	83.333	18	exon	intron
4	24	42	13755	13736	80.0	20	exon	intron
5	1	130	7447	7576	100.0	130	exon	CDS
5	68	89	4111	4090	81.818	22	exon	intron
5	56	80	115	96	76.0	25	exon	intron
5	7	23	3847	3865	84.211	19	exon	CDS
5	1	18	7833	7818	83.333	18	exon	intron
5	96	114	10682	10667	78.947	19	exon	intron
5	68	106	13221	13259	70.0	40	exon	intron
5	63	81	136	156	76.19	21	exon	intron
5	8	42	6773	6810	68.293	41	exon	intron
6	1	3116	8645	11760	100.0	3116	exon	CDS
6	2793	2838	4552	4593	76.596	47	exon	intron
6	2868	2893	6489	6514	88.889	27	exon	intron
6	3096	3115	12766	12747	95.0	20	exon	intron
6	1859	1911	962	910	72.727	55	exon	intron
6	2875	2896	4457	4434	87.5	24	exon	intron
6	3092	3116	11761	11736	84.615	26	exon	intron
6	558	615	5750	5807	70.492	61	exon	CDS
6	1251	1281	9309	9335	80.645	31	exon	exon
6	665	691	9895	9925	80.645	31	exon	exon
6	1093	1122	8870	8839	78.788	33	exon	intron
6	195	226	9766	9737	78.788	33	exon	intron
6	2019	2039	10447	10425	86.957	23	exon	intron
6	1781	1803	10683	10663	86.957	23	exon	intron
6	185	203	7086	7104	89.474	19	exon	intron
6	2580	2603	7163	7140	83.333	24	exon	intron
6	529	554	12446	12419	79.31	29	exon	intron
6	1274	1299	13450	13421	80.0	30	exon	intron
6	1725	1756	3368	3395	78.125	32	exon	intron
6	2431	2450	3419	3397	82.609	23	exon	intron
6	1117	1135	7400	7417	89.474	19	exon	intron
6	2050	2080	9374	9341	77.143	35	exon	intron
6	697	730	10724	10694	77.143	35	exon	intron
6	2645	2677	8321	8353	76.471	34	exon	intron
6	3096	3113	12754	12771	88.889	18	exon	intron
6	2870	2912	3440	3477	72.727	44	exon	intron
6	2043	2059	4282	4265	88.889	18	exon	intron
6	3021	3045	4548	4524	80.0	25	exon	intron
6	1876	1900	5786	5764	80.769	26	exon	intron
6	560	586	6490	6517	78.571	28	exon	intron
6	993	1012	6903	6922	85.0	20	exon	intron
6	185	208	7229	7204	80.769	26	exon	intron
6	3074	3107	8984	8951	75.0	36	exon	intron
6	307	340	11751	11718	75.0	36	exon	intron
6	206	225	1631	1613	85.0	20	exon	intron
6	332	353	3532	3513	81.818	22	exon	intron
6	2811	2872	4455	4511	68.182	66	exon	CDS
6	2226	2247	7769	7748	81.818	22	exon	intron
6	2869	2890	9195	9214	81.818	22	exon	exon
6	551	570	11513	11534	81.818	22	exon	exon
6	2530	2552	12204	12184	82.609	23	exon	intron
6	2730	2776	12505	12458	70.588	51	exon	intron
6	871	899	6552	6579	74.194	31	exon	intron
6	1338	1377	6803	6841	71.429	42	exon	intron
6	2429	2445	6869	6851	84.211	19	exon	intron
6	498	515	8754	8773	85.0	20	exon	exon
6	110	129	9142	9159	85.0	20	exon	exon
6	800	818	9462	9444	84.211	19	exon	intron
6	2881	2904	9548	9567	79.167	24	exon	exon
6	904	923	11525	11548	79.167	24	exon	exon
6	2891	2916	2906	2931	76.923	26	exon	intron
6	565	583	3440	3460	80.952	21	exon	intron
6	558	578	6490	6510	80.952	21	exon	intron
6	559	579	6490	6510	80.952	21	exon	intron
