exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	221	3	2221	2003	100.0	73	191.0	3.84e-53	-2	tblastx:e1e1
1	3	221	2003	2221	100.0	73	190.0	7.24e-53	2	tblastx:e1e1
1	1	219	2001	2219	100.0	73	184.0	6.18e-51	3	tblastx:e1e1
1	219	1	2219	2001	100.0	73	181.0	4.16e-50	-1	tblastx:e1e1
1	220	2	2220	2002	100.0	73	178.0	2.79e-49	-3	tblastx:e1e1
1	2	220	2002	2220	100.0	73	172.0	2.38e-47	1	tblastx:e1e1
1	96	76	2819	2799	100.0	7	25.4	4.29e-06	-1	tblastx:e1e1
1	206	171	4141	4106	66.667	12	23.1	4.29e-06	-2	tblastx:e1e1
1	63	46	2566	2549	83.333	6	19.9	4.29e-06	-2	tblastx:e1e1
1	184	149	3166	3131	58.333	12	19.4	4.29e-06	-2	tblastx:e1e1
1	56	9	1001	954	37.5	16	17.1	4.29e-06	-1	tblastx:e1e1
1	151	122	3105	3076	50.0	10	15.7	4.29e-06	-3	tblastx:e1e1
1	125	90	2848	2813	50.0	12	14.8	4.29e-06	-2	tblastx:e1e1
1	85	180	3819	3914	43.75	32	29.5	0.000226	3	tblastx:e1e1
1	177	191	4016	4030	80.0	5	17.1	0.000226	2	tblastx:e1e1
1	155	105	3898	3848	52.941	17	24.9	0.000586	-2	tblastx:e1e1
1	66	31	2062	2027	50.0	12	22.1	0.000586	-2	tblastx:e1e1
1	197	174	4684	4661	75.0	8	19.9	0.000586	-2	tblastx:e1e1
1	176	138	4476	4438	46.154	13	17.1	0.000586	-3	tblastx:e1e1
1	31	2	410	381	50.0	10	14.4	0.000586	-1	tblastx:e1e1
1	111	91	2953	2933	42.857	7	13.4	0.000586	-2	tblastx:e1e1
1	81	128	828	781	43.75	16	23.1	0.00072	-3	tblastx:e1e1
1	129	194	773	708	45.455	22	21.7	0.00072	-1	tblastx:e1e1
1	203	135	1010	942	47.826	23	27.6	0.001	-1	tblastx:e1e1
1	179	84	3913	3818	43.75	32	27.2	0.001	-2	tblastx:e1e1
1	56	6	2871	2821	41.176	17	18.0	0.001	-3	tblastx:e1e1
1	206	162	5487	5443	46.667	15	17.6	0.001	-3	tblastx:e1e1
1	90	37	3460	3407	38.889	18	17.6	0.001	-2	tblastx:e1e1
1	197	174	510	533	75.0	8	20.8	0.002	3	tblastx:e1e1
1	152	90	1897	1959	33.333	21	19.4	0.002	1	tblastx:e1e1
1	68	33	3935	3970	50.0	12	18.5	0.002	2	tblastx:e1e1
1	184	131	973	1026	38.889	18	18.0	0.002	1	tblastx:e1e1
1	93	79	3236	3250	80.0	5	16.6	0.002	2	tblastx:e1e1
1	41	24	4616	4633	66.667	6	16.6	0.002	2	tblastx:e1e1
1	197	108	3865	3776	43.333	30	29.5	0.002	-2	tblastx:e1e1
1	62	27	2066	2031	50.0	12	22.1	0.002	-1	tblastx:e1e1
1	121	104	3096	3079	66.667	6	14.4	0.002	-3	tblastx:e1e1
1	214	188	4356	4330	44.444	9	13.4	0.002	-3	tblastx:e1e1
1	215	156	194	135	50.0	20	24.9	0.007	-1	tblastx:e1e1
1	125	78	49	2	37.5	16	16.2	0.007	-2	tblastx:e1e1
1	194	105	3808	3719	43.333	30	26.7	0.009	-2	tblastx:e1e1
1	48	25	3598	3575	50.0	8	13.9	0.009	-2	tblastx:e1e1
1	26	199	733	906	25.862	58	24.0	0.012	1	tblastx:e1e1
1	167	93	3902	3976	40.0	25	24.0	0.012	2	tblastx:e1e1
1	203	129	437	363	40.0	25	24.0	0.012	-1	tblastx:e1e1
1	91	177	358	444	31.034	29	22.6	0.029	1	tblastx:e1e1
1	172	195	4107	4130	87.5	8	19.4	0.029	3	tblastx:e1e1
1	197	180	3737	3720	100.0	6	19.9	0.048	-1	tblastx:e1e1
1	128	108	3605	3585	71.429	7	18.0	0.048	-1	tblastx:e1e1
1	128	87	23	64	50.0	14	21.7	0.063	2	tblastx:e1e1
1	75	43	101	133	36.364	11	15.7	0.063	2	tblastx:e1e1
1	138	215	977	900	42.308	26	20.8	0.064	-1	tblastx:e1e1
1	79	108	1937	1908	70.0	10	18.5	0.064	-1	tblastx:e1e1
1	117	143	1244	1218	55.556	9	18.0	0.064	-1	tblastx:e1e1
1	197	153	924	968	46.667	15	20.3	0.067	3	tblastx:e1e1
1	93	61	1020	1052	36.364	11	17.1	0.067	3	tblastx:e1e1
1	49	17	1125	1157	54.545	11	14.4	0.067	3	tblastx:e1e1
