exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	1	120	2001	2120	100.0	40	97.3	2.07e-24	3	tblastx:e1e1
1	118	2	2118	2002	100.0	39	95.3	7.64e-24	-2	tblastx:e1e1
1	2	118	2002	2118	100.0	39	95.0	1.01e-23	1	tblastx:e1e1
1	119	3	2119	2003	100.0	39	90.9	1.67e-22	-1	tblastx:e1e1
1	3	119	2003	2119	100.0	39	90.4	2.43e-22	2	tblastx:e1e1
1	120	1	2120	2001	100.0	40	87.9	1.33e-21	-3	tblastx:e1e1
1	50	112	4479	4541	52.381	21	20.8	0.22	3	tblastx:e1e1
1	108	46	1505	1443	42.857	21	18.8	0.83	-3	tblastx:e1e1
1	80	97	1374	1357	83.333	6	18.5	1.1	-2	tblastx:e1e1
1	100	56	13319	13275	46.667	15	18.3	1.2	-3	tblastx:e1e1
1	28	81	1289	1236	33.333	18	18.0	1.5	-3	tblastx:e1e1
1	6	41	4517	4552	58.333	12	17.6	2.1	2	tblastx:e1e1
1	33	74	6886	6927	28.571	14	17.6	2.1	1	tblastx:e1e1
1	86	109	24344	24367	50.0	8	17.1	2.8	2	tblastx:e1e1
1	38	6	28104	28136	54.545	11	16.2	5.1	3	tblastx:e1e1
1	37	69	4890	4922	54.545	11	16.2	5.4	3	tblastx:e1e1
1	82	111	18820	18791	70.0	10	16.2	5.4	-1	tblastx:e1e1
1	88	120	29055	29087	45.455	11	16.2	5.4	3	tblastx:e1e1
1	7	60	20347	20294	44.444	18	15.7	7.4	-1	tblastx:e1e1
1	55	111	25770	25826	36.842	19	15.7	7.4	3	tblastx:e1e1
1	40	60	32441	32461	57.143	7	15.7	7.4	2	tblastx:e1e1
2	2	223	2252	2473	100.0	74	194.0	3.29e-53	2	tblastx:e1e1
2	223	2	2473	2252	100.0	74	193.0	6.09e-53	-1	tblastx:e1e1
2	221	3	2471	2253	100.0	73	191.0	2.98e-52	-3	tblastx:e1e1
2	1	222	2251	2472	100.0	74	190.0	4.18e-52	1	tblastx:e1e1
2	222	1	2472	2251	100.0	74	186.0	7.14e-51	-2	tblastx:e1e1
2	3	221	2253	2471	100.0	73	185.0	1.37e-50	3	tblastx:e1e1
2	86	118	15497	15465	63.636	11	22.1	0.24	-3	tblastx:e1e1
2	117	88	26736	26707	70.0	10	21.7	0.32	-2	tblastx:e1e1
2	40	75	26352	26317	50.0	12	20.8	0.62	-2	tblastx:e1e1
2	132	185	11497	11550	44.444	18	20.3	0.86	1	tblastx:e1e1
2	39	10	17752	17781	60.0	10	20.3	0.86	1	tblastx:e1e1
2	69	107	17068	17106	53.846	13	19.9	1.1	1	tblastx:e1e1
2	194	220	32287	32313	66.667	9	19.9	1.1	1	tblastx:e1e1
2	89	142	31686	31739	38.889	18	19.4	1.1	3	tblastx:e1e1
2	86	109	1278	1255	62.5	8	19.4	1.6	-2	tblastx:e1e1
2	187	170	31636	31653	100.0	6	18.9	2.2	1	tblastx:e1e1
2	222	160	28155	28093	47.619	21	18.5	3.0	-2	tblastx:e1e1
2	187	110	4565	4488	26.923	26	18.5	3.0	-3	tblastx:e1e1
2	129	106	1372	1395	62.5	8	18.5	3.1	1	tblastx:e1e1
2	118	180	1636	1574	38.095	21	18.5	3.1	-1	tblastx:e1e1
2	95	148	28780	28727	38.889	18	18.0	4.2	-1	tblastx:e1e1
2	169	183	19190	19176	100.0	5	18.0	4.2	-3	tblastx:e1e1
2	196	176	18928	18948	71.429	7	18.0	4.2	1	tblastx:e1e1
2	43	96	31084	31137	27.778	18	18.0	4.2	1	tblastx:e1e1
2	166	192	534	508	55.556	9	18.0	4.2	-2	tblastx:e1e1
2	191	144	29855	29808	37.5	16	17.6	5.6	-3	tblastx:e1e1
2	122	148	19333	19359	33.333	9	17.6	5.8	1	tblastx:e1e1
2	190	158	19424	19456	54.545	11	17.6	5.8	2	tblastx:e1e1
2	107	133	1394	1368	55.556	9	17.6	5.8	-3	tblastx:e1e1
2	32	12	25368	25348	57.143	7	17.1	7.8	-2	tblastx:e1e1
2	200	186	1390	1404	80.0	5	17.1	7.9	1	tblastx:e1e1
2	52	87	31708	31673	33.333	12	17.1	7.9	-1	tblastx:e1e1
2	153	191	5163	5201	46.154	13	17.1	7.9	3	tblastx:e1e1
2	42	62	24543	24523	85.714	7	17.1	7.9	-2	tblastx:e1e1
2	180	215	15655	15690	41.667	12	17.1	7.9	1	tblastx:e1e1
2	39	167	16131	16259	27.907	43	17.1	7.9	3	tblastx:e1e1
2	200	174	33137	33163	44.444	9	17.1	7.9	2	tblastx:e1e1
3	711	1	4785	4075	100.0	237	582.0	2.03e-169	-2	tblastx:e1e1
3	2	712	4076	4786	100.0	237	580.0	7.24e-169	2	tblastx:e1e1
3	712	2	4786	4076	100.0	237	575.0	2.38e-167	-1	tblastx:e1e1
3	713	3	4787	4077	100.0	237	571.0	4.15e-166	-3	tblastx:e1e1
3	1	711	4075	4785	100.0	237	571.0	5.71e-166	1	tblastx:e1e1
3	3	713	4077	4787	100.0	237	561.0	4.5e-163	3	tblastx:e1e1
3	441	509	1466	1398	43.478	23	24.4	7.62e-06	-3	tblastx:e1e1
3	487	561	1284	1210	40.0	25	24.4	7.62e-06	-2	tblastx:e1e1
3	652	681	1165	1136	60.0	10	20.3	7.62e-06	-1	tblastx:e1e1
3	411	461	1558	1508	41.176	17	18.0	7.62e-06	-1	tblastx:e1e1
3	327	530	4899	4696	33.824	68	37.3	1.6e-05	-2	tblastx:e1e1
3	509	553	4641	4597	46.667	15	18.0	1.6e-05	-2	tblastx:e1e1
3	570	463	4659	4552	33.333	36	29.5	0.006	-2	tblastx:e1e1
3	585	478	4644	4537	33.333	36	29.5	0.006	-2	tblastx:e1e1
3	270	202	13299	13367	39.13	23	25.8	0.079	3	tblastx:e1e1
3	432	551	4915	4796	32.5	40	22.1	0.11	-1	tblastx:e1e1
3	534	575	4741	4700	50.0	14	18.9	0.11	-1	tblastx:e1e1
3	578	528	1788	1838	47.059	17	21.7	0.18	3	tblastx:e1e1
3	548	435	1895	2008	31.579	38	18.5	0.18	2	tblastx:e1e1
3	572	694	1776	1898	39.024	41	24.4	0.21	3	tblastx:e1e1
3	465	533	1886	1818	34.783	23	24.4	0.23	-3	tblastx:e1e1
3	122	172	8402	8352	52.941	17	24.0	0.23	-3	tblastx:e1e1
3	515	550	1371	1336	66.667	12	21.2	0.23	-2	tblastx:e1e1
3	393	464	4646	4575	37.5	24	19.9	0.23	-3	tblastx:e1e1
3	379	396	4838	4821	100.0	6	18.9	0.23	-3	tblastx:e1e1
3	43	111	22423	22355	43.478	23	18.5	0.23	-1	tblastx:e1e1
3	314	367	6152	6099	44.444	18	18.5	0.23	-3	tblastx:e1e1
3	570	626	12425	12481	52.632	19	23.5	0.33	2	tblastx:e1e1
3	412	501	1088	1177	36.667	30	23.1	0.33	2	tblastx:e1e1
3	504	557	1848	1901	44.444	18	21.2	0.33	3	tblastx:e1e1
3	690	625	1381	1446	45.455	22	23.1	0.42	1	tblastx:e1e1
3	237	190	20419	20466	43.75	16	21.7	0.42	1	tblastx:e1e1
3	637	527	1887	1997	32.432	37	20.8	0.42	3	tblastx:e1e1
3	317	294	10321	10344	62.5	8	19.9	0.42	1	tblastx:e1e1
3	265	218	12880	12927	43.75	16	19.9	0.42	1	tblastx:e1e1
3	192	127	25315	25380	36.364	22	19.9	0.42	1	tblastx:e1e1
3	370	338	4720	4752	36.364	11	18.9	0.42	1	tblastx:e1e1
3	339	322	4926	4943	100.0	6	18.0	0.42	3	tblastx:e1e1
3	501	557	403	459	42.105	19	19.4	0.49	1	tblastx:e1e1
3	447	479	276	308	54.545	11	18.9	0.49	3	tblastx:e1e1
3	549	490	1337	1396	55.0	20	23.1	0.53	2	tblastx:e1e1
3	255	205	4333	4283	47.059	17	23.1	0.53	-1	tblastx:e1e1
3	259	209	4329	4279	47.059	17	23.1	0.53	-2	tblastx:e1e1
3	557	510	1214	1261	56.25	16	22.6	0.73	2	tblastx:e1e1
3	708	544	1822	1986	32.727	55	22.6	0.73	1	tblastx:e1e1
3	213	254	4279	4320	64.286	14	22.6	0.73	1	tblastx:e1e1
3	205	246	4287	4328	64.286	14	22.6	0.73	3	tblastx:e1e1
3	268	224	25993	25949	53.333	15	22.6	0.73	-1	tblastx:e1e1
3	640	705	4627	4692	27.273	22	21.7	1.4	1	tblastx:e1e1
3	553	618	4714	4779	27.273	22	21.7	1.4	1	tblastx:e1e1
3	527	486	18514	18473	57.143	14	21.7	1.4	-1	tblastx:e1e1
3	233	207	13087	13061	88.889	9	21.7	1.4	-1	tblastx:e1e1
3	696	634	10133	10071	38.095	21	21.7	1.4	-3	tblastx:e1e1
3	444	533	4868	4779	30.0	30	21.7	1.4	-3	tblastx:e1e1
3	251	213	4333	4295	61.538	13	21.7	1.4	-1	tblastx:e1e1
3	259	221	4325	4287	61.538	13	21.7	1.4	-3	tblastx:e1e1
3	294	211	14084	14001	32.143	28	21.2	1.9	-3	tblastx:e1e1
3	405	467	2050	2112	52.381	21	20.8	2.6	1	tblastx:e1e1
3	263	204	15590	15531	40.0	20	20.8	2.6	-3	tblastx:e1e1
3	637	539	4574	4672	30.303	33	20.3	3.6	2	tblastx:e1e1
3	217	246	11959	11988	70.0	10	20.3	3.6	1	tblastx:e1e1
3	245	216	11987	11958	70.0	10	20.3	3.6	-3	tblastx:e1e1
3	267	229	23972	24010	53.846	13	20.3	3.6	2	tblastx:e1e1
3	500	598	4711	4613	30.303	33	20.3	3.6	-1	tblastx:e1e1
3	259	212	3486	3439	43.75	16	20.3	3.6	-2	tblastx:e1e1
3	571	527	1943	1899	46.667	15	20.3	3.6	-3	tblastx:e1e1
3	593	528	1136	1201	36.364	22	19.9	4.9	2	tblastx:e1e1
3	572	501	4467	4538	37.5	24	19.9	4.9	3	tblastx:e1e1
3	234	205	26538	26509	60.0	10	19.9	4.9	-2	tblastx:e1e1
3	234	187	18848	18801	43.75	16	19.9	4.9	-3	tblastx:e1e1
3	372	319	24313	24366	50.0	18	19.9	4.9	1	tblastx:e1e1
3	454	576	4939	4817	29.268	41	19.9	4.9	-1	tblastx:e1e1
3	588	523	4681	4616	36.364	22	19.9	4.9	-1	tblastx:e1e1
3	607	542	4662	4597	36.364	22	19.9	4.9	-2	tblastx:e1e1
3	265	209	4344	4288	42.105	19	19.9	4.9	-2	tblastx:e1e1
3	270	214	4339	4283	42.105	19	19.9	4.9	-1	tblastx:e1e1
3	561	487	1943	1869	40.0	25	19.9	4.9	-3	tblastx:e1e1
3	464	589	1810	1935	28.571	42	19.4	6.8	1	tblastx:e1e1
3	242	213	7908	7937	60.0	10	19.4	6.8	3	tblastx:e1e1
3	548	565	22333	22316	83.333	6	19.4	6.8	-1	tblastx:e1e1
3	575	610	11309	11344	58.333	12	19.4	6.8	2	tblastx:e1e1
3	356	309	22773	22820	43.75	16	19.4	6.8	3	tblastx:e1e1
3	709	674	3922	3887	50.0	12	19.4	6.8	-1	tblastx:e1e1
3	445	359	1435	1349	34.483	29	19.4	6.8	-1	tblastx:e1e1
3	667	626	4608	4649	50.0	14	18.9	9.3	3	tblastx:e1e1
3	561	626	19603	19538	36.364	22	18.9	9.3	-1	tblastx:e1e1
3	253	206	11987	11940	50.0	16	18.9	9.3	-3	tblastx:e1e1
3	553	506	8408	8361	43.75	16	18.9	9.3	-3	tblastx:e1e1
3	579	511	4658	4590	39.13	23	18.9	9.3	-3	tblastx:e1e1
