exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	2	100	2002	2100	100.0	33	91.3	2.67e-23	1	tblastx:e1e1
1	99	1	2099	2001	100.0	33	84.0	4.3e-21	-2	tblastx:e1e1
1	1	99	2001	2099	100.0	33	83.1	8.11e-21	3	tblastx:e1e1
1	3	101	2003	2101	100.0	33	82.8	9.6e-21	2	tblastx:e1e1
1	100	2	2100	2002	100.0	33	80.8	3.97e-20	-1	tblastx:e1e1
1	101	3	2101	2003	100.0	33	79.6	8.99e-20	-3	tblastx:e1e1
1	98	27	7964	8035	41.667	24	22.6	0.013	2	tblastx:e1e1
1	26	88	991	929	38.095	21	20.3	0.064	-3	tblastx:e1e1
1	91	65	7017	6991	77.778	9	19.9	0.088	-1	tblastx:e1e1
1	7	51	4804	4848	46.667	15	19.9	0.088	1	tblastx:e1e1
1	2	28	1992	2018	66.667	9	19.4	0.1	3	tblastx:e1e1
1	26	82	7593	7649	42.105	19	18.0	0.1	3	tblastx:e1e1
1	93	76	5423	5406	83.333	6	18.5	0.23	-2	tblastx:e1e1
1	2	19	3519	3502	83.333	6	17.6	0.43	-1	tblastx:e1e1
1	11	34	6219	6242	75.0	8	17.6	0.43	3	tblastx:e1e1
1	32	97	1128	1193	36.364	22	17.1	0.59	3	tblastx:e1e1
1	61	11	1306	1256	35.294	17	16.6	0.81	-3	tblastx:e1e1
1	27	44	3300	3283	83.333	6	16.5	0.88	-1	tblastx:e1e1
1	22	5	2855	2838	83.333	6	17.6	0.97	-2	tblastx:e1e1
1	55	35	7453	7433	71.429	7	16.6	0.97	-3	tblastx:e1e1
1	97	44	7664	7611	38.889	18	13.9	0.97	-2	tblastx:e1e1
1	14	37	2551	2574	50.0	8	16.2	1.1	1	tblastx:e1e1
1	46	2	6470	6514	40.0	15	16.2	1.1	2	tblastx:e1e1
1	80	42	6013	5975	53.846	13	16.2	1.3	-3	tblastx:e1e1
1	52	2	5940	5890	41.176	17	14.4	1.3	-1	tblastx:e1e1
1	94	44	5031	4981	41.176	17	15.7	1.5	-1	tblastx:e1e1
1	7	27	1879	1859	71.429	7	15.7	1.5	-3	tblastx:e1e1
1	12	44	2824	2856	54.545	11	15.2	2.3	1	tblastx:e1e1
1	7	36	6885	6856	40.0	10	14.8	2.9	-1	tblastx:e1e1
1	88	14	2212	2138	32.0	25	14.8	2.9	-3	tblastx:e1e1
1	100	14	6297	6211	31.034	29	14.4	4.0	-1	tblastx:e1e1
1	61	14	2091	2044	37.5	16	14.4	4.0	-1	tblastx:e1e1
1	23	55	8002	8034	45.455	11	14.4	4.0	1	tblastx:e1e1
1	18	38	3039	3059	71.429	7	14.2	4.3	3	tblastx:e1e1
1	91	44	2061	2014	37.5	16	14.4	4.9	-1	tblastx:e1e1
1	43	14	1969	1940	50.0	10	13.4	4.9	-3	tblastx:e1e1
1	59	100	5219	5178	50.0	14	13.9	5.5	-2	tblastx:e1e1
1	46	14	7643	7611	45.455	11	13.4	7.5	-2	tblastx:e1e1
1	41	88	1590	1637	37.5	16	13.4	7.5	3	tblastx:e1e1
2	1	132	3824	3955	100.0	44	111.0	2.65e-29	2	tblastx:e1e1
2	3	131	3826	3954	100.0	43	106.0	1.2e-27	1	tblastx:e1e1
2	132	1	3955	3824	100.0	44	103.0	8.39e-27	-3	tblastx:e1e1
2	2	130	3825	3953	100.0	43	102.0	1.52e-26	3	tblastx:e1e1
2	131	3	3954	3826	100.0	43	102.0	1.58e-26	-1	tblastx:e1e1
2	130	2	3953	3825	100.0	43	101.0	2.99e-26	-2	tblastx:e1e1
2	125	93	1930	1962	63.636	11	19.9	0.14	1	tblastx:e1e1
2	72	110	8352	8314	46.154	13	18.9	0.17	-1	tblastx:e1e1
2	114	131	2448	2431	66.667	6	18.9	0.17	-1	tblastx:e1e1
2	86	33	280	333	50.0	18	18.0	0.5	1	tblastx:e1e1
2	19	48	4419	4390	50.0	10	18.0	0.5	-1	tblastx:e1e1
2	78	101	1695	1718	62.5	8	16.2	1.2	3	tblastx:e1e1
2	102	122	1760	1780	57.143	7	15.3	1.2	2	tblastx:e1e1
2	54	34	3273	3253	57.143	7	16.6	1.4	-1	tblastx:e1e1
2	100	120	4396	4416	57.143	7	16.2	1.8	1	tblastx:e1e1
2	111	128	5337	5354	66.667	6	16.2	1.8	3	tblastx:e1e1
2	119	87	2730	2698	45.455	11	16.2	1.9	-1	tblastx:e1e1
2	28	48	3775	3755	57.143	7	14.8	4.6	-3	tblastx:e1e1
2	95	81	7795	7809	80.0	5	14.8	4.6	1	tblastx:e1e1
2	91	68	5878	5855	75.0	8	14.4	6.6	-3	tblastx:e1e1
3	3	152	4390	4539	100.0	50	130.0	1.01e-34	1	tblastx:e1e1
3	152	3	4539	4390	100.0	50	129.0	1.38e-34	-1	tblastx:e1e1
3	1	150	4388	4537	100.0	50	128.0	3.58e-34	2	tblastx:e1e1
3	2	151	4389	4538	100.0	50	127.0	6.76e-34	3	tblastx:e1e1
3	151	2	4538	4389	100.0	50	123.0	1.18e-32	-2	tblastx:e1e1
3	150	1	4537	4388	100.0	50	109.0	2.23e-28	-3	tblastx:e1e1
3	54	80	8271	8245	44.444	9	18.0	0.63	-1	tblastx:e1e1
3	32	3	3842	3871	50.0	10	18.0	0.63	2	tblastx:e1e1
3	76	93	6706	6723	100.0	6	17.6	0.86	1	tblastx:e1e1
