exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	207	2001	2207	100.0	207	310.0	1.04e-86	blastn:w7;e1e2
1	67	94	34643	34616	85.714	28	29.6	0.036	blastn:w7;e1e2
1	105	145	29576	29528	72.549	51	26.6	0.29	blastn:w7;e1e2
1	75	90	114627	114642	100.0	16	26.6	0.29	blastn:w7;e1e2
1	89	135	153973	154020	74.51	51	26.6	0.29	blastn:w7;e1e2
1	111	137	14744	14718	82.759	29	25.9	0.8	blastn:w7;e1e2
1	69	116	60849	60798	72.222	54	25.9	0.8	blastn:w7;e1e2
1	146	163	88589	88606	94.444	18	25.9	0.8	blastn:w7;e1e2
1	146	163	88592	88609	94.444	18	25.9	0.8	blastn:w7;e1e2
1	57	89	21969	22003	77.143	35	25.1	0.8	blastn:w7;e1e2
1	3	23	29394	29373	86.957	23	25.1	0.8	blastn:w7;e1e2
1	66	136	43157	43233	69.231	78	25.1	0.8	blastn:w7;e1e2
1	161	190	119514	119484	78.788	33	25.1	0.8	blastn:w7;e1e2
1	117	133	847	831	94.118	17	24.4	2.2	blastn:w7;e1e2
1	78	94	28492	28508	94.118	17	24.4	2.2	blastn:w7;e1e2
1	14	35	152339	152318	86.364	22	24.4	2.2	blastn:w7;e1e2
1	28	52	13184	13162	84.0	25	23.6	2.2	blastn:w7;e1e2
1	54	116	37817	37882	67.606	71	23.6	2.2	blastn:w7;e1e2
1	143	156	71339	71326	100.0	14	23.6	2.2	blastn:w7;e1e2
1	146	162	74327	74342	94.118	17	23.6	2.2	blastn:w7;e1e2
1	100	118	78653	78671	89.474	19	23.6	2.2	blastn:w7;e1e2
1	18	39	110010	109987	83.333	24	23.6	2.2	blastn:w7;e1e2
1	76	153	150993	150924	68.293	82	23.6	2.2	blastn:w7;e1e2
1	141	159	153917	153935	89.474	19	23.6	2.2	blastn:w7;e1e2
1	3	16	159715	159728	100.0	14	23.6	2.2	blastn:w7;e1e2
1	62	87	81955	81980	80.769	26	22.9	6.3	blastn:w7;e1e2
1	139	156	87355	87373	89.474	19	22.9	6.3	blastn:w7;e1e2
1	28	48	120373	120353	86.364	22	22.9	6.3	blastn:w7;e1e2
1	149	174	153922	153950	79.31	29	22.9	6.3	blastn:w7;e1e2
1	48	74	165182	165206	81.481	27	22.9	6.3	blastn:w7;e1e2
1	28	77	2077	2028	68.966	58	22.2	6.3	blastn:w7;e1e2
1	74	91	29403	29420	88.889	18	22.2	6.3	blastn:w7;e1e2
1	35	57	58953	58931	82.609	23	22.2	6.3	blastn:w7;e1e2
1	44	73	64933	64966	77.143	35	22.2	6.3	blastn:w7;e1e2
1	152	164	87363	87375	100.0	13	22.2	6.3	blastn:w7;e1e2
1	13	46	91396	91430	75.0	36	22.2	6.3	blastn:w7;e1e2
1	123	140	91479	91496	88.889	18	22.2	6.3	blastn:w7;e1e2
1	124	136	105059	105071	100.0	13	22.2	6.3	blastn:w7;e1e2
1	178	207	167468	167496	77.419	31	22.2	6.3	blastn:w7;e1e2
1	27	44	34668	34652	88.889	18	21.4	18.0	blastn:w7;e1e2
1	80	104	36322	36298	80.0	25	21.4	18.0	blastn:w7;e1e2
1	34	48	59906	59920	93.333	15	21.4	18.0	blastn:w7;e1e2
1	56	74	83687	83667	85.714	21	21.4	18.0	blastn:w7;e1e2
1	35	75	93691	93650	72.727	44	21.4	18.0	blastn:w7;e1e2
1	28	45	98270	98286	88.889	18	21.4	18.0	blastn:w7;e1e2
1	85	114	146756	146727	77.419	31	21.4	18.0	blastn:w7;e1e2
1	103	117	150101	150087	93.333	15	21.4	18.0	blastn:w7;e1e2
1	23	52	151003	150971	75.758	33	21.4	18.0	blastn:w7;e1e2
1	102	119	155712	155728	88.889	18	21.4	18.0	blastn:w7;e1e2
1	107	136	162326	162358	75.758	33	21.4	18.0	blastn:w7;e1e2
1	69	86	163620	163604	88.889	18	21.4	18.0	blastn:w7;e1e2
1	1	12	11119	11130	100.0	12	20.7	18.0	blastn:w7;e1e2
1	126	137	15079	15090	100.0	12	20.7	18.0	blastn:w7;e1e2
1	28	45	25494	25472	78.261	23	20.7	18.0	blastn:w7;e1e2
1	57	77	33970	33992	82.609	23	20.7	18.0	blastn:w7;e1e2
1	28	47	34633	34651	85.0	20	20.7	18.0	blastn:w7;e1e2
1	171	184	43087	43073	93.333	15	20.7	18.0	blastn:w7;e1e2
1	77	93	45443	45459	88.235	17	20.7	18.0	blastn:w7;e1e2
1	104	120	52588	52574	88.235	17	20.7	18.0	blastn:w7;e1e2
1	60	76	88861	88847	88.235	17	20.7	18.0	blastn:w7;e1e2
1	68	84	99566	99550	88.235	17	20.7	18.0	blastn:w7;e1e2
1	110	131	106020	106041	81.818	22	20.7	18.0	blastn:w7;e1e2
1	69	85	116675	116659	88.235	17	20.7	18.0	blastn:w7;e1e2
1	64	75	118607	118596	100.0	12	20.7	18.0	blastn:w7;e1e2
1	65	86	119622	119643	81.818	22	20.7	18.0	blastn:w7;e1e2
1	119	140	122139	122160	82.609	23	20.7	18.0	blastn:w7;e1e2
1	29	59	125294	125321	77.419	31	20.7	18.0	blastn:w7;e1e2
1	103	121	128182	128201	85.0	20	20.7	18.0	blastn:w7;e1e2
1	28	45	128472	128493	81.818	22	20.7	18.0	blastn:w7;e1e2
1	153	164	159929	159940	100.0	12	20.7	18.0	blastn:w7;e1e2
1	85	103	171332	171351	85.0	20	20.7	18.0	blastn:w7;e1e2
1	122	135	3876	3889	92.857	14	19.9	49.0	blastn:w7;e1e2
1	103	116	10990	10977	92.857	14	19.9	49.0	blastn:w7;e1e2
1	6	21	36300	36316	88.235	17	19.9	49.0	blastn:w7;e1e2
1	63	76	36577	36590	92.857	14	19.9	49.0	blastn:w7;e1e2
1	100	113	49290	49303	92.857	14	19.9	49.0	blastn:w7;e1e2
1	103	116	54814	54801	92.857	14	19.9	49.0	blastn:w7;e1e2
1	152	165	71336	71323	92.857	14	19.9	49.0	blastn:w7;e1e2
1	114	132	87788	87770	84.211	19	19.9	49.0	blastn:w7;e1e2
1	28	41	98275	98288	92.857	14	19.9	49.0	blastn:w7;e1e2
1	148	161	100712	100699	92.857	14	19.9	49.0	blastn:w7;e1e2
1	29	42	116102	116115	92.857	14	19.9	49.0	blastn:w7;e1e2
1	13	29	120109	120094	88.235	17	19.9	49.0	blastn:w7;e1e2
1	103	136	121177	121214	71.053	38	19.9	49.0	blastn:w7;e1e2
1	29	48	121683	121666	85.0	20	19.9	49.0	blastn:w7;e1e2
1	176	189	125577	125590	92.857	14	19.9	49.0	blastn:w7;e1e2
1	85	100	136535	136519	88.235	17	19.9	49.0	blastn:w7;e1e2
1	79	110	151884	151846	74.359	39	19.9	49.0	blastn:w7;e1e2
1	129	150	156221	156241	81.818	22	19.9	49.0	blastn:w7;e1e2
1	29	42	157734	157747	92.857	14	19.9	49.0	blastn:w7;e1e2
1	28	43	10972	10987	87.5	16	19.2	49.0	blastn:w7;e1e2
1	71	150	21587	21668	65.909	88	19.2	49.0	blastn:w7;e1e2
1	32	42	26636	26626	100.0	11	19.2	49.0	blastn:w7;e1e2
1	64	84	45829	45809	80.952	21	19.2	49.0	blastn:w7;e1e2
1	186	196	46893	46903	100.0	11	19.2	49.0	blastn:w7;e1e2
1	123	133	53462	53452	100.0	11	19.2	49.0	blastn:w7;e1e2
1	39	54	66313	66298	87.5	16	19.2	49.0	blastn:w7;e1e2
1	1	16	67727	67742	87.5	16	19.2	49.0	blastn:w7;e1e2
1	26	41	69524	69539	87.5	16	19.2	49.0	blastn:w7;e1e2
1	149	159	71336	71326	100.0	11	19.2	49.0	blastn:w7;e1e2
1	192	202	73280	73270	100.0	11	19.2	49.0	blastn:w7;e1e2
1	9	19	78856	78866	100.0	11	19.2	49.0	blastn:w7;e1e2
1	149	159	87363	87373	100.0	11	19.2	49.0	blastn:w7;e1e2
1	31	41	88279	88289	100.0	11	19.2	49.0	blastn:w7;e1e2
1	73	83	121149	121139	100.0	11	19.2	49.0	blastn:w7;e1e2
1	27	37	125780	125770	100.0	11	19.2	49.0	blastn:w7;e1e2
1	109	119	129878	129868	100.0	11	19.2	49.0	blastn:w7;e1e2
1	68	83	133013	132998	87.5	16	19.2	49.0	blastn:w7;e1e2
1	144	159	152181	152166	87.5	16	19.2	49.0	blastn:w7;e1e2
2	1	4013	3645	7657	100.0	4013	5966.0	0.0	blastn:w7;e1e2
2	2610	2637	15618	15591	89.655	29	33.3	0.11	blastn:w7;e1e2
2	3440	3491	59782	59730	75.0	56	31.8	0.3	blastn:w7;e1e2
2	2645	2672	135224	135197	85.714	28	29.6	0.84	blastn:w7;e1e2
2	2943	2979	80461	80495	78.378	37	28.1	2.4	blastn:w7;e1e2
2	2914	2945	5538	5568	81.25	32	27.4	6.6	blastn:w7;e1e2
2	1894	1924	6558	6589	81.25	32	27.4	6.6	blastn:w7;e1e2
2	150	218	128550	128488	70.423	71	27.4	6.6	blastn:w7;e1e2
2	2749	2767	149153	149171	94.737	19	27.4	6.6	blastn:w7;e1e2
2	1436	1461	5105	5080	84.615	26	26.6	6.6	blastn:w7;e1e2
2	647	699	139499	139458	72.222	54	26.6	6.6	blastn:w7;e1e2
2	2750	2765	140691	140676	100.0	16	26.6	6.6	blastn:w7;e1e2
2	2750	2765	145598	145613	100.0	16	26.6	6.6	blastn:w7;e1e2
2	2748	2770	11345	11323	86.957	23	25.9	19.0	blastn:w7;e1e2
2	2729	2764	14137	14171	77.778	36	25.9	19.0	blastn:w7;e1e2
2	3005	3032	81259	81286	82.143	28	25.9	19.0	blastn:w7;e1e2
2	1699	1716	87258	87241	94.444	18	25.9	19.0	blastn:w7;e1e2
2	2746	2765	140699	140679	90.476	21	25.9	19.0	blastn:w7;e1e2
2	566	585	59081	59100	90.0	20	25.1	19.0	blastn:w7;e1e2
2	3402	3416	103918	103932	100.0	15	25.1	19.0	blastn:w7;e1e2
2	2749	2763	141662	141676	100.0	15	25.1	19.0	blastn:w7;e1e2
2	567	583	162337	162354	94.444	18	25.1	19.0	blastn:w7;e1e2
2	1588	1607	164254	164235	90.0	20	25.1	19.0	blastn:w7;e1e2
2	34	50	19562	19546	94.118	17	24.4	52.0	blastn:w7;e1e2
2	2669	2688	37473	37455	90.0	20	24.4	52.0	blastn:w7;e1e2
2	3754	3813	42128	42070	68.75	64	24.4	52.0	blastn:w7;e1e2
2	1685	1711	90978	91004	81.481	27	24.4	52.0	blastn:w7;e1e2
2	3571	3592	94872	94851	86.364	22	24.4	52.0	blastn:w7;e1e2
2	235	271	107005	106969	75.676	37	24.4	52.0	blastn:w7;e1e2
2	3637	3658	155644	155665	86.364	22	24.4	52.0	blastn:w7;e1e2
2	2064	2082	2414	2396	89.474	19	23.6	52.0	blastn:w7;e1e2
2	757	775	16417	16435	89.474	19	23.6	52.0	blastn:w7;e1e2
2	2553	2571	25478	25460	89.474	19	23.6	52.0	blastn:w7;e1e2
2	2750	2763	26582	26595	100.0	14	23.6	52.0	blastn:w7;e1e2
2	3735	3748	28810	28823	100.0	14	23.6	52.0	blastn:w7;e1e2
2	979	992	42560	42547	100.0	14	23.6	52.0	blastn:w7;e1e2
2	3522	3535	105962	105975	100.0	14	23.6	52.0	blastn:w7;e1e2
2	1326	1344	120244	120262	89.474	19	23.6	52.0	blastn:w7;e1e2
2	383	396	138173	138160	100.0	14	23.6	52.0	blastn:w7;e1e2
2	2750	2768	150581	150599	89.474	19	23.6	52.0	blastn:w7;e1e2
2	1017	1030	154182	154195	100.0	14	23.6	52.0	blastn:w7;e1e2
3	1	237	20112	20348	100.0	237	355.0	4.63e-100	blastn:w7;e1e2
3	206	227	65304	65284	90.909	22	27.4	0.33	blastn:w7;e1e2
3	56	81	105090	105116	81.481	27	23.6	2.6	blastn:w7;e1e2
3	117	157	170527	170562	73.171	41	23.6	2.6	blastn:w7;e1e2
3	177	192	34895	34910	93.75	16	22.9	7.3	blastn:w7;e1e2
3	39	67	37375	37345	77.419	31	22.9	7.3	blastn:w7;e1e2
3	217	234	32747	32764	88.889	18	22.2	7.3	blastn:w7;e1e2
3	83	97	74931	74946	93.75	16	22.2	7.3	blastn:w7;e1e2
3	145	159	5213	5227	93.333	15	21.4	21.0	blastn:w7;e1e2
3	189	227	54700	54668	71.795	39	21.4	21.0	blastn:w7;e1e2
3	134	145	161	150	100.0	12	20.7	21.0	blastn:w7;e1e2
3	142	158	787	771	88.235	17	20.7	21.0	blastn:w7;e1e2
3	128	147	28077	28098	81.818	22	20.7	21.0	blastn:w7;e1e2
3	211	227	69810	69826	88.235	17	20.7	21.0	blastn:w7;e1e2
3	182	201	94177	94198	81.818	22	20.7	21.0	blastn:w7;e1e2
3	77	88	123272	123261	100.0	12	20.7	21.0	blastn:w7;e1e2
3	185	206	163081	163060	82.609	23	20.7	21.0	blastn:w7;e1e2
3	62	77	9923	9939	88.235	17	19.9	58.0	blastn:w7;e1e2
3	53	66	19334	19321	92.857	14	19.9	58.0	blastn:w7;e1e2
3	167	180	22036	22023	92.857	14	19.9	58.0	blastn:w7;e1e2
3	167	180	59313	59326	92.857	14	19.9	58.0	blastn:w7;e1e2
