metric	value
hits:exon->CDS	16
hits:exon->exon	18
hits:exon->intron	137
copies:exon_to_intron_total	128
copies:exon_01_(2001-2498)	27
copies:exon_02_(2752-2837)	20
copies:exon_03_(3635-3804)	16
copies:exon_04_(4845-4944)	6
copies:exon_05_(5560-5698)	11
copies:exon_06_(6940-7071)	9
copies:exon_07_(7329-7462)	11
copies:exon_08_(9100-11599)	28
intron:total_raw_exon_to_intron_hits	115
intron:total_clustered_copies	77
intron_01_(1-2000):raw_hits	20
intron_01_(1-2000):clustered_copies	16
intron_02_(2499-2751):raw_hits	1
intron_02_(2499-2751):clustered_copies	1
intron_03_(2838-3634):raw_hits	10
intron_03_(2838-3634):clustered_copies	7
intron_04_(3805-4844):raw_hits	13
intron_04_(3805-4844):clustered_copies	9
intron_05_(4945-5559):raw_hits	8
intron_05_(4945-5559):clustered_copies	7
intron_06_(5699-6939):raw_hits	20
intron_06_(5699-6939):clustered_copies	11
intron_07_(7072-7328):raw_hits	1
intron_07_(7072-7328):clustered_copies	1
intron_08_(7463-9099):raw_hits	22
intron_08_(7463-9099):clustered_copies	13
intron_09_(11600-13599):raw_hits	20
intron_09_(11600-13599):clustered_copies	12
