method	exon_index	sstart	send	reason	detail
blastn	1	457	441	basic	len/pident 17/100.0
blastn	1	5123	5137	basic	len/pident 15/93.333
blastn	1	322	333	basic	len/pident 12/100.0
blastn	1	425	438	basic	len/pident 15/93.333
blastn	1	1787	1771	basic	len/pident 17/88.235
blastn	1	7159	7144	basic	len/pident 17/88.235
blastn	1	1232	1217	basic	len/pident 16/87.5
blastn	1	2207	2192	basic	len/pident 16/87.5
blastn	1	2845	2832	basic	len/pident 14/92.857
blastn	1	2903	2918	basic	len/pident 16/87.5
blastn	1	3083	3093	basic	len/pident 11/100.0
blastn	1	3438	3453	basic	len/pident 16/87.5
blastn	1	3507	3517	basic	len/pident 11/100.0
blastn	1	3784	3797	basic	len/pident 14/92.857
blastn	1	5137	5147	basic	len/pident 11/100.0
blastn	1	5871	5861	basic	len/pident 11/100.0
blastn	1	6346	6331	basic	len/pident 16/87.5
blastn	1	7029	7039	basic	len/pident 11/100.0
blastn	1	8122	8109	basic	len/pident 14/92.857
blastn	1	8739	8749	basic	len/pident 11/100.0
blastn	1	8815	8805	basic	len/pident 11/100.0
blastn	1	8857	8867	basic	len/pident 11/100.0
blastn	1	8971	8985	basic	len/pident 17/88.235
blastn	1	2364	2376	basic	len/pident 13/92.308
blastn	1	2545	2557	basic	len/pident 13/92.308
blastn	1	2856	2844	basic	len/pident 13/92.308
blastn	1	5511	5526	basic	len/pident 16/87.5
blastn	1	5787	5775	basic	len/pident 13/92.308
blastn	1	5823	5811	basic	len/pident 13/92.308
blastn	1	6680	6668	basic	len/pident 13/92.308
blastn	1	365	374	basic	len/pident 10/100.0
blastn	1	553	562	basic	len/pident 10/100.0
blastn	1	873	859	basic	len/pident 15/86.667
blastn	1	1121	1130	basic	len/pident 10/100.0
blastn	1	1138	1147	basic	len/pident 10/100.0
blastn	1	1675	1666	basic	len/pident 10/100.0
blastn	1	1704	1690	basic	len/pident 15/86.667
blastn	1	2007	2016	basic	len/pident 10/100.0
blastn	1	2031	2017	basic	len/pident 15/86.667
blastn	1	2031	2017	basic	len/pident 15/86.667
blastn	1	2031	2017	basic	len/pident 15/86.667
blastn	1	2359	2345	basic	len/pident 15/86.667
blastn	1	2360	2346	basic	len/pident 15/86.667
blastn	1	2361	2347	basic	len/pident 15/86.667
blastn	1	2377	2386	basic	len/pident 10/100.0
blastn	1	2847	2856	basic	len/pident 10/100.0
blastn	1	2909	2900	basic	len/pident 10/100.0
blastn	1	3182	3168	basic	len/pident 15/86.667
blastn	1	3438	3452	basic	len/pident 15/86.667
blastn	1	3438	3452	basic	len/pident 15/86.667
blastn	1	3438	3452	basic	len/pident 15/86.667
blastn	1	3438	3452	basic	len/pident 15/86.667
blastn	1	4485	4494	basic	len/pident 10/100.0
blastn	1	4690	4699	basic	len/pident 10/100.0
blastn	1	7274	7283	basic	len/pident 10/100.0
blastn	1	7411	7402	basic	len/pident 10/100.0
blastn	1	8497	8506	basic	len/pident 10/100.0
blastn	1	8651	8660	basic	len/pident 10/100.0
blastn	1	441	452	basic	len/pident 12/91.667
blastn	1	1129	1118	basic	len/pident 12/91.667
blastn	1	1333	1322	basic	len/pident 12/91.667
blastn	1	1622	1633	basic	len/pident 12/91.667
blastn	1	2697	2686	basic	len/pident 12/91.667
blastn	1	2854	2843	basic	len/pident 12/91.667
blastn	1	3614	3625	basic	len/pident 12/91.667
blastn	1	3701	3690	basic	len/pident 12/91.667
blastn	1	3742	3753	basic	len/pident 12/91.667
blastn	1	3967	3978	basic	len/pident 12/91.667
blastn	1	4879	4890	basic	len/pident 12/91.667
blastn	1	5716	5727	basic	len/pident 12/91.667
blastn	1	6122	6111	basic	len/pident 12/91.667
blastn	1	6513	6524	basic	len/pident 12/91.667
blastn	1	6535	6524	basic	len/pident 12/91.667
blastn	1	7237	7221	basic	len/pident 17/82.353
blastn	1	7880	7891	basic	len/pident 12/91.667
blastn	1	8288	8304	basic	len/pident 17/82.353
blastn	1	8720	8736	basic	len/pident 17/82.353
blastn	1	326	334	basic	len/pident 9/100.0
blastn	1	440	448	basic	len/pident 9/100.0
blastn	1	761	769	basic	len/pident 9/100.0
blastn	1	920	912	basic	len/pident 9/100.0
blastn	1	1147	1134	basic	len/pident 14/85.714
blastn	1	1350	1342	basic	len/pident 9/100.0
blastn	1	1581	1589	basic	len/pident 9/100.0
blastn	1	1734	1742	basic	len/pident 9/100.0
blastn	1	1868	1860	basic	len/pident 9/100.0
blastn	1	1869	1877	basic	len/pident 9/100.0
blastn	1	2082	2069	basic	len/pident 14/85.714
