method	exon_index	sstart	send	reason	detail
blastn	1	28760	28734	low_complexity	entropy<0.5 fraction
blastn	1	21301	21285	basic	len/pident 17/94.118
blastn	1	26313	26329	basic	len/pident 17/94.118
blastn	1	2674	2687	basic	len/pident 14/100.0
blastn	1	4731	4744	basic	len/pident 14/100.0
blastn	1	11418	11431	basic	len/pident 14/100.0
blastn	1	11559	11546	basic	len/pident 14/100.0
blastn	1	15274	15261	basic	len/pident 14/100.0
blastn	1	16744	16757	basic	len/pident 14/100.0
blastn	1	21202	21215	basic	len/pident 14/100.0
blastn	1	27617	27604	basic	len/pident 14/100.0
blastn	1	28599	28612	basic	len/pident 14/100.0
blastn	1	2842	2827	basic	len/pident 16/93.75
blastn	1	5040	5025	basic	len/pident 16/93.75
blastn	1	8379	8364	basic	len/pident 16/93.75
blastn	1	11697	11712	basic	len/pident 16/93.75
blastn	1	15097	15082	basic	len/pident 16/93.75
blastn	1	17904	17919	basic	len/pident 16/93.75
blastn	1	31295	31310	basic	len/pident 16/93.75
blastn	1	32048	32033	basic	len/pident 16/93.75
blastn	1	781	793	basic	len/pident 13/100.0
blastn	1	11418	11430	basic	len/pident 13/100.0
blastn	1	11418	11430	basic	len/pident 13/100.0
blastn	1	11418	11430	basic	len/pident 13/100.0
blastn	1	13520	13532	basic	len/pident 13/100.0
blastn	1	18653	18665	basic	len/pident 13/100.0
blastn	1	21268	21280	basic	len/pident 13/100.0
blastn	1	26321	26309	basic	len/pident 13/100.0
blastn	1	26806	26818	basic	len/pident 13/100.0
blastn	1	33070	33082	basic	len/pident 13/100.0
blastn	2	7619	7634	basic	len/pident 16/93.75
blastn	2	576	563	basic	len/pident 16/87.5
blastn	2	8123	8133	basic	len/pident 11/100.0
blastn	2	13204	13216	basic	len/pident 14/92.857
blastn	2	18673	18661	basic	len/pident 14/92.857
blastn	2	19567	19580	basic	len/pident 16/87.5
blastn	2	20734	20719	basic	len/pident 17/88.235
blastn	2	2406	2418	basic	len/pident 13/92.308
blastn	2	9701	9686	basic	len/pident 16/87.5
blastn	2	15709	15721	basic	len/pident 13/92.308
blastn	2	16225	16213	basic	len/pident 13/92.308
blastn	2	18401	18389	basic	len/pident 13/92.308
blastn	2	873	882	basic	len/pident 10/100.0
blastn	2	1958	1967	basic	len/pident 10/100.0
blastn	2	8214	8228	basic	len/pident 15/86.667
blastn	2	10330	10344	basic	len/pident 15/86.667
blastn	2	10673	10687	basic	len/pident 15/86.667
blastn	2	23272	23281	basic	len/pident 10/100.0
blastn	2	23600	23588	basic	len/pident 13/92.308
blastn	2	26677	26668	basic	len/pident 10/100.0
blastn	2	28309	28318	basic	len/pident 10/100.0
blastn	2	31054	31063	basic	len/pident 10/100.0
blastn	2	31473	31464	basic	len/pident 10/100.0
blastn	2	31498	31507	basic	len/pident 10/100.0
blastn	2	31555	31564	basic	len/pident 10/100.0
blastn	2	31767	31781	basic	len/pident 15/86.667
blastn	2	34020	34011	basic	len/pident 10/100.0
blastn	2	34886	34895	basic	len/pident 10/100.0
blastn	2	37087	37096	basic	len/pident 10/100.0
blastn	2	749	760	basic	len/pident 12/91.667
blastn	2	3747	3761	basic	len/pident 15/86.667
blastn	2	4113	4129	basic	len/pident 17/82.353
blastn	2	4928	4944	basic	len/pident 17/82.353
blastn	2	10424	10413	basic	len/pident 12/91.667
blastn	2	17622	17633	basic	len/pident 12/91.667
blastn	2	23030	23041	basic	len/pident 12/91.667
blastn	2	26167	26156	basic	len/pident 12/91.667
blastn	2	29536	29525	basic	len/pident 12/91.667
blastn	2	33792	33781	basic	len/pident 12/91.667
blastn	2	34674	34661	basic	len/pident 15/86.667
blastn	2	34760	34771	basic	len/pident 12/91.667
blastn	2	38142	38153	basic	len/pident 12/91.667
blastn	2	1036	1028	basic	len/pident 9/100.0
blastn	2	1433	1425	basic	len/pident 9/100.0
blastn	2	5731	5723	basic	len/pident 9/100.0
blastn	2	7145	7153	basic	len/pident 9/100.0
blastn	2	7333	7341	basic	len/pident 9/100.0
blastn	2	10201	10188	basic	len/pident 14/85.714
blastn	2	13274	13282	basic	len/pident 9/100.0
blastn	2	13306	13298	basic	len/pident 9/100.0
blastn	2	13889	13897	basic	len/pident 9/100.0
blastn	2	17640	17632	basic	len/pident 9/100.0
blastn	2	20327	20335	basic	len/pident 9/100.0
blastn	2	20391	20399	basic	len/pident 9/100.0
blastn	2	21613	21621	basic	len/pident 9/100.0
blastn	2	22120	22112	basic	len/pident 9/100.0
blastn	2	22285	22293	basic	len/pident 9/100.0
blastn	2	25057	25049	basic	len/pident 9/100.0
blastn	2	26297	26305	basic	len/pident 9/100.0
blastn	2	27047	27039	basic	len/pident 9/100.0
blastn	2	27130	27138	basic	len/pident 9/100.0
blastn	2	28343	28335	basic	len/pident 9/100.0
blastn	2	29994	30007	basic	len/pident 17/82.353
blastn	2	33105	33097	basic	len/pident 9/100.0
blastn	2	34432	34424	basic	len/pident 9/100.0
blastn	2	34526	34534	basic	len/pident 9/100.0
blastn	2	35574	35566	basic	len/pident 9/100.0
blastn	2	35705	35697	basic	len/pident 9/100.0
blastn	2	36132	36140	basic	len/pident 9/100.0
blastn	3	13596	13585	basic	len/pident 12/100.0
blastn	3	37459	37443	basic	len/pident 17/88.235
blastn	3	5248	5260	basic	len/pident 13/92.308
blastn	3	6960	6945	basic	len/pident 16/87.5
blastn	3	11038	11026	basic	len/pident 13/92.308
