exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	1125	1	3125	2001	100.0	375	905.0	0.0	-3	tblastx:e1e1
1	1	1125	2001	3125	100.0	375	902.0	0.0	3	tblastx:e1e1
1	1124	3	3124	2003	100.0	374	888.0	0.0	-1	tblastx:e1e1
1	2	1126	2002	3126	100.0	375	885.0	0.0	1	tblastx:e1e1
1	3	1124	2003	3124	100.0	374	884.0	0.0	2	tblastx:e1e1
1	1126	2	3126	2002	100.0	375	874.0	0.0	-2	tblastx:e1e1
1	540	475	16071	16136	45.455	22	24.0	0.3	3	tblastx:e1e1
1	511	591	11708	11788	40.741	27	23.1	0.56	2	tblastx:e1e1
1	238	264	8034	8008	66.667	9	22.1	1.1	-2	tblastx:e1e1
1	469	519	7707	7657	35.294	17	22.1	1.1	-2	tblastx:e1e1
1	154	116	1874	1836	53.846	13	21.7	1.4	-3	tblastx:e1e1
1	209	277	2211	2279	34.783	23	20.8	2.7	3	tblastx:e1e1
1	211	279	2209	2277	34.783	23	20.8	2.7	1	tblastx:e1e1
1	211	252	11263	11222	35.714	14	20.8	2.7	-1	tblastx:e1e1
1	348	389	16441	16482	42.857	14	20.8	2.7	1	tblastx:e1e1
1	171	278	2169	2276	25.0	36	20.3	3.8	3	tblastx:e1e1
1	169	276	2171	2278	25.0	36	20.3	3.8	2	tblastx:e1e1
1	734	769	8598	8563	58.333	12	20.3	3.8	-2	tblastx:e1e1
1	475	528	14195	14248	44.444	18	19.9	5.2	2	tblastx:e1e1
1	968	918	20291	20341	41.176	17	19.9	5.2	2	tblastx:e1e1
1	929	949	20757	20737	85.714	7	19.4	7.1	-2	tblastx:e1e1
1	811	779	19338	19306	45.455	11	19.4	7.1	-2	tblastx:e1e1
1	255	293	6125	6163	46.154	13	19.4	7.1	2	tblastx:e1e1
1	299	337	18655	18617	38.462	13	18.9	9.7	-1	tblastx:e1e1
1	99	70	9886	9915	60.0	10	18.9	9.7	1	tblastx:e1e1
1	762	824	5893	5831	28.571	21	18.9	9.7	-1	tblastx:e1e1
1	1049	1020	5770	5741	60.0	10	18.9	9.7	-1	tblastx:e1e1
1	580	554	18190	18216	55.556	9	18.9	9.7	1	tblastx:e1e1
1	1092	1042	1388	1338	52.941	17	18.9	9.7	-3	tblastx:e1e1
1	159	124	20794	20829	58.333	12	18.9	9.7	1	tblastx:e1e1
2	5832	1	15247	9416	100.0	1944	4544.0	0.0	-1	tblastx:e1e1
2	2	5830	9417	15245	100.0	1943	4520.0	0.0	3	tblastx:e1e1
2	1	5832	9416	15247	100.0	1944	4519.0	0.0	2	tblastx:e1e1
2	5830	2	15245	9417	100.0	1943	4515.0	0.0	-3	tblastx:e1e1
2	3	5831	9418	15246	100.0	1943	4506.0	0.0	1	tblastx:e1e1
2	5831	3	15246	9418	100.0	1943	4416.0	0.0	-2	tblastx:e1e1
2	4666	4698	14024	14056	100.0	11	31.8	0.007	2	tblastx:e1e1
2	4609	4641	14081	14113	100.0	11	31.8	0.007	2	tblastx:e1e1
2	4705	4664	14063	14022	85.714	14	30.9	0.01	-3	tblastx:e1e1
2	968	891	4693	4616	50.0	26	30.4	0.01	-1	tblastx:e1e1
2	2847	2746	5403	5302	29.412	34	20.8	0.01	-2	tblastx:e1e1
2	4648	4607	14120	14079	85.714	14	30.9	0.014	-3	tblastx:e1e1
2	4643	4608	14115	14080	91.667	12	30.4	0.019	-2	tblastx:e1e1
2	4700	4665	14058	14023	91.667	12	30.4	0.019	-2	tblastx:e1e1
2	4665	4715	14023	14073	76.471	17	29.9	0.026	1	tblastx:e1e1
2	4608	4658	14080	14130	76.471	17	29.9	0.026	1	tblastx:e1e1
2	4664	4699	14022	14057	100.0	12	29.5	0.036	3	tblastx:e1e1
2	4607	4642	14079	14114	100.0	12	29.5	0.036	3	tblastx:e1e1
2	4641	4609	14113	14081	100.0	11	28.6	0.068	-1	tblastx:e1e1
2	4698	4666	14056	14024	100.0	11	28.6	0.068	-1	tblastx:e1e1
2	3120	3185	11378	11313	45.455	22	28.6	0.068	-3	tblastx:e1e1
2	1963	1898	12535	12600	45.455	22	28.6	0.068	1	tblastx:e1e1
2	4906	4950	8011	8055	53.333	15	25.8	0.46	1	tblastx:e1e1
2	1575	1658	11072	10989	39.286	28	24.9	0.86	-3	tblastx:e1e1
2	1657	1574	10990	11073	39.286	28	24.9	0.86	1	tblastx:e1e1
2	3018	3173	12434	12589	25.0	52	24.9	0.86	2	tblastx:e1e1
2	3019	3174	12433	12588	25.0	52	24.9	0.86	1	tblastx:e1e1
2	328	378	16482	16432	52.941	17	24.4	1.2	-2	tblastx:e1e1
2	4012	3953	16772	16831	45.0	20	24.4	1.2	2	tblastx:e1e1
2	895	948	4620	4673	50.0	18	24.4	1.2	3	tblastx:e1e1
2	5677	5624	1505	1558	44.444	18	23.5	2.2	2	tblastx:e1e1
2	1015	1086	15638	15567	37.5	24	23.5	2.2	-3	tblastx:e1e1
2	4124	4089	8255	8290	58.333	12	23.5	2.2	2	tblastx:e1e1
2	3094	3150	12012	12068	36.842	19	23.5	2.2	3	tblastx:e1e1
2	2597	2653	12509	12565	36.842	19	23.5	2.2	2	tblastx:e1e1
2	5066	5113	20406	20359	43.75	16	23.1	3.1	-2	tblastx:e1e1
2	631	599	15884	15852	54.545	11	23.1	3.1	-3	tblastx:e1e1
2	953	930	4677	4654	87.5	8	23.1	3.1	-2	tblastx:e1e1
2	2293	2373	2511	2591	40.741	27	23.1	3.1	3	tblastx:e1e1
2	3316	3372	7857	7913	42.105	19	22.6	4.2	3	tblastx:e1e1
2	2576	2644	18095	18027	34.783	23	22.1	5.8	-3	tblastx:e1e1
2	4227	4177	745	695	47.059	17	22.1	5.8	-1	tblastx:e1e1
2	3367	3423	7789	7733	42.105	19	21.7	8.0	-1	tblastx:e1e1
2	1939	1907	16547	16579	54.545	11	21.7	8.0	2	tblastx:e1e1
2	610	590	17318	17338	85.714	7	21.7	8.0	2	tblastx:e1e1
2	5663	5737	1518	1444	36.0	25	21.7	8.0	-2	tblastx:e1e1
2	1635	1576	20306	20365	40.0	20	21.7	8.0	2	tblastx:e1e1
3	1499	3	19219	17723	100.0	499	1206.0	0.0	-1	tblastx:e1e1
3	2	1498	17722	19218	100.0	499	1201.0	0.0	1	tblastx:e1e1
3	1	1500	17721	19220	100.0	500	1181.0	0.0	3	tblastx:e1e1
3	1500	1	19220	17721	100.0	500	1167.0	0.0	-3	tblastx:e1e1
3	1498	2	19218	17722	100.0	499	1158.0	0.0	-2	tblastx:e1e1
3	3	1499	17723	19219	100.0	499	1117.0	0.0	2	tblastx:e1e1
3	1377	1427	1604	1654	52.941	17	22.1	1.4	2	tblastx:e1e1
3	375	307	11991	12059	34.783	23	22.1	1.4	3	tblastx:e1e1
3	392	451	4516	4575	40.0	20	21.7	2.0	1	tblastx:e1e1
3	139	153	8751	8765	80.0	5	21.2	2.7	3	tblastx:e1e1
3	781	740	16459	16500	42.857	14	21.2	2.7	1	tblastx:e1e1
3	660	625	16970	16935	66.667	12	20.3	5.1	-3	tblastx:e1e1
3	954	913	7029	6988	42.857	14	20.3	5.1	-2	tblastx:e1e1
3	1436	1398	20777	20739	69.231	13	19.9	7.0	-3	tblastx:e1e1
3	202	225	1013	1036	75.0	8	19.9	7.0	2	tblastx:e1e1
3	51	13	20797	20835	61.538	13	19.9	7.0	1	tblastx:e1e1
3	488	465	16330	16307	75.0	8	19.4	9.6	-1	tblastx:e1e1
3	412	383	8550	8579	60.0	10	19.4	9.6	3	tblastx:e1e1
3	305	270	19687	19722	50.0	12	19.4	9.6	1	tblastx:e1e1
1	1125	1	3125	2001	100.0	375	905.0	0.0	-3	tblastx:e1e-3
1	1	1125	2001	3125	100.0	375	902.0	0.0	3	tblastx:e1e-3
1	1124	3	3124	2003	100.0	374	888.0	0.0	-1	tblastx:e1e-3
1	2	1126	2002	3126	100.0	375	885.0	0.0	1	tblastx:e1e-3
1	3	1124	2003	3124	100.0	374	884.0	0.0	2	tblastx:e1e-3
1	1126	2	3126	2002	100.0	375	874.0	0.0	-2	tblastx:e1e-3
2	5832	1	15247	9416	100.0	1944	4544.0	0.0	-1	tblastx:e1e-3
2	2	5830	9417	15245	100.0	1943	4520.0	0.0	3	tblastx:e1e-3
2	1	5832	9416	15247	100.0	1944	4519.0	0.0	2	tblastx:e1e-3
2	5830	2	15245	9417	100.0	1943	4515.0	0.0	-3	tblastx:e1e-3
2	3	5831	9418	15246	100.0	1943	4506.0	0.0	1	tblastx:e1e-3
2	5831	3	15246	9418	100.0	1943	4416.0	0.0	-2	tblastx:e1e-3
3	1499	3	19219	17723	100.0	499	1206.0	0.0	-1	tblastx:e1e-3
3	2	1498	17722	19218	100.0	499	1201.0	0.0	1	tblastx:e1e-3
3	1	1500	17721	19220	100.0	500	1181.0	0.0	3	tblastx:e1e-3
3	1500	1	19220	17721	100.0	500	1167.0	0.0	-3	tblastx:e1e-3
3	1498	2	19218	17722	100.0	499	1158.0	0.0	-2	tblastx:e1e-3
3	3	1499	17723	19219	100.0	499	1117.0	0.0	2	tblastx:e1e-3
