exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	3087	2001	5087	100.0	3087	4590.0	0.0	blastn:w7;e1e2
1	1198	1370	10611	10799	69.271	192	71.9	1.64e-14	blastn:w7;e1e2
1	2176	2241	3764	3701	70.833	72	28.8	0.15	blastn:w7;e1e2
1	1701	1764	4241	4176	70.833	72	28.8	0.15	blastn:w7;e1e2
1	2784	2814	5270	5239	82.353	34	27.4	0.43	blastn:w7;e1e2
1	371	410	5285	5249	76.19	42	27.4	0.43	blastn:w7;e1e2
1	19	69	9589	9534	71.93	57	27.4	0.43	blastn:w7;e1e2
1	2055	2185	5114	4972	65.563	151	25.1	1.2	blastn:w7;e1e2
1	1169	1266	5474	5568	66.346	104	25.1	1.2	blastn:w7;e1e2
1	1266	1292	7060	7033	82.143	28	25.1	1.2	blastn:w7;e1e2
1	1320	1370	301	352	70.37	54	24.4	3.4	blastn:w7;e1e2
1	2026	2066	3711	3749	73.81	42	24.4	3.4	blastn:w7;e1e2
1	1711	1749	4026	4066	73.81	42	24.4	3.4	blastn:w7;e1e2
1	494	534	13245	13288	73.913	46	22.9	9.5	blastn:w7;e1e2
1	2164	2181	4109	4092	88.889	18	22.2	9.5	blastn:w7;e1e2
1	2160	2224	4224	4160	66.667	72	22.2	9.5	blastn:w7;e1e2
1	2092	2109	4181	4164	88.889	18	22.2	9.5	blastn:w7;e1e2
1	2452	2474	4193	4171	82.609	23	22.2	9.5	blastn:w7;e1e2
1	2171	2193	4474	4452	82.609	23	22.2	9.5	blastn:w7;e1e2
1	1426	1448	9413	9391	83.333	24	22.2	9.5	blastn:w7;e1e2
1	60	89	9995	9967	77.419	31	22.2	9.5	blastn:w7;e1e2
1	1678	1700	10661	10683	82.609	23	22.2	9.5	blastn:w7;e1e2
1	437	468	11740	11769	75.758	33	22.2	9.5	blastn:w7;e1e2
1	1137	1154	2593	2577	88.889	18	21.4	27.0	blastn:w7;e1e2
1	577	593	3154	3137	88.889	18	21.4	27.0	blastn:w7;e1e2
1	2043	2064	3799	3779	82.609	23	21.4	27.0	blastn:w7;e1e2
1	1779	1799	4064	4043	82.609	23	21.4	27.0	blastn:w7;e1e2
1	2405	2482	4079	4155	67.059	85	21.4	27.0	blastn:w7;e1e2
1	2079	2155	4405	4482	67.059	85	21.4	27.0	blastn:w7;e1e2
1	1458	1483	5612	5586	78.571	28	21.4	27.0	blastn:w7;e1e2
1	594	608	7023	7009	93.333	15	21.4	27.0	blastn:w7;e1e2
1	1482	1511	7186	7157	76.667	30	21.4	27.0	blastn:w7;e1e2
1	10	24	11122	11108	93.333	15	21.4	27.0	blastn:w7;e1e2
1	2760	2795	705	676	72.973	37	20.7	27.0	blastn:w7;e1e2
1	140	158	1512	1531	85.0	20	20.7	27.0	blastn:w7;e1e2
1	916	932	2932	2916	88.889	18	20.7	27.0	blastn:w7;e1e2
1	1128	1139	3139	3128	100.0	12	20.7	27.0	blastn:w7;e1e2
1	84	100	5078	5094	88.235	17	20.7	27.0	blastn:w7;e1e2
1	1171	1182	5680	5669	100.0	12	20.7	27.0	blastn:w7;e1e2
1	2249	2260	8904	8893	100.0	12	20.7	27.0	blastn:w7;e1e2
1	2855	2876	10203	10224	81.818	22	20.7	27.0	blastn:w7;e1e2
