exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	3156	2001	5156	100.0	3156	exon	CDS
1	2539	2614	3926	4008	71.765	85	exon	CDS
1	1926	2008	4539	4614	71.765	85	exon	CDS
1	2714	2762	1571	1624	74.074	54	exon	intron
1	2036	2073	47	4	77.778	45	exon	intron
1	2350	2406	678	615	69.697	66	exon	intron
1	2750	2773	3477	3456	87.5	24	exon	intron
1	1456	1477	4773	4750	87.5	24	exon	intron
1	1	24	5219	5194	84.615	26	exon	intron
1	1690	1743	53	4	71.93	57	exon	intron
1	535	573	2161	2130	74.359	39	exon	intron
1	130	161	2573	2535	74.359	39	exon	intron
1	2904	2937	5530	5496	77.143	35	exon	intron
1	1964	2017	817	762	70.0	60	exon	intron
1	2820	2838	4650	4668	89.474	19	exon	CDS
1	2650	2668	4820	4838	89.474	19	exon	exon
1	2795	2856	5568	5628	68.657	67	exon	intron
1	2951	2974	6169	6190	83.333	24	exon	intron
1	2533	2554	1530	1508	83.333	24	exon	intron
1	2409	2489	4002	3919	67.391	92	exon	intron
1	1919	2002	4489	4409	67.391	92	exon	intron
1	539	583	5622	5569	70.909	55	exon	intron
1	2958	2979	5710	5685	80.769	26	exon	intron
1	334	363	387	359	78.125	32	exon	intron
1	562	583	2153	2130	83.333	24	exon	intron
1	130	153	2583	2562	83.333	24	exon	intron
1	3097	3127	3977	4012	75.676	37	exon	CDS
1	1977	2012	5097	5127	75.676	37	exon	exon
1	2945	2962	5449	5434	88.889	18	exon	intron
1	2793	2823	6456	6488	76.471	34	exon	intron
1	2686	2703	7319	7336	88.889	18	exon	intron
1	788	807	672	653	85.0	20	exon	intron
1	236	257	1671	1651	82.609	23	exon	intron
1	2680	2699	1950	1969	85.0	20	exon	intron
1	1849	1872	3723	3746	80.769	26	exon	CDS
1	1723	1746	3849	3872	80.769	26	exon	CDS
1	537	556	5809	5790	85.0	20	exon	intron
1	1177	1213	6056	6022	71.795	39	exon	intron
1	1568	1585	5	20	88.889	18	exon	intron
1	1805	1865	494	435	68.657	67	exon	intron
1	1952	1968	884	865	85.0	20	exon	intron
1	795	843	1527	1477	70.37	54	exon	intron
1	2803	2826	2129	2149	80.0	25	exon	exon
1	129	149	4803	4826	80.0	25	exon	exon
1	2968	2989	4989	4968	81.818	22	exon	intron
1	1132	1152	6144	6166	82.609	23	exon	intron
1	2502	2520	1381	1399	84.211	19	exon	intron
1	1724	1745	2303	2323	81.818	22	exon	exon
1	2965	3016	2832	2786	69.231	52	exon	intron
1	303	323	3724	3745	81.818	22	exon	CDS
1	2493	2511	3812	3830	84.211	19	exon	CDS
1	1812	1830	4493	4511	84.211	19	exon	CDS
1	786	832	5016	4965	69.231	52	exon	intron
1	5	23	5176	5158	84.211	19	exon	intron
1	1469	1486	5595	5575	80.952	21	exon	intron
1	341	358	5594	5613	85.0	20	exon	intron
1	1303	1325	6160	6137	76.923	26	exon	intron
1	1705	1727	6395	6420	77.778	27	exon	intron
1	1684	1714	1464	1494	74.194	31	exon	intron
1	1945	1995	1514	1575	66.667	63	exon	intron
1	2531	2557	2314	2341	75.862	29	exon	exon
1	314	341	4531	4557	75.862	29	exon	CDS
2	1	167	5301	5467	100.0	167	exon	exon
2	59	128	623	689	70.667	75	exon	intron
2	48	126	4006	3936	67.901	81	exon	intron
2	38	117	12	92	67.416	89	exon	intron
2	55	94	3958	3999	75.0	44	exon	CDS
2	24	84	3567	3613	67.742	62	exon	CDS
2	111	138	3646	3621	78.571	28	exon	intron
2	134	149	4962	4945	88.889	18	exon	intron
2	63	114	5529	5477	70.175	57	exon	intron
2	2	21	3660	3678	85.0	20	exon	CDS
2	76	112	2643	2605	72.5	40	exon	intron
2	31	55	4069	4041	75.862	29	exon	intron
2	69	101	4959	4994	72.973	37	exon	exon
2	66	84	290	273	84.211	19	exon	intron
2	84	104	435	455	80.952	21	exon	intron
2	66	86	761	741	80.952	21	exon	intron
2	37	67	5367	5337	75.0	32	exon	intron
2	59	131	243	306	65.789	76	exon	intron
2	76	96	298	317	81.818	22	exon	intron
2	121	138	1819	1836	83.333	18	exon	intron
2	93	112	2279	2299	80.952	21	exon	exon
2	43	58	4440	4457	83.333	18	exon	CDS
2	83	102	2585	2566	80.0	20	exon	intron
2	40	62	6917	6896	78.261	23	exon	intron
2	45	82	38	5	71.053	38	exon	intron
2	50	82	4041	4072	72.222	36	exon	CDS
2	70	96	6178	6204	75.0	28	exon	intron
2	86	108	2317	2299	73.913	23	exon	intron
2	125	139	5843	5825	78.947	19	exon	intron
2	44	62	5968	5945	75.0	24	exon	intron
2	53	75	6453	6476	75.0	24	exon	intron
2	74	97	184	163	75.0	24	exon	intron
2	134	152	1895	1876	76.19	21	exon	intron
