method	exon_index	sstart	send	reason	detail
blastn	1	2220	2209	basic	len/pident 12/100.0
blastn	1	15298	15314	basic	len/pident 17/88.235
blastn	1	11253	11241	basic	len/pident 14/92.857
blastn	1	27642	27630	basic	len/pident 13/92.308
blastn	1	1226	1217	basic	len/pident 10/100.0
blastn	1	18159	18168	basic	len/pident 10/100.0
blastn	1	20173	20185	basic	len/pident 15/86.667
blastn	1	20765	20756	basic	len/pident 10/100.0
blastn	1	27096	27105	basic	len/pident 10/100.0
blastn	1	1374	1358	basic	len/pident 17/82.353
blastn	1	8708	8719	basic	len/pident 12/91.667
blastn	1	8776	8765	basic	len/pident 12/91.667
blastn	1	9022	9033	basic	len/pident 12/91.667
blastn	1	14928	14939	basic	len/pident 12/91.667
blastn	1	21189	21178	basic	len/pident 12/91.667
blastn	1	28483	28497	basic	len/pident 15/86.667
blastn	1	806	814	basic	len/pident 9/100.0
blastn	1	3153	3145	basic	len/pident 9/100.0
blastn	1	3291	3299	basic	len/pident 9/100.0
blastn	1	6848	6856	basic	len/pident 9/100.0
blastn	1	6938	6930	basic	len/pident 9/100.0
blastn	1	7344	7336	basic	len/pident 9/100.0
blastn	1	8578	8586	basic	len/pident 9/100.0
blastn	1	9451	9462	basic	len/pident 12/91.667
blastn	1	9896	9888	basic	len/pident 9/100.0
blastn	1	10078	10070	basic	len/pident 9/100.0
blastn	1	11498	11485	basic	len/pident 14/85.714
blastn	1	13198	13206	basic	len/pident 9/100.0
blastn	1	14525	14517	basic	len/pident 9/100.0
blastn	1	16174	16166	basic	len/pident 9/100.0
blastn	1	20295	20287	basic	len/pident 9/100.0
blastn	1	21571	21579	basic	len/pident 9/100.0
blastn	1	27426	27418	basic	len/pident 9/100.0
blastn	1	30771	30763	basic	len/pident 9/100.0
blastn	2	18810	18825	basic	len/pident 16/93.75
blastn	2	21605	21621	basic	len/pident 17/88.235
blastn	2	27111	27097	basic	len/pident 15/93.333
blastn	2	7792	7777	basic	len/pident 17/88.235
blastn	2	18157	18141	basic	len/pident 17/88.235
blastn	2	20139	20126	basic	len/pident 14/92.857
blastn	2	1356	1371	basic	len/pident 16/87.5
blastn	2	29124	29139	basic	len/pident 16/87.5
blastn	2	30875	30865	basic	len/pident 11/100.0
blastn	2	774	762	basic	len/pident 13/92.308
blastn	2	13836	13848	basic	len/pident 13/92.308
blastn	2	16761	16746	basic	len/pident 16/87.5
blastn	2	17558	17544	basic	len/pident 16/87.5
blastn	2	17946	17958	basic	len/pident 13/92.308
blastn	2	20340	20352	basic	len/pident 13/92.308
