method	exon_index	sstart	send	reason	detail
blastn	1	41116	41103	basic	len/pident 14/100.0
blastn	1	40539	40524	basic	len/pident 16/93.75
blastn	1	4810	4798	basic	len/pident 13/100.0
blastn	1	4801	4813	basic	len/pident 13/100.0
blastn	1	5314	5326	basic	len/pident 13/100.0
blastn	1	19846	19858	basic	len/pident 13/100.0
blastn	1	28497	28485	basic	len/pident 13/100.0
blastn	1	33832	33820	basic	len/pident 13/100.0
blastn	1	34839	34827	basic	len/pident 13/100.0
blastn	1	42142	42128	basic	len/pident 16/93.75
blastn	1	45370	45382	basic	len/pident 13/100.0
blastn	1	8052	8038	basic	len/pident 15/93.333
blastn	1	10880	10866	basic	len/pident 15/93.333
blastn	1	18254	18240	basic	len/pident 15/93.333
blastn	1	26515	26501	basic	len/pident 15/93.333
blastn	1	35116	35102	basic	len/pident 15/93.333
blastn	1	764	748	basic	len/pident 17/88.235
blastn	1	5098	5109	basic	len/pident 12/100.0
blastn	1	5697	5713	basic	len/pident 17/88.235
blastn	1	14545	14561	basic	len/pident 17/88.235
blastn	1	15235	15222	basic	len/pident 15/93.333
blastn	1	17364	17375	basic	len/pident 12/100.0
blastn	1	17430	17441	basic	len/pident 12/100.0
blastn	1	21607	21591	basic	len/pident 17/88.235
blastn	1	22538	22549	basic	len/pident 12/100.0
blastn	1	24506	24517	basic	len/pident 12/100.0
blastn	1	32340	32351	basic	len/pident 12/100.0
blastn	1	34402	34416	basic	len/pident 17/88.235
blastn	1	44056	44045	basic	len/pident 12/100.0
blastn	1	44876	44860	basic	len/pident 17/88.235
blastn	1	48440	48424	basic	len/pident 17/88.235
blastn	1	49810	49821	basic	len/pident 12/100.0
blastn	2	41146	41159	basic	len/pident 14/92.857
blastn	2	4393	4403	basic	len/pident 11/100.0
blastn	2	23199	23189	basic	len/pident 11/100.0
blastn	2	42885	42870	basic	len/pident 16/87.5
blastn	2	46755	46767	basic	len/pident 13/92.308
blastn	2	47277	47289	basic	len/pident 13/92.308
blastn	2	7724	7735	basic	len/pident 13/92.308
blastn	2	12978	12969	basic	len/pident 10/100.0
blastn	2	21470	21461	basic	len/pident 10/100.0
blastn	2	22320	22311	basic	len/pident 10/100.0
blastn	2	27599	27588	basic	len/pident 13/92.308
blastn	2	33416	33407	basic	len/pident 10/100.0
blastn	2	35718	35727	basic	len/pident 10/100.0
blastn	2	38287	38296	basic	len/pident 10/100.0
blastn	2	44364	44378	basic	len/pident 15/86.667
blastn	2	47092	47101	basic	len/pident 10/100.0
blastn	2	49435	49447	basic	len/pident 13/92.308
blastn	2	52243	52252	basic	len/pident 10/100.0
blastn	2	11671	11660	basic	len/pident 12/91.667
