exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	3	116	2003	2116	100.0	38	97.7	5.79e-25	2	tblastx:e1e1
1	2	115	2002	2115	100.0	38	94.1	7.34e-24	1	tblastx:e1e1
1	115	2	2115	2002	100.0	38	93.2	1.39e-23	-1	tblastx:e1e1
1	116	3	2116	2003	100.0	38	92.3	2.62e-23	-3	tblastx:e1e1
1	1	114	2001	2114	100.0	38	91.3	4.94e-23	3	tblastx:e1e1
1	114	1	2114	2001	100.0	38	87.0	1.02e-21	-2	tblastx:e1e1
1	87	110	5751	5774	87.5	8	21.2	0.063	3	tblastx:e1e1
1	48	19	1871	1900	70.0	10	20.4	0.1	2	tblastx:e1e1
1	11	49	1908	1870	53.846	13	19.9	0.16	-1	tblastx:e1e1
1	2	55	10743	10796	33.333	18	19.4	0.22	3	tblastx:e1e1
1	91	8	2325	2242	32.143	28	17.6	0.8	-1	tblastx:e1e1
1	104	90	12014	12000	100.0	5	17.1	1.1	-2	tblastx:e1e1
1	78	110	5645	5613	54.545	11	16.6	1.5	-2	tblastx:e1e1
1	66	89	11170	11193	62.5	8	16.6	1.5	1	tblastx:e1e1
1	45	77	1927	1959	45.455	11	15.7	2.8	1	tblastx:e1e1
1	26	70	9963	9919	40.0	15	15.7	2.8	-1	tblastx:e1e1
1	77	115	6211	6173	46.154	13	15.7	2.8	-3	tblastx:e1e1
1	79	96	1719	1702	83.333	6	15.7	2.8	-1	tblastx:e1e1
1	44	91	11838	11885	43.75	16	15.3	3.9	3	tblastx:e1e1
1	54	95	12088	12129	42.857	14	15.3	3.9	1	tblastx:e1e1
1	8	88	2166	2246	33.333	27	14.8	5.4	3	tblastx:e1e1
1	55	102	8387	8434	31.25	16	14.8	5.4	2	tblastx:e1e1
1	36	89	348	295	38.889	18	14.4	7.4	-1	tblastx:e1e1
2	1	144	2291	2434	100.0	48	124.0	5.98e-33	2	tblastx:e1e1
2	2	145	2292	2435	100.0	48	122.0	4.02e-32	3	tblastx:e1e1
2	144	1	2434	2291	100.0	48	122.0	4.17e-32	-3	tblastx:e1e1
2	3	143	2293	2433	100.0	47	118.0	3.98e-31	1	tblastx:e1e1
2	145	2	2435	2292	100.0	48	112.0	2.39e-29	-2	tblastx:e1e1
2	143	3	2433	2293	100.0	47	115.0	6.35e-29	-1	tblastx:e1e1
2	18	4	2185	2171	80.0	5	15.7	6.35e-29	-3	tblastx:e1e1
2	111	1	1758	1868	32.432	37	22.1	0.049	3	tblastx:e1e1
2	78	10	2297	2365	43.478	23	18.5	0.62	2	tblastx:e1e1
2	7	75	2368	2300	43.478	23	18.5	0.62	-3	tblastx:e1e1
2	48	86	3203	3241	38.462	13	17.0	1.6	2	tblastx:e1e1
2	27	4	1854	1877	62.5	8	16.2	3.0	3	tblastx:e1e1
2	145	122	6704	6727	62.5	8	16.2	3.0	2	tblastx:e1e1
2	18	4	6887	6901	80.0	5	16.2	3.0	2	tblastx:e1e1
2	10	39	11003	11032	60.0	10	15.7	4.0	2	tblastx:e1e1
2	21	7	11111	11097	80.0	5	15.7	4.2	-2	tblastx:e1e1
2	61	41	4062	4082	71.429	7	15.7	4.2	3	tblastx:e1e1
2	21	1	2198	2218	57.143	7	15.3	5.7	2	tblastx:e1e1
2	21	1	2206	2226	57.143	7	15.3	5.7	1	tblastx:e1e1
