method	exon_index	sstart	send	reason	detail
blastn	1	6687	6672	basic	len/pident 17/94.118
blastn	1	5154	5138	basic	len/pident 17/88.235
blastn	1	7220	7231	basic	len/pident 12/100.0
blastn	1	8322	8336	basic	len/pident 15/93.333
blastn	1	17828	17841	basic	len/pident 15/93.333
blastn	1	18890	18874	basic	len/pident 17/88.235
blastn	1	19303	19292	basic	len/pident 12/100.0
blastn	1	5284	5300	basic	len/pident 17/88.235
blastn	1	9762	9775	basic	len/pident 14/92.857
blastn	1	2320	2335	basic	len/pident 16/87.5
blastn	1	6097	6082	basic	len/pident 16/87.5
blastn	1	10032	10047	basic	len/pident 16/87.5
blastn	1	14140	14150	basic	len/pident 11/100.0
blastn	1	896	884	basic	len/pident 13/92.308
blastn	1	10979	10991	basic	len/pident 13/92.308
blastn	1	13513	13501	basic	len/pident 13/92.308
blastn	1	19619	19631	basic	len/pident 13/92.308
blastn	1	19986	20000	basic	len/pident 16/87.5
blastn	1	2353	2367	basic	len/pident 15/86.667
blastn	1	3982	3973	basic	len/pident 10/100.0
blastn	1	4529	4518	basic	len/pident 13/92.308
blastn	1	4622	4631	basic	len/pident 10/100.0
blastn	1	5155	5146	basic	len/pident 10/100.0
blastn	1	10971	10962	basic	len/pident 10/100.0
blastn	1	10973	10964	basic	len/pident 10/100.0
blastn	1	10993	11007	basic	len/pident 15/86.667
blastn	1	11035	11026	basic	len/pident 10/100.0
blastn	1	12269	12255	basic	len/pident 15/86.667
blastn	1	12717	12706	basic	len/pident 13/92.308
blastn	1	13415	13429	basic	len/pident 15/86.667
blastn	1	13564	13573	basic	len/pident 10/100.0
blastn	1	15079	15070	basic	len/pident 10/100.0
blastn	1	15944	15958	basic	len/pident 15/86.667
blastn	1	16661	16675	basic	len/pident 15/86.667
blastn	1	17076	17089	basic	len/pident 16/87.5
blastn	1	17898	17907	basic	len/pident 10/100.0
blastn	1	19965	19974	basic	len/pident 10/100.0
blastn	1	4917	4903	basic	len/pident 15/86.667
blastn	1	8164	8175	basic	len/pident 12/91.667
blastn	1	10167	10183	basic	len/pident 17/82.353
blastn	1	10315	10331	basic	len/pident 17/82.353
blastn	1	11079	11068	basic	len/pident 12/91.667
blastn	1	13236	13225	basic	len/pident 12/91.667
blastn	1	13558	13547	basic	len/pident 12/91.667
blastn	1	15236	15247	basic	len/pident 12/91.667
blastn	1	15751	15735	basic	len/pident 17/82.353
blastn	1	15754	15743	basic	len/pident 12/91.667
blastn	1	16959	16970	basic	len/pident 12/91.667
blastn	1	17155	17144	basic	len/pident 12/91.667
blastn	1	17594	17583	basic	len/pident 12/91.667
blastn	1	17821	17832	basic	len/pident 12/91.667
blastn	1	18283	18272	basic	len/pident 12/91.667
blastn	1	18473	18462	basic	len/pident 12/91.667
blastn	1	18628	18617	basic	len/pident 12/91.667
blastn	1	19731	19747	basic	len/pident 17/82.353
blastn	1	747	739	basic	len/pident 9/100.0
blastn	1	747	739	basic	len/pident 9/100.0
blastn	1	752	765	basic	len/pident 14/85.714
blastn	1	807	815	basic	len/pident 9/100.0
blastn	1	897	889	basic	len/pident 9/100.0
blastn	1	967	954	basic	len/pident 14/85.714
blastn	1	1030	1038	basic	len/pident 9/100.0
blastn	1	1205	1197	basic	len/pident 9/100.0
blastn	1	2109	2117	basic	len/pident 9/100.0
blastn	1	3235	3227	basic	len/pident 9/100.0
blastn	1	3239	3247	basic	len/pident 9/100.0
blastn	1	3841	3849	basic	len/pident 9/100.0
blastn	1	4709	4701	basic	len/pident 9/100.0
blastn	1	4720	4728	basic	len/pident 9/100.0
blastn	1	4761	4753	basic	len/pident 9/100.0
blastn	1	5072	5080	basic	len/pident 9/100.0
blastn	1	5588	5580	basic	len/pident 9/100.0
blastn	1	5663	5655	basic	len/pident 9/100.0
blastn	1	5806	5814	basic	len/pident 9/100.0
blastn	1	6034	6026	basic	len/pident 9/100.0
blastn	1	6161	6153	basic	len/pident 9/100.0
blastn	1	7301	7309	basic	len/pident 9/100.0
blastn	1	8535	8527	basic	len/pident 9/100.0
blastn	1	8634	8642	basic	len/pident 9/100.0
blastn	1	8990	8982	basic	len/pident 9/100.0
blastn	1	9445	9453	basic	len/pident 9/100.0
