method	exon_index	sstart	send	reason	detail
blastn	1	3681	3668	basic	len/pident 14/100.0
blastn	1	2201	2217	basic	len/pident 17/88.235
blastn	1	3651	3667	basic	len/pident 17/88.235
blastn	1	5059	5045	basic	len/pident 15/93.333
blastn	1	11093	11104	basic	len/pident 12/100.0
blastn	1	3105	3090	basic	len/pident 17/88.235
blastn	1	3319	3303	basic	len/pident 17/88.235
blastn	1	4039	4052	basic	len/pident 14/92.857
blastn	1	4767	4754	basic	len/pident 14/92.857
blastn	1	1351	1361	basic	len/pident 11/100.0
blastn	1	1947	1937	basic	len/pident 11/100.0
blastn	1	2346	2356	basic	len/pident 11/100.0
blastn	1	3262	3272	basic	len/pident 11/100.0
blastn	1	4958	4948	basic	len/pident 11/100.0
blastn	1	5545	5535	basic	len/pident 11/100.0
blastn	1	8422	8438	basic	len/pident 17/88.235
blastn	1	9688	9676	basic	len/pident 14/92.857
blastn	1	9956	9968	basic	len/pident 14/92.857
blastn	1	10040	10030	basic	len/pident 11/100.0
blastn	1	10379	10394	basic	len/pident 16/87.5
blastn	1	10829	10839	basic	len/pident 11/100.0
blastn	1	11869	11855	basic	len/pident 17/88.235
blastn	1	119	134	basic	len/pident 16/87.5
blastn	1	459	471	basic	len/pident 13/92.308
blastn	1	1345	1357	basic	len/pident 13/92.308
blastn	1	3789	3801	basic	len/pident 13/92.308
blastn	1	5849	5861	basic	len/pident 13/92.308
blastn	1	5987	5975	basic	len/pident 13/92.308
blastn	1	7560	7548	basic	len/pident 13/92.308
blastn	1	9778	9766	basic	len/pident 13/92.308
blastn	1	9889	9906	low_complexity	entropy<0.5 fraction
blastn	1	9895	9912	low_complexity	entropy<0.5 fraction
blastn	1	11529	11541	basic	len/pident 13/92.308
blastn	1	217	208	basic	len/pident 10/100.0
blastn	1	941	932	basic	len/pident 10/100.0
blastn	1	935	949	basic	len/pident 15/86.667
blastn	1	939	948	basic	len/pident 10/100.0
blastn	1	1257	1266	basic	len/pident 10/100.0
blastn	1	2070	2079	basic	len/pident 10/100.0
blastn	1	2132	2123	basic	len/pident 10/100.0
blastn	1	2192	2183	basic	len/pident 10/100.0
blastn	1	2546	2537	basic	len/pident 10/100.0
blastn	1	2647	2638	basic	len/pident 10/100.0
blastn	1	3050	3036	basic	len/pident 15/86.667
blastn	1	3367	3353	basic	len/pident 15/86.667
blastn	1	3660	3669	basic	len/pident 10/100.0
blastn	1	3712	3703	basic	len/pident 10/100.0
blastn	1	4817	4826	basic	len/pident 10/100.0
blastn	1	5572	5563	basic	len/pident 10/100.0
blastn	1	5585	5576	basic	len/pident 10/100.0
blastn	1	7457	7443	basic	len/pident 15/86.667
blastn	1	8261	8275	basic	len/pident 15/86.667
blastn	1	9478	9469	basic	len/pident 10/100.0
blastn	1	9736	9722	basic	len/pident 15/86.667
blastn	1	9976	9985	basic	len/pident 10/100.0
blastn	1	10027	10036	basic	len/pident 10/100.0
blastn	1	10753	10739	basic	len/pident 15/86.667
blastn	1	11046	11037	basic	len/pident 10/100.0
blastn	1	11575	11584	basic	len/pident 10/100.0
blastn	1	11789	11798	basic	len/pident 10/100.0
blastn	2	10514	10530	basic	len/pident 17/88.235
blastn	2	11282	11292	basic	len/pident 11/100.0
blastn	2	4846	4835	basic	len/pident 13/92.308
blastn	2	5759	5768	basic	len/pident 10/100.0
blastn	2	6989	6980	basic	len/pident 10/100.0
blastn	2	1347	1331	basic	len/pident 17/82.353
blastn	2	3637	3648	basic	len/pident 12/91.667
blastn	2	5385	5372	basic	len/pident 15/86.667
blastn	2	5942	5956	basic	len/pident 15/86.667
blastn	2	9969	9958	basic	len/pident 12/91.667
blastn	2	2594	2602	basic	len/pident 9/100.0
blastn	2	5006	5019	basic	len/pident 14/85.714
blastn	2	5216	5229	basic	len/pident 14/85.714
blastn	2	7893	7882	basic	len/pident 12/91.667
blastn	2	9262	9270	basic	len/pident 9/100.0
blastn	2	9311	9303	basic	len/pident 9/100.0
blastn	2	9586	9594	basic	len/pident 9/100.0
blastn	2	10704	10712	basic	len/pident 9/100.0
blastn	2	5782	5797	basic	len/pident 16/81.25
