exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	860	2001	2860	100.0	860	exon	exon
1	420	461	4119	4163	77.778	45	exon	exon
1	57	186	2186	2057	66.197	142	exon	intron
1	643	665	9830	9808	91.304	23	exon	intron
1	417	445	2028	2003	82.759	29	exon	intron
1	3	28	2445	2417	82.759	29	exon	intron
1	423	453	10740	10709	81.25	32	exon	intron
1	153	189	5436	5406	78.378	37	exon	intron
1	158	220	9475	9532	71.212	66	exon	intron
1	150	225	9501	9584	67.816	87	exon	intron
1	1	19	2644	2663	90.0	20	exon	exon
1	825	854	15142	15114	80.0	30	exon	intron
1	825	854	25784	25812	80.0	30	exon	intron
1	634	663	1995	2021	77.419	31	exon	exon
1	10	43	9859	9828	76.471	34	exon	intron
1	826	851	12588	12618	77.419	31	exon	intron
1	2	23	15382	15402	86.364	22	exon	intron
1	718	743	22946	22972	81.481	27	exon	intron
1	353	436	5548	5452	65.686	102	exon	intron
1	779	799	6173	6198	80.769	26	exon	exon
1	763	787	22868	22843	80.769	26	exon	intron
1	114	131	24298	24315	88.889	18	exon	intron
1	603	618	25070	25053	88.889	18	exon	intron
1	650	684	5295	5325	74.286	35	exon	exon
1	4	28	9257	9281	80.0	25	exon	intron
1	1	26	10722	10752	74.194	31	exon	intron
1	420	437	11264	11283	85.0	20	exon	intron
1	217	255	16322	16361	72.093	43	exon	intron
1	564	586	18510	18491	82.609	23	exon	intron
1	796	813	21451	21432	85.0	20	exon	intron
1	776	798	23341	23365	80.769	26	exon	intron
1	420	441	2022	2001	81.818	22	exon	intron
1	1	22	2441	2420	81.818	22	exon	intron
1	201	228	18931	18953	75.0	28	exon	CDS
1	825	854	27359	27387	76.667	30	exon	intron
1	644	662	2007	2025	84.211	19	exon	exon
1	7	25	2644	2662	84.211	19	exon	exon
1	633	651	8533	8551	84.211	19	exon	exon
1	2	25	10706	10736	74.194	31	exon	intron
1	649	670	10722	10748	77.778	27	exon	intron
1	835	859	19495	19516	76.923	26	exon	CDS
1	635	656	25180	25160	81.818	22	exon	intron
1	42	60	27766	27784	84.211	19	exon	intron
1	646	666	11281	11261	80.952	21	exon	intron
1	1	22	15611	15633	79.167	24	exon	intron
2	1	1728	3422	5149	100.0	1728	exon	exon
2	698	742	2420	2461	77.778	45	exon	exon
2	359	392	12438	12468	79.412	34	exon	intron
2	1467	1499	12891	12924	80.0	35	exon	intron
2	1000	1044	15948	15904	75.51	49	exon	intron
2	1415	1436	22306	22327	86.364	22	exon	intron
2	1283	1316	1933	1964	77.143	35	exon	intron
2	734	754	18229	18249	85.714	21	exon	intron
2	438	465	3886	3859	78.571	28	exon	intron
2	1133	1152	7599	7579	85.714	21	exon	intron
2	1670	1687	9993	9976	88.889	18	exon	intron
2	1353	1370	13805	13822	88.889	18	exon	intron
2	83	110	17849	17822	78.571	28	exon	intron
2	1414	1442	19436	19407	77.419	31	exon	intron
2	698	720	27690	27712	82.609	23	exon	intron
2	1143	1164	9986	9960	77.778	27	exon	intron
2	712	728	17956	17939	88.889	18	exon	intron
2	1639	1673	18363	18400	73.684	38	exon	intron
2	1456	1478	19401	19422	82.609	23	exon	CDS
2	1249	1268	24048	24031	85.0	20	exon	intron
2	1216	1239	3447	3423	80.0	25	exon	intron
2	2	26	4660	4637	80.0	25	exon	intron
2	106	137	11898	11869	75.758	33	exon	intron
2	92	110	11982	12001	85.0	20	exon	intron
2	1102	1138	14013	13977	72.973	37	exon	intron
2	39	57	16083	16102	85.0	20	exon	intron
2	695	713	23204	23222	84.211	19	exon	intron
2	429	452	25568	25547	79.167	24	exon	intron
3	1	3664	5316	8979	100.0	3664	exon	CDS
3	324	476	27800	27945	74.691	162	exon	intron
3	326	463	12858	12993	74.126	143	exon	intron
3	370	431	23315	23258	90.323	62	exon	intron
3	324	471	20630	20783	70.886	158	exon	intron
3	324	471	22078	21925	70.0	160	exon	intron
3	408	469	15146	15210	76.471	68	exon	intron
3	324	394	26091	26160	76.056	71	exon	intron
3	324	465	9473	9332	66.892	148	exon	intron
3	408	474	25780	25708	73.333	75	exon	intron
3	2614	2639	7449	7424	92.308	26	exon	intron
