intron_index	start	end	length_bp	raw_exon_to_intron_hits	contributing_exons
1	1	2000	2000	2	1
2	2431	56748	54318	14	1,2,5,6,8,9,10,11,16
3	56894	64297	7404	1	18
4	64425	69243	4819	2	9,14
5	69350	69857	508	0	-
6	69995	72315	2321	1	13
7	72444	76105	3662	0	-
8	76191	77426	1236	0	-
9	77533	78882	1350	0	-
10	78996	81813	2818	0	-
11	81882	82909	1028	0	-
12	82997	85018	2022	0	-
13	85109	85211	103	0	-
14	85249	87249	2001	0	-
15	87364	89463	2100	0	-
16	89512	90231	720	0	-
17	90305	95369	5065	0	-
18	95475	101982	6508	0	-
19	102093	103763	1671	0	-
20	103902	105028	1127	0	-
21	105107	113037	7931	2	3,14
22	113296	123515	10220	3	1,5,6
23	126149	128148	2000	0	-
