exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	2001	2120	100.0	120	181.0	8.94e-49	blastn,tblastx	2060.5
1	4478	4520	81.818	22	20.8	0.22	blastn,tblastx	4510.0
1	18852	18803	80.0	30	25.9	0.083	blastn,tblastx	18828.5
2	2252	2473	100.0	223	334.0	1.58e-94	blastn,tblastx	2362.0
2	4332	4322	73.684	38	21.4	3.8	blastn,tblastx	4316.0
2	24306	24344	82.609	23	19.9	4.9	blastn,tblastx	24315.5
2	28758	28745	76.667	30	19.2	4.2	blastn,tblastx	28751.5
2	31676	31724	68.75	48	19.4	1.1	blastn,tblastx	31687.5
3	1354	1372	79.167	24	23.1	0.53	blastn,tblastx	1363.0
3	1790	1919	65.563	151	32.6	0.004	blastn,tblastx	1861.75
3	1944	1952	69.608	102	34.8	0.001	blastn,tblastx	1952.5
3	2574	2578	69.643	56	21.4	9.2	blastn,tblastx	2579.5
3	4430	4431	100.0	713	1062.0	0.0	blastn,tblastx	4431.0
3	4730	4772	83.333	22	21.7	1.4	blastn,tblastx	4751.0
3	4854	4844	66.949	118	30.3	0.028	blastn,tblastx	4842.5
3	6138	6098	77.778	27	20.7	0.23	blastn,tblastx	6118.25
3	10106	10084	83.333	21	21.7	1.4	blastn,tblastx	10094.75
3	12424	12468	73.529	34	23.5	0.33	blastn,tblastx	12442.5
3	13309	13353	80.952	23	25.8	0.079	blastn,tblastx	13330.25
3	15580	15540	77.273	22	20.8	2.6	blastn,tblastx	15560.5
3	22427	22368	72.0	50	25.1	0.23	blastn,tblastx	22405.5
3	25338	25352	72.5	40	19.9	0.42	blastn,tblastx	25342.0
4	7491	7475	80.0	25	20.7	0.76	blastn,tblastx	7486.0
4	8012	8012	100.0	147	221.0	9.61e-61	blastn,tblastx	8012.0
4	11633	11588	80.0	24	18.0	3.1	blastn,tblastx	11610.5
4	17557	17588	73.333	30	18.4	3.0	blastn,tblastx	17568.5
4	18937	18962	79.167	24	19.9	0.59	blastn,tblastx	18949.25
4	19311	19282	84.211	26	19.9	6.2	blastn,tblastx	19296.25
4	19778	19739	75.862	29	19.4	0.091	blastn,tblastx	19763.5
5	2453	2414	84.211	21	18.5	0.92	blastn,tblastx	2433.5
5	11669	11774	100.0	106	160.0	1.38e-42	blastn,tblastx	11721.5
6	13842	14013	100.0	173	259.0	2.73e-72	blastn,tblastx	13927.0
6	29177	29161	80.0	25	21.4	2.9	blastn,tblastx	29169.0
7	14975	15089	100.0	116	175.0	5.26e-47	blastn,tblastx	15032.5
8	14348	14328	73.529	34	19.2	5.5	blastn,tblastx	14346.5
8	16220	16220	100.0	178	267.0	1.64e-74	blastn,tblastx	16219.5
9	17889	17890	100.0	199	298.0	7.57e-84	blastn,tblastx	17889.0
9	31312	31328	76.0	25	19.2	0.1	blastn,tblastx	31317.75
10	21488	21678	100.0	191	286.0	2.73e-80	blastn,tblastx	21583.0
10	26205	26243	88.889	20	21.4	1.7	blastn,tblastx	26224.0
11	2974	2965	69.048	42	20.3	0.63	blastn,tblastx	2969.5
11	22598	22598	100.0	184	276.0	3.53e-77	blastn,tblastx	22597.5
11	27478	27519	85.0	21	19.9	0.35	blastn,tblastx	27508.75
11	31096	31054	81.818	22	19.9	3.1	blastn,tblastx	31074.75
12	23576	23708	100.0	134	201.0	5.58e-55	blastn,tblastx	23642.5
13	14424	14464	81.818	22	19.2	6.9	blastn,tblastx	14437.0
13	25956	25956	100.0	257	384.0	1.15e-109	blastn,tblastx	25956.0
13	31498	31550	78.947	29	20.8	0.75	blastn,tblastx	31523.5
14	27252	27443	100.0	192	288.0	9.81e-81	blastn,tblastx	27347.5
15	11063	11082	83.333	18	18.9	2.6	blastn,tblastx	11077.75
15	27853	27854	100.0	253	378.0	6.96e-108	blastn,tblastx	27853.0
16	28086	28194	100.0	111	167.0	8.55e-45	blastn,tblastx	28140.0
17	28380	28380	100.0	193	289.0	3.52e-81	blastn,tblastx	28380.0
18	29132	29282	100.0	153	230.0	2.09e-63	blastn,tblastx	29207.0
19	29693	29694	100.0	113	170.0	1.12e-45	blastn,tblastx	29693.0
20	30352	30354	100.0	118	178.0	6.86e-48	blastn,tblastx	30353.5
21	19338	19390	73.077	52	22.2	1.4	blastn,tblastx	19366.0
21	31400	31401	100.0	233	349.0	5.6e-99	blastn,tblastx	31401.0
