metric	value
hits:exon->CDS	24
hits:exon->exon	12
hits:exon->intron	577
copies:exon_to_intron_total	569
copies:exon_01_(2001-2207)	52
copies:exon_02_(3645-7657)	27
copies:exon_03_(20112-20348)	14
copies:exon_04_(21374-21600)	16
copies:exon_05_(25926-26090)	7
copies:exon_06_(51162-51173)	0
copies:exon_07_(55317-55428)	9
copies:exon_08_(65832-65941)	28
copies:exon_09_(120592-120705)	17
copies:exon_10_(124925-124942)	6
copies:exon_11_(126140-126169)	7
copies:exon_12_(127827-127875)	29
copies:exon_13_(131454-131524)	34
copies:exon_14_(134867-134953)	42
copies:exon_15_(136541-136679)	41
copies:exon_16_(139369-139436)	25
copies:exon_17_(139718-139853)	31
copies:exon_18_(142080-142222)	44
copies:exon_19_(144413-144573)	24
copies:exon_20_(145477-145575)	22
copies:exon_21_(145787-145990)	20
copies:exon_22_(147468-147617)	38
copies:exon_23_(156503-156576)	17
copies:exon_24_(167866-169393)	19
intron:total_raw_exon_to_intron_hits	560
intron:total_clustered_copies	506
intron_01_(1-2000):raw_hits	13
intron_01_(1-2000):clustered_copies	12
intron_02_(2208-3644):raw_hits	5
intron_02_(2208-3644):clustered_copies	4
intron_03_(7658-20111):raw_hits	39
intron_03_(7658-20111):clustered_copies	37
intron_04_(20349-21373):raw_hits	3
intron_04_(20349-21373):clustered_copies	3
intron_05_(21601-25925):raw_hits	17
intron_05_(21601-25925):clustered_copies	15
intron_06_(26091-51161):raw_hits	79
intron_06_(26091-51161):clustered_copies	72
intron_07_(51174-55316):raw_hits	11
intron_07_(51174-55316):clustered_copies	10
intron_08_(55429-65831):raw_hits	32
intron_08_(55429-65831):clustered_copies	28
intron_09_(65942-120591):raw_hits	192
intron_09_(65942-120591):clustered_copies	175
intron_10_(120706-124924):raw_hits	11
intron_10_(120706-124924):clustered_copies	11
intron_11_(124943-126139):raw_hits	4
intron_11_(124943-126139):clustered_copies	4
intron_12_(126170-127826):raw_hits	3
intron_12_(126170-127826):clustered_copies	3
intron_13_(127876-131453):raw_hits	19
intron_13_(127876-131453):clustered_copies	17
intron_14_(131525-134866):raw_hits	6
intron_14_(131525-134866):clustered_copies	6
intron_15_(134954-136540):raw_hits	3
intron_15_(134954-136540):clustered_copies	3
intron_16_(136680-139368):raw_hits	11
intron_16_(136680-139368):clustered_copies	11
intron_17_(139437-139717):raw_hits	3
intron_17_(139437-139717):clustered_copies	3
intron_18_(139854-142079):raw_hits	6
intron_18_(139854-142079):clustered_copies	4
intron_19_(142223-144412):raw_hits	6
intron_19_(142223-144412):clustered_copies	6
intron_20_(144574-145476):raw_hits	3
intron_20_(144574-145476):clustered_copies	2
intron_21_(145576-145786):raw_hits	1
intron_21_(145576-145786):clustered_copies	1
intron_22_(145991-147467):raw_hits	5
intron_22_(145991-147467):clustered_copies	4
intron_23_(147618-156502):raw_hits	44
intron_23_(147618-156502):clustered_copies	36
intron_24_(156577-167865):raw_hits	38
intron_24_(156577-167865):clustered_copies	33
intron_25_(169394-171393):raw_hits	6
intron_25_(169394-171393):clustered_copies	6
