exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	2001	5828	100.0	3828	5691.0	0.0	blastn,tblastx	3914.5
1	9583	9536	75.0	40	24.0	4.0	blastn,tblastx	9560.5
1	15482	15428	82.609	29	22.2	7.6	blastn,tblastx	15458.0
1	15577	15564	72.093	86	37.8	0.003	blastn,tblastx	15571.5
1	18160	18122	90.909	22	27.4	4.5	blastn,tblastx	18132.5
1	34536	34466	75.61	41	33.6	0.0001	blastn,tblastx	34501.0
1	39366	39407	82.609	23	26.7	0.91	blastn,tblastx	39386.75
1	43714	43734	89.286	28	32.6	0.073	blastn,tblastx	43724.0
1	60126	60156	82.143	29	24.4	4.4	blastn,tblastx	60143.5
1	95584	95530	89.474	31	23.6	9.4	blastn,tblastx	95557.0
1	96546	96529	96.0	25	35.5	0.009	blastn,tblastx	96527.5
2	7477	7623	100.0	147	221.0	3.39e-60	blastn,tblastx	7550.0
2	40070	40062	72.0	50	23.6	0.21	blastn,tblastx	40060.5
2	73314	73266	83.333	27	18.4	8.0	blastn,tblastx	73299.5
2	95940	95980	81.818	22	22.1	0.4	blastn,tblastx	95959.75
3	7764	7950	100.0	188	282.0	2.1e-78	blastn,tblastx	7856.5
3	47022	47040	84.211	19	25.4	3.3	blastn,tblastx	47032.0
3	55948	55966	78.261	23	19.9	3.0	blastn,tblastx	55957.0
3	87447	87476	84.211	26	19.4	9.6	blastn,tblastx	87472.0
3	108090	108034	85.0	31	20.7	4.2	blastn,tblastx	108058.25
3	115996	115872	80.952	90	56.1	1.13e-29	blastn,tblastx	115924.5
4	8600	8601	100.0	127	191.0	2.49e-51	blastn,tblastx	8601.0
5	1434	1441	72.414	58	26.6	1.2	blastn,tblastx	1437.5
5	12596	12596	100.0	135	203.0	7.07e-55	blastn,tblastx	12596.0
6	12829	12830	100.0	128	193.0	8.9e-52	blastn,tblastx	12829.5
7	14018	14120	100.0	105	158.0	1.32e-41	blastn,tblastx	14069.0
8	16324	16516	100.0	193	289.0	1.26e-80	blastn,tblastx	16420.0
8	118705	118664	80.0	25	25.8	1.59e-30	blastn,tblastx	118690.5
9	25548	25549	100.0	332	496.0	1.56e-142	blastn,tblastx	25548.5
9	62513	62476	88.889	19	22.2	4.6	blastn,tblastx	62485.5
9	116366	116324	68.571	70	45.1	6.19e-08	blastn,tblastx	116342.5
10	26296	26426	100.0	132	198.0	1.51e-53	blastn,tblastx	26361.5
10	115396	115364	81.25	32	41.4	1.13e-29	blastn,tblastx	115374.0
11	28690	28692	100.0	304	454.0	4.72e-130	blastn,tblastx	28690.5
11	30320	30334	75.0	32	24.0	8.5	blastn,tblastx	30338.5
11	60597	60617	84.0	25	22.9	5.7	blastn,tblastx	60610.0
11	106364	106436	69.355	62	20.7	4.6	blastn,tblastx	106404.0
12	29646	29802	100.0	159	239.0	1.61e-65	blastn,tblastx	29724.0
12	96876	96868	64.948	97	22.9	3.0	blastn,tblastx	96878.0
12	116346	116220	80.0	91	39.6	1.65e-07	blastn,tblastx	116274.0
13	5360	5336	85.0	23	20.7	4.3	blastn,tblastx	5339.5
13	30484	30613	100.0	131	197.0	4.18e-53	blastn,tblastx	30549.0
13	33698	33650	81.818	39	36.1	6.23e-05	blastn,tblastx	33663.0
14	33270	33451	100.0	183	274.0	3.5e-76	blastn,tblastx	33361.0
14	33428	33443	86.957	23	25.9	0.49	blastn,tblastx	33431.0
15	33529	33693	100.0	165	248.0	3.49e-68	blastn,tblastx	33611.0
15	112796	112760	88.889	20	20.7	4.7	blastn,tblastx	112782.5
16	34466	34468	100.0	198	297.0	7.51e-83	blastn,tblastx	34466.5
16	87386	87366	76.316	38	26.3	0.038	blastn,tblastx	87384.5
17	34928	34930	100.0	210	314.0	3.46e-88	blastn,tblastx	34928.5
17	110694	110711	85.714	21	22.9	1.4	blastn,tblastx	110713.0
18	36764	36911	100.0	150	225.0	1.58e-61	blastn,tblastx	36837.5
18	118548	118473	77.778	59	61.1	4.94e-15	blastn,tblastx	118501.5
19	20745	20720	80.0	23	20.3	3.5	blastn,tblastx	20732.75
19	46828	47079	100.0	252	377.0	6.96e-107	blastn,tblastx	46953.5
19	97745	97701	79.167	24	19.9	6.6	blastn,tblastx	97723.0
20	48014	48016	100.0	126	190.0	6.91e-51	blastn,tblastx	48014.5
21	49174	49402	100.0	231	346.0	1.56e-97	blastn,tblastx	49288.0
22	8778	8742	76.923	32	18.0	7.0	blastn,tblastx	8759.5
22	53127	53128	100.0	147	221.0	3.39e-60	blastn,tblastx	53128.0
22	54660	54640	79.167	24	19.4	2.7	blastn,tblastx	54639.5
23	109255	109344	100.0	90	136.0	5.47e-35	blastn,tblastx	109299.5
24	115676	115624	86.957	42	32.7	1.13e-29	blastn,tblastx	115655.75
24	116708	116708	76.271	59	35.5	0.013	blastn,tblastx	116713.5
24	117668	117669	100.0	5289	7862.0	0.0	blastn,tblastx	117668.0
24	118972	119028	90.909	30	28.1	2.46e-09	blastn,tblastx	118997.5
24	119859	119784	76.0	50	32.6	3.6e-05	blastn,tblastx	119810.0
24	120010	119860	82.143	109	36.3	2.33e-09	blastn,tblastx	119944.0
