exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	1508	1578	80.556	72	56.3	3.9e-11	blastn,tblastx	1560.0
1	2082	2020	90.0	35	44.6	2.58e-08	blastn,tblastx	2032.5
1	2002	2357	100.0	358	534.0	3.57e-155	blastn,tblastx	2179.5
1	2268	2225	90.0	23	25.1	0.097	blastn,tblastx	2252.0
1	2637	2642	78.571	70	49.6	6.72e-09	blastn,tblastx	2636.0
1	3228	3314	72.881	59	28.8	0.002	blastn,tblastx	3271.0
1	3363	3306	74.286	35	20.7	0.49	blastn,tblastx	3339.0
1	3874	3841	80.952	29	23.1	0.023	blastn,tblastx	3863.75
1	5917	5877	75.862	36	21.7	0.006	blastn,tblastx	5897.0
1	6405	6334	75.862	38	19.9	1.4	blastn,tblastx	6369.75
1	7191	7150	84.211	22	19.9	1.3	blastn,tblastx	7170.25
1	7948	7894	76.0	29	18.5	1.2	blastn,tblastx	7937.25
1	9936	9960	83.333	22	18.9	0.29	blastn,tblastx	9949.5
2	3378	3398	78.261	23	18.9	2.0	blastn,tblastx	3388.0
2	3192	3689	100.0	498	742.0	0.0	blastn,tblastx	3440.5
2	3602	3656	79.167	29	19.2	0.74	blastn,tblastx	3618.25
2	4137	4076	71.875	50	18.4	3.1	blastn,tblastx	4106.25
2	5791	5734	78.571	29	21.4	2.0	blastn,tblastx	5766.75
2	6770	6808	78.261	23	19.2	5.0	blastn,tblastx	6793.75
3	4151	4360	100.0	210	314.0	3.17e-89	blastn,tblastx	4255.5
3	4844	4828	77.419	31	21.4	1.2	blastn,tblastx	4836.0
3	5794	5827	76.0	30	17.7	0.11	blastn,tblastx	5815.0
3	7532	7506	85.0	23	20.7	0.002	blastn,tblastx	7513.5
3	8114	8136	75.0	28	24.4	0.009	blastn,tblastx	8116.0
3	8549	8586	78.261	23	17.7	3.1	blastn,tblastx	8567.5
3	8731	8750	82.609	23	21.4	0.037	blastn,tblastx	8745.25
3	9556	9628	74.194	39	23.1	0.039	blastn,tblastx	9578.5
3	9895	9853	80.952	22	19.9	0.076	blastn,tblastx	9869.0
4	4641	4656	77.419	31	18.4	1.7	blastn,tblastx	4660.0
4	4774	4776	100.0	56	86.1	4.44e-21	blastn,tblastx	4774.5
4	8598	8646	76.667	30	22.2	0.076	blastn,tblastx	8628.0
5	4971	5084	100.0	114	172.0	1.34e-46	blastn,tblastx	5027.5
5	6639	6600	85.0	33	21.4	0.22	blastn,tblastx	6621.5
6	5235	5236	100.0	116	175.0	1.75e-47	blastn,tblastx	5232.5
6	5360	5437	71.429	42	24.4	0.012	blastn,tblastx	5414.5
6	6172	6129	80.769	26	20.7	0.29	blastn,tblastx	6143.5
6	8914	8849	69.62	79	26.7	0.002	blastn,tblastx	8889.0
6	9184	9232	79.167	25	24.4	0.006	blastn,tblastx	9217.0
7	4166	4140	71.154	52	19.2	2.4	blastn,tblastx	4148.0
7	5726	5728	100.0	220	329.0	1.12e-93	blastn,tblastx	5727.5
7	5948	5945	66.197	71	19.9	0.94	blastn,tblastx	5952.5
7	6353	6292	75.0	32	20.7	0.048	blastn,tblastx	6327.5
7	7014	7050	80.952	21	26.3	0.000123	blastn,tblastx	7030.0
7	9416	9442	84.0	25	24.4	0.000423	blastn,tblastx	9429.25
7	10590	10586	68.354	79	27.4	0.02	blastn,tblastx	10590.75
7	10690	10664	85.714	24	24.9	0.000509	blastn,tblastx	10676.5
8	6542	6543	100.0	94	142.0	9.32e-38	blastn,tblastx	6518.0
8	9746	9702	70.455	44	19.2	0.4	blastn,tblastx	9722.5
9	113	130	76.19	21	19.0	0.11	blastn,tblastx	119.0
9	6696	6698	100.0	66	100.0	1.9e-25	blastn,tblastx	6697.5
9	7468	7446	76.923	26	18.0	4.9	blastn,tblastx	7453.5
10	6868	6966	100.0	100	151.0	2.1e-40	blastn,tblastx	6916.5
11	7049	7132	100.0	85	129.0	8.6e-34	blastn,tblastx	7091.0
12	3746	3769	77.273	23	18.0	0.94	blastn,tblastx	3753.0
12	7268	7340	100.0	74	112.0	5.97e-29	blastn,tblastx	7304.5
13	7652	7654	100.0	196	294.0	5.35e-83	blastn,tblastx	7654.0
15	4456	4402	71.186	59	25.1	0.009	blastn,tblastx	4454.0
15	4944	4928	78.788	33	24.4	0.2	blastn,tblastx	4937.5
15	5288	5304	73.913	46	25.9	0.17	blastn,tblastx	5309.0
15	5684	5638	73.171	42	29.0	0.002	blastn,tblastx	5646.5
15	8185	8806	100.0	623	928.0	0.0	blastn,tblastx	8489.5
15	10260	10247	75.556	45	24.4	0.002	blastn,tblastx	10264.5
15	10390	10427	78.947	38	27.4	4.43e-05	blastn,tblastx	10404.5
15	10460	10504	90.0	24	28.6	0.003	blastn,tblastx	10469.5
