exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	1272	2001	3272	100.0	1272	exon	CDS
1	415	607	2607	2415	69.524	210	exon	intron
1	520	731	3494	3280	67.965	231	exon	intron
1	925	1065	3333	3469	67.516	157	exon	intron
1	937	1085	2413	2575	66.667	174	exon	exon
1	413	575	2937	3085	66.667	174	exon	exon
1	873	911	12507	12470	87.179	39	exon	intron
1	942	1087	2667	2533	66.883	154	exon	intron
1	533	667	3087	2942	66.883	154	exon	intron
1	1011	1110	4017	3913	69.725	109	exon	intron
1	1	80	19784	19870	71.91	89	exon	intron
1	425	765	2990	3323	63.325	379	exon	CDS
1	432	594	3311	3476	65.574	183	exon	intron
1	456	628	3489	3331	65.027	183	exon	intron
1	990	1185	2425	2629	64.815	216	exon	exon
1	990	1205	2599	2377	64.583	240	exon	intron
1	377	599	3205	2990	64.583	240	exon	intron
1	970	1043	3980	3900	70.93	86	exon	intron
1	427	596	4000	3822	64.948	194	exon	intron
1	945	1034	4213	4294	69.149	94	exon	CDS
1	875	900	12493	12467	92.593	27	exon	intron
1	1000	1074	2424	2492	71.429	77	exon	exon
1	519	602	2602	2519	68.085	94	exon	intron
1	424	492	3000	3074	71.429	77	exon	exon
1	1016	1177	3503	3351	66.272	169	exon	intron
1	562	732	3880	4047	63.298	188	exon	CDS
1	996	1073	2676	2755	67.816	87	exon	exon
1	676	755	2996	3073	67.816	87	exon	exon
1	955	1086	3484	3343	64.238	151	exon	intron
1	520	590	3845	3922	69.512	82	exon	intron
1	875	904	12499	12467	80.0	35	exon	intron
1	417	470	2470	2417	70.0	60	exon	intron
1	1039	1185	3185	3039	62.963	162	exon	intron
1	294	310	3861	3878	94.444	18	exon	intron
1	671	784	4197	4299	65.546	119	exon	CDS
1	1000	1022	5627	5648	86.957	23	exon	intron
1	448	478	1520	1490	78.788	33	exon	intron
1	1211	1229	1927	1946	90.0	20	exon	intron
1	656	708	2535	2593	69.355	62	exon	exon
1	535	593	2656	2708	69.355	62	exon	exon
1	947	1013	2690	2755	69.444	72	exon	exon
1	690	755	2947	3013	69.444	72	exon	exon
1	922	964	3857	3908	69.811	53	exon	intron
1	39	109	15797	15878	67.059	85	exon	intron
1	293	334	2334	2293	73.913	46	exon	intron
1	1037	1152	3085	2979	64.754	122	exon	intron
1	979	1085	3152	3037	64.754	122	exon	intron
1	958	992	3896	3862	73.684	38	exon	intron
1	100	128	15404	15432	80.0	30	exon	intron
1	690	718	16264	16297	74.286	35	exon	CDS
1	617	644	3847	3819	79.31	29	exon	intron
1	870	895	6108	6084	80.769	26	exon	intron
1	1142	1166	3026	3002	80.769	26	exon	intron
1	1002	1026	3166	3142	80.769	26	exon	intron
1	617	636	4337	4320	85.0	20	exon	intron
1	341	361	16691	16709	85.714	21	exon	exon
1	1140	1159	2695	2713	85.0	20	exon	exon
1	1108	1127	2758	2740	85.0	20	exon	intron
1	740	758	3127	3108	85.0	20	exon	intron
1	695	713	3140	3159	85.0	20	exon	CDS
1	868	887	12492	12471	81.818	22	exon	intron
1	930	948	15716	15735	85.0	20	exon	intron
