exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	2107	2073	77.273	30	20.1	0.47	blastn,tblastx	2079.5
1	2002	2284	100.0	285	426.0	3.6e-122	blastn,tblastx	2143.0
1	4295	4254	75.758	33	20.7	4.7	blastn,tblastx	4275.0
1	30768	30716	73.684	38	22.9	1.9	blastn,tblastx	30729.5
4	4120	4189	100.0	70	106.0	9.15e-27	blastn,tblastx	4154.5
4	9693	9738	79.167	24	18.9	0.95	blastn,tblastx	9715.25
4	10521	10586	77.778	51	20.3	6.3	blastn,tblastx	10564.5
4	13563	13661	75.862	74	24.4	0.39	blastn,tblastx	13605.5
5	4487	4472	82.609	23	21.4	1.1	blastn,tblastx	4466.0
5	4722	4850	100.0	129	194.0	8.54e-53	blastn,tblastx	4786.0
5	6434	6390	78.571	28	21.7	1.9	blastn,tblastx	6418.0
5	19512	19514	65.909	88	22.2	0.66	blastn,tblastx	19512.75
6	5836	6154	100.0	321	479.0	3.23e-138	blastn,tblastx	5995.0
6	8868	8882	68.293	41	25.1	0.047	blastn,tblastx	8875.0
6	14018	13980	74.0	50	28.1	0.031	blastn,tblastx	13998.5
6	23249	23324	83.333	45	26.7	0.08	blastn,tblastx	23294.5
6	28514	28562	81.818	26	20.3	6.8	blastn,tblastx	28537.0
7	538	508	80.0	29	22.1	1.9	blastn,tblastx	535.75
7	4906	4938	81.818	29	20.7	3.0	blastn,tblastx	4921.75
7	6589	6848	100.0	261	390.0	1.77e-111	blastn,tblastx	6718.0
7	10291	10268	89.474	22	22.9	0.95	blastn,tblastx	10267.0
7	13302	13274	83.333	24	20.8	0.95	blastn,tblastx	13286.5
7	21140	21192	88.889	40	22.2	1.5	blastn,tblastx	21163.5
7	21586	21624	71.429	36	23.5	0.11	blastn,tblastx	21615.5
8	8804	8804	100.0	291	435.0	7.63e-125	blastn,tblastx	8804.0
8	24695	24652	75.0	36	22.2	1.7	blastn,tblastx	24676.25
9	11942	11942	100.0	92	139.0	1.96e-36	blastn,tblastx	11941.5
9	21209	21230	81.25	32	28.8	0.007	blastn,tblastx	21225.0
10	14100	14100	100.0	1372	2041.0	0.0	blastn,tblastx	14099.5
11	28900	28901	100.0	695	1035.0	0.0	blastn,tblastx	28900.0
11	29790	29829	80.0	20	18.9	8.4	blastn,tblastx	29794.5
