metric	value
hits:exon->CDS	8
hits:exon->exon	9
hits:exon->intron	67
copies:exon_to_intron_total	62
copies:exon_01_(2001-2101)	11
copies:exon_02_(3824-3955)	18
copies:exon_03_(4388-4539)	8
copies:exon_04_(5127-6385)	25
intron:total_raw_exon_to_intron_hits	61
intron:total_clustered_copies	46
intron_01_(1-2000):raw_hits	16
intron_01_(1-2000):clustered_copies	12
intron_02_(2102-3823):raw_hits	19
intron_02_(2102-3823):clustered_copies	13
intron_03_(3956-4387):raw_hits	2
intron_03_(3956-4387):clustered_copies	2
intron_04_(4540-5126):raw_hits	4
intron_04_(4540-5126):clustered_copies	3
intron_05_(6386-8385):raw_hits	20
intron_05_(6386-8385):clustered_copies	16
