metric	value
hits:exon->CDS	4
hits:exon->intron	70
copies:exon_to_intron_total	62
copies:exon_01_(2001-2689)	27
copies:exon_02_(2959-3094)	15
copies:exon_03_(5048-5111)	6
copies:exon_04_(15552-15814)	14
intron:total_raw_exon_to_intron_hits	67
intron:total_clustered_copies	53
intron_01_(1-2000):raw_hits	10
intron_01_(1-2000):clustered_copies	7
intron_02_(2690-2958):raw_hits	0
intron_02_(2690-2958):clustered_copies	0
intron_03_(3095-5047):raw_hits	10
intron_03_(3095-5047):clustered_copies	6
intron_04_(5112-15551):raw_hits	37
intron_04_(5112-15551):clustered_copies	32
intron_05_(15815-17814):raw_hits	10
intron_05_(15815-17814):clustered_copies	8
