metric	value
hits:exon->CDS	44
hits:exon->exon	7
hits:exon->intron	368
copies:exon_to_intron_total	351
copies:exon_01_(2001-2120)	6
copies:exon_02_(2251-2473)	15
copies:exon_03_(4075-4787)	30
copies:exon_04_(7939-8085)	17
copies:exon_05_(11669-11774)	24
copies:exon_06_(13841-14013)	13
copies:exon_07_(14975-15090)	9
copies:exon_08_(16131-16308)	15
copies:exon_09_(17790-17988)	21
copies:exon_10_(21488-21678)	13
copies:exon_11_(22506-22689)	13
copies:exon_12_(23576-23709)	15
copies:exon_13_(25828-26084)	28
copies:exon_14_(27252-27443)	10
copies:exon_15_(27727-27979)	30
copies:exon_16_(28085-28195)	7
copies:exon_17_(28284-28476)	11
copies:exon_18_(29131-29283)	11
copies:exon_19_(29637-29749)	7
copies:exon_20_(30295-30412)	10
copies:exon_21_(31285-31517)	46
intron:total_raw_exon_to_intron_hits	348
intron:total_clustered_copies	253
intron_01_(1-2000):raw_hits	13
intron_01_(1-2000):clustered_copies	10
intron_02_(2121-2250):raw_hits	1
intron_02_(2121-2250):clustered_copies	1
intron_03_(2474-4074):raw_hits	24
intron_03_(2474-4074):clustered_copies	19
intron_04_(4788-7938):raw_hits	40
intron_04_(4788-7938):clustered_copies	27
intron_05_(8086-11668):raw_hits	40
intron_05_(8086-11668):clustered_copies	32
intron_06_(11775-13840):raw_hits	17
intron_06_(11775-13840):clustered_copies	12
intron_07_(14014-14974):raw_hits	16
intron_07_(14014-14974):clustered_copies	10
intron_08_(15091-16130):raw_hits	16
intron_08_(15091-16130):clustered_copies	10
intron_09_(16309-17789):raw_hits	15
intron_09_(16309-17789):clustered_copies	15
intron_10_(17989-21487):raw_hits	44
intron_10_(17989-21487):clustered_copies	33
intron_11_(21679-22505):raw_hits	9
intron_11_(21679-22505):clustered_copies	4
intron_12_(22690-23575):raw_hits	9
intron_12_(22690-23575):clustered_copies	7
intron_13_(23710-25827):raw_hits	21
intron_13_(23710-25827):clustered_copies	14
intron_14_(26085-27251):raw_hits	14
intron_14_(26085-27251):clustered_copies	8
intron_15_(27444-27726):raw_hits	5
intron_15_(27444-27726):clustered_copies	3
intron_16_(27980-28084):raw_hits	1
intron_16_(27980-28084):clustered_copies	1
intron_17_(28196-28283):raw_hits	3
intron_17_(28196-28283):clustered_copies	2
intron_18_(28477-29130):raw_hits	10
intron_18_(28477-29130):clustered_copies	7
intron_19_(29284-29636):raw_hits	2
intron_19_(29284-29636):clustered_copies	2
intron_20_(29750-30294):raw_hits	9
intron_20_(29750-30294):clustered_copies	7
intron_21_(30413-31284):raw_hits	7
intron_21_(30413-31284):clustered_copies	7
intron_22_(31518-33517):raw_hits	32
intron_22_(31518-33517):clustered_copies	22
