exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	1670	2001	3670	100.0	1670	2484.0	0.0	blastn:w7;e1e2
1	1529	1549	36806	36787	90.476	21	25.9	1.9	blastn:w7;e1e2
1	1529	1543	20355	20369	100.0	15	25.1	1.9	blastn:w7;e1e2
1	1029	1045	660	644	94.118	17	24.4	5.2	blastn:w7;e1e2
1	596	622	8350	8379	80.0	30	24.4	5.2	blastn:w7;e1e2
1	400	416	26820	26804	94.118	17	24.4	5.2	blastn:w7;e1e2
1	798	813	1381	1397	94.118	17	23.6	5.2	blastn:w7;e1e2
1	1205	1226	16295	16315	86.364	22	23.6	5.2	blastn:w7;e1e2
1	1263	1286	32703	32726	83.333	24	23.6	5.2	blastn:w7;e1e2
1	1633	1656	33668	33691	83.333	24	23.6	5.2	blastn:w7;e1e2
1	1543	1581	34070	34102	74.359	39	23.6	5.2	blastn:w7;e1e2
1	1347	1379	17257	17220	73.684	38	22.9	15.0	blastn:w7;e1e2
1	581	601	18759	18739	86.364	22	22.9	15.0	blastn:w7;e1e2
1	643	658	19353	19368	93.75	16	22.9	15.0	blastn:w7;e1e2
1	48	68	21351	21371	85.714	21	22.9	15.0	blastn:w7;e1e2
1	1527	1550	28666	28641	80.769	26	22.9	15.0	blastn:w7;e1e2
1	1365	1382	3031	3014	88.889	18	22.2	15.0	blastn:w7;e1e2
1	1014	1031	3382	3365	88.889	18	22.2	15.0	blastn:w7;e1e2
1	1608	1620	38789	38801	100.0	13	22.2	15.0	blastn:w7;e1e2
1	637	651	2651	2637	93.333	15	21.4	41.0	blastn:w7;e1e2
1	1513	1527	3821	3835	93.333	15	21.4	41.0	blastn:w7;e1e2
1	1363	1382	5329	5348	85.0	20	21.4	41.0	blastn:w7;e1e2
1	52	66	8539	8525	93.333	15	21.4	41.0	blastn:w7;e1e2
1	1036	1050	9391	9405	93.333	15	21.4	41.0	blastn:w7;e1e2
1	1526	1540	18401	18415	93.333	15	21.4	41.0	blastn:w7;e1e2
1	788	802	26095	26081	93.333	15	21.4	41.0	blastn:w7;e1e2
1	198	225	30719	30745	78.571	28	21.4	41.0	blastn:w7;e1e2
1	746	765	32617	32600	85.0	20	21.4	41.0	blastn:w7;e1e2
1	735	749	35844	35858	93.333	15	21.4	41.0	blastn:w7;e1e2
1	237	253	1947	1963	88.235	17	20.7	41.0	blastn:w7;e1e2
1	695	713	2088	2107	85.0	20	20.7	41.0	blastn:w7;e1e2
1	88	107	2695	2713	85.0	20	20.7	41.0	blastn:w7;e1e2
1	1043	1063	8723	8745	82.609	23	20.7	41.0	blastn:w7;e1e2
1	644	660	15104	15088	88.235	17	20.7	41.0	blastn:w7;e1e2
1	1318	1329	15327	15316	100.0	12	20.7	41.0	blastn:w7;e1e2
1	62	73	15884	15873	100.0	12	20.7	41.0	blastn:w7;e1e2
1	1333	1349	17795	17779	88.235	17	20.7	41.0	blastn:w7;e1e2
1	741	752	18888	18899	100.0	12	20.7	41.0	blastn:w7;e1e2
1	1248	1264	20093	20077	88.235	17	20.7	41.0	blastn:w7;e1e2
1	1354	1365	20539	20528	100.0	12	20.7	41.0	blastn:w7;e1e2
1	280	291	21315	21326	100.0	12	20.7	41.0	blastn:w7;e1e2
1	667	691	23397	23420	80.0	25	20.7	41.0	blastn:w7;e1e2
1	284	295	26445	26456	100.0	12	20.7	41.0	blastn:w7;e1e2
1	510	521	29450	29439	100.0	12	20.7	41.0	blastn:w7;e1e2
1	838	854	32135	32119	88.235	17	20.7	41.0	blastn:w7;e1e2
1	1565	1581	36644	36660	88.235	17	20.7	41.0	blastn:w7;e1e2
1	1532	1548	36785	36801	88.235	17	20.7	41.0	blastn:w7;e1e2
1	576	587	36841	36830	100.0	12	20.7	41.0	blastn:w7;e1e2
1	1049	1070	37162	37141	81.818	22	20.7	41.0	blastn:w7;e1e2
1	518	529	39226	39215	100.0	12	20.7	41.0	blastn:w7;e1e2
2	1	781	38849	39629	100.0	781	1163.0	0.0	blastn:w7;e1e2
2	525	555	978	1009	84.375	32	31.1	0.014	blastn:w7;e1e2
2	243	304	33448	33394	71.429	63	28.8	0.11	blastn:w7;e1e2
2	251	270	38562	38582	90.476	21	25.9	0.85	blastn:w7;e1e2
2	257	273	41175	41191	94.118	17	24.4	2.4	blastn:w7;e1e2
2	123	143	33784	33763	86.364	22	23.6	2.4	blastn:w7;e1e2
2	632	657	37246	37272	81.481	27	23.6	2.4	blastn:w7;e1e2
2	421	449	16206	16179	79.31	29	22.9	6.6	blastn:w7;e1e2
