method	exon_index	sstart	send	reason	detail
blastn	1	20355	20369	basic	len/pident 15/100.0
blastn	1	660	644	basic	len/pident 17/94.118
blastn	1	26820	26804	basic	len/pident 17/94.118
blastn	1	1381	1397	basic	len/pident 17/94.118
blastn	1	19353	19368	basic	len/pident 16/93.75
blastn	1	38789	38801	basic	len/pident 13/100.0
blastn	1	2651	2637	basic	len/pident 15/93.333
blastn	1	3821	3835	basic	len/pident 15/93.333
blastn	1	8539	8525	basic	len/pident 15/93.333
blastn	1	9391	9405	basic	len/pident 15/93.333
blastn	1	18401	18415	basic	len/pident 15/93.333
blastn	1	26095	26081	basic	len/pident 15/93.333
blastn	1	35844	35858	basic	len/pident 15/93.333
blastn	1	1947	1963	basic	len/pident 17/88.235
blastn	1	15104	15088	basic	len/pident 17/88.235
blastn	1	15327	15316	basic	len/pident 12/100.0
blastn	1	15884	15873	basic	len/pident 12/100.0
blastn	1	17795	17779	basic	len/pident 17/88.235
blastn	1	18888	18899	basic	len/pident 12/100.0
blastn	1	20093	20077	basic	len/pident 17/88.235
blastn	1	20539	20528	basic	len/pident 12/100.0
blastn	1	21315	21326	basic	len/pident 12/100.0
blastn	1	26445	26456	basic	len/pident 12/100.0
blastn	1	29450	29439	basic	len/pident 12/100.0
blastn	1	32135	32119	basic	len/pident 17/88.235
blastn	1	36644	36660	basic	len/pident 17/88.235
blastn	1	36785	36801	basic	len/pident 17/88.235
blastn	1	36841	36830	basic	len/pident 12/100.0
blastn	1	39226	39215	basic	len/pident 12/100.0
blastn	2	41175	41191	basic	len/pident 17/94.118
blastn	2	2529	2518	basic	len/pident 12/100.0
blastn	2	20416	20427	basic	len/pident 12/100.0
blastn	2	28134	28120	basic	len/pident 17/88.235
blastn	2	2471	2484	basic	len/pident 14/92.857
blastn	2	5041	5054	basic	len/pident 14/92.857
blastn	2	12865	12852	basic	len/pident 14/92.857
blastn	2	16920	16933	basic	len/pident 14/92.857
blastn	2	18965	18978	basic	len/pident 14/92.857
blastn	2	19155	19142	basic	len/pident 14/92.857
blastn	2	21754	21741	basic	len/pident 14/92.857
blastn	2	22168	22181	basic	len/pident 14/92.857
blastn	2	23474	23490	basic	len/pident 17/88.235
blastn	2	23790	23777	basic	len/pident 14/92.857
blastn	2	37856	37840	basic	len/pident 17/88.235
blastn	2	2388	2378	basic	len/pident 11/100.0
blastn	2	5535	5545	basic	len/pident 11/100.0
blastn	2	8150	8140	basic	len/pident 11/100.0
blastn	2	9514	9524	basic	len/pident 11/100.0
blastn	2	11662	11652	basic	len/pident 11/100.0
blastn	2	14645	14655	basic	len/pident 11/100.0
blastn	2	21116	21101	basic	len/pident 16/87.5
blastn	2	25930	25920	basic	len/pident 11/100.0
blastn	2	27500	27510	basic	len/pident 11/100.0
blastn	2	33203	33213	basic	len/pident 11/100.0
blastn	2	33392	33377	basic	len/pident 16/87.5
blastn	2	38146	38131	basic	len/pident 16/87.5
blastn	2	38244	38259	basic	len/pident 16/87.5
blastn	2	39046	39058	basic	len/pident 14/92.857
blastn	2	39184	39197	basic	len/pident 14/92.857
blastn	1	20355	20369	basic	len/pident 15/100.0
blastn	1	660	644	basic	len/pident 17/94.118
